Loop ID,EDI Segment,EDI Data Element Name,EDI Element Description,Usage,Enumeration Values,Hardcode,Extract layout name,Position,Level,Mapping Logic,COMMENTS,PIEDMONT
,ISA10,Interchange Time,Time of the interchange,R,,Map this value from   current time in the format of HHMM,,,,,,
,ISA11,Repetition Separator,"Type is not applicable; the repetition separator is a delimiter and not a data element; this field provides the delimiter used to separate repeated occurrences of a simple data element or a composite data structure; this value must be different than the data element separator, component element separator, and the segment terminator",R,,"Hardcode as ""^""",,,,,,
,ISA12,Interchange Control Version Number,$)$,R,00501 : Standards Approved for Publication by ASC X12 Procedures Review Board through October 2003,Hardcode as “00501”,,,,,,
,ISA13,Interchange Control Number,A control number assigned by the interchange sender,R,,Unique ISI control number needs to generated in Edifecs for each 837 EDI file. It has to be 9 digits (for example -  000000764),,,,,,
,ISA14,Acknowledgment Requested,Code indicating sender’s request for an interchange acknowledgment,R,"0 : No Interchange Acknowledgment Requested
1 : Interchange Acknowledgment Requested (TA1)","Hardcode as ""0""",,,,,,
,ISA15,Interchange Usage Indicator,"Code indicating whether data enclosed by this interchange envelope is test, production or information",R,"P : Production Data
T : Test Data","""P""  if it is a Production region
""T""  if it is a Non-Production region",,,,,According to enviroinment it should be configurable,
,ISA16,Component Element Separator,Type is not applicable; the component element separator is a delimiter and not a data element; this field provides the delimiter used to separate component data elements within a composite data structure; this value must be different than the data element separator and the segment terminator,R,,"Hardcode  as "":""",,,,,,
GS (Functional Group Header),,,,,,,,,,,,
,GS,Segment: Functional Group Header,,R,,,,,,,,
,GS01,Functional Identifier Code,Code identifying a group of application related transaction sets,R,,Hardcode as “HC”,,,,,,
,GS02,Application Sender's Code,Code identifying party sending transmission; codes agreed to by trading partners,R,,"We need to refer the crosswalk for mapping the sender id for products is ""PRODUCT""",,,,"Application Sender Code will be different for each customer.From product standpoint, we have hardcoded a random Application Sender Code.","Configurable value for Implementation team
PRODUCT",ClaimServiceStronglyTypedOBResponseRoot/header/senderId
,GS03,Application Receiver's Code,Code identifying party receiving transmission; codes agreed to by trading partners,R,,"Reveiver code for products is ""PRODUCT""",,,,"Application Receiver ID will be different for each customer.From product standpoint, we have hardcoded a random Application Application Receiver ID.","Configurable value for Implementation team
PRODUCT",
,GS04,Date,Date expressed as CCYYMMDD where CC represents the first two digits of the calendar year,R,,"Map this value from  current date in the format of ""YYYYMMDD""",,,,,,
,GS05,Time,"Time expressed in 24-hour clock time as follows: HHMM, or HHMMSS, or HHMMSSD, or HHMMSSDD, where H = hours (00-23), M = minutes (00-59), S = integer seconds (00-59) and DD = decimal seconds; decimal seconds are expressed as follows: D = tenths (0-9) and DD = hundredths (00-99)",R,,"Map this value from   current Time in the format of ""HHMMSS""",,,,,,
,GS06,Group Control Number,Assigned number originated and maintained by the sender,R,,Generate ID In EDIFECS (1-9 Bytes),,,,,,
,GS07,Responsible Agency Code,Code identifying the issuer of the standard; this code is used in conjunction with Data Element 480,R,X : Accredited Standards Committee X12,"Hardcode as ""X""",,,,,,
,GS08,Version / Release / Industry Identifier Code,"Code indicating the version, release, subrelease, and industry identifier of the EDI standard being used, including the GS and GE segments; if code in DE455 in GS segment is X, then in DE 480 positions 1-3 are the version number; positions 4-6 are the release and subrelease, level of the version; and positions 7-12 are the industry or trade association identifiers (optionally assigned by user); if code in DE455 in GS segment is T, then other formats are allowed",R,005010X223 : Standards Approved for Publication by ASC X12 Procedures Review Board through October 2003,"Hardcode as ""005010X222A2""",,,,,,
ST Transaction Set Header,,,,,,,,,,,,
,ST,Segment: Transaction Set Header,,R,,,,,,,,
,ST01,Transaction Set Identifier Code,Code uniquely identifying a Transaction Set,R,837 : Health Care Claim,837,,,,,,
,ST02,Transaction Set Control Number,Identifying control number that must be unique within the transaction set functional group assigned by the originator for a transaction set,R,,Unique control number needs to populated from process flow or map,,,,,,
,ST03,Implementation Convention Reference,Reference assigned to identify Implementation Convention,R,,005010X222A2,,,,,,
BHT Beginning of Hierarchical Transaction,,,,,,,,,,,,
,BHT,Segment: Beginning of Hierarchical Transaction,,R,,,,,,,,
,BHT01,Hierarchical Structure Code,Code indicating the hierarchical application structure of a transaction set that utilizes the HL segment to define the structure of the transaction set,R,"0019 : Information Source, Subscriber, Dependent",0019,,,,,,t
,BHT02,Transaction Set Purpose Code,Code identifying purpose of transaction set,R,"00 : Original
18 : Reissue","Hardcode as ""00""",,,,,,
,BHT03,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,Auto Generate In EDIFECS.,,,,,,
,BHT04,Date,Date expressed as CCYYMMDD where CC represents the first two digits of the calendar year,R,,"Map this value from  current date in the format of ""YYYYMMDD""",,,,,,
,BHT05,Time,"Time expressed in 24-hour clock time as follows: HHMM, or HHMMSS, or HHMMSSD, or HHMMSSDD, where H = hours (00-23), M = minutes (00-59), S = integer seconds (00-59) and DD = decimal seconds; decimal seconds are expressed as follows: D = tenths (0-9) and DD = hundredths (00-99)",R,,"Map this value from   current Time in the format of ""HHMMSS""",,,,,,
,BHT06,Transaction Type Code,Code specifying the type of transaction,R,"31 :  Subrogation Demand
CH : Chargeable
RP :  Reporting","Hardcode as ""RP""",,,,,,
LOOP 1000A - SUBMITTER,,,,,,,,,,,,
1000A,NM1,Submitter Name (Required),,R,,,,,,,,
1000A,1000A.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an individual",R,41 : Submitter,"Hardcode as ""41""",,,,,,
1000A,1000A.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,"1 : Person
2 : Non-Person Entity","Hardcode as ""2""",,,,,,
1000A,1000A.NM103,Name Last or Organization Name,ndividual last name or organizational name,R,,Hardcode <Default>,,,,,"Configurable value for Implementation team
PRODUCT",ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/payerInformation/hicName
1000A,1000A.NM104,Name First,Individual first name,S,,,,,,,,
1000A,1000A.NM105,Name Middle,Individual middle name or initial,S,,,,,,,,
1000A,1000A.NM108,Identification Code Qualifier,Code designating the system/method of code structure used for Identification Code (67),R,46 : Electronic Transmitter Identification Number (ETIN),"Hardcode as ""46""",,,,,,
1000A,1000A.NM109,Identification Code,Code identifying a party or other code,R,,"Default values
<123456789123>",,,,,"Configurable value for Implementation team
updated default values",ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/payerInformation/taxId
1000A,PER,Submitter EDI Contact Information (Required),,R,,,,,,,,
1000A,1000A.PER01,Contact Function Code,Code identifying the major duty or responsibility of the person or group named,R,IC : Information Contact,"Hardcode  as ""IC""",,,,,,
1000A,1000A.PER02,Name,Free-form name,S,,"""PRODUCT""",,,,,Configurable value for Implementation team,"Qn, 05/20 - what needs to be populated here for Piedmont?"
1000A,1000A.PER03,Communication Number Qualifier,Code identifying the type of communication number,R,"EM : Electronic Mail
 FX : Facsimile
TE : Telephone","Hardcode  as ""TE""",,,,,,
1000A,1000A.PER04,Communication Number,Complete communications number including country or area code when applicable,R,,"Hardcode as ""1234567890""",,,,,"Configurable value for Implementation team
updated default values","Qn, 05/20 -What will be the contact number for Piedmont?"
1000A,1000A.PER05,Communication Number Qualifier,Code identifying the type of communication number,S,"EM : Electronic Mail
EX : Telephone Extension
FX : Facsimile
TE : Telephone",,,,,,,
1000A,1000A.PER06,Communication Number,Complete communications number including country or area code when applicable,S,,,,,,,,
1000A,1000A.PER07,Communication Number Qualifier,Code identifying the type of communication number,S,"EM : Electronic Mail
EX : Telephone Extension
FX : Facsimile
TE : Telephone",,,,,,,
1000A,1000A.PER08,Communication Number,Complete communications number including country or area code when applicable,S,,,,,,,,
LOOP 1000B - RECEIVER,,,,,,,,,,,,
1000B,NM1,Receiver Name (Required),,R,,,,,,,,
1000B,1000B.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an individual",R,40 : Receiver,"Hardcode as ""40""",,,,,,
1000B,1000B.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,2 : Non-Person Entity,"Hardcode as ""2""",,,,,,
1000B,1000B.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,REPRICER_NAME/EXTERNAL_EDITOR,827,Claim,,"Configurable value for Implementation team
PRODUCT","Qn, 05/20- If we can get the Receiver ID for First health and Aetna, EDIFECS can populate the Org name here. So need to get the Full name to be populated for both and Receiver id's
Details for First Health seems as below. Needs to get for Aetna also
Org Name: FIRST HEALTH Group Corp
Receiver id: 201736437"
1000B,1000B.NM108,Identification Code Qualifier,Code designating the system/method of code structure used for Identification Code (67),R,46 : Electronic Transmitter Identification Number (ETIN),"Hardcode as ""46""",,,,,,
1000B,1000B.NM109,Identification Code,Code identifying a party or other code,R,,"Default values
<123456789123>",,,,,configurable item need to update (based on repricer name,
LOOP 2000A - BILLING/PAY-TO PROVIDER HL LOOP,,,,,,,,,,,,
2000A,HL,Billing Provider Hierarchical Level (Required),,R,,,,,,,,
2000A,2000A.HL01,Hierarchical ID Number,A unique number assigned by the sender to identify a particular data segment in a hierarchical structure,R,"The first HL01 within each ST-SE envelope must begin with “1”,
and be incremented by one each time an HL is used in the
transaction. Only numeric values are allowed in HL01.",Generated by Edifecs,,,,,,
2000A,2000A.HL03,Hierarchical Level Code,Code defining the characteristic of a level in a hierarchical structure,R,20 : Information Source,"Hardcode as ""20""",,,,,,
2000A,2000A.HL04,Hierarchical Child Code,Code indicating if there are hierarchical child data segments subordinate to the level being described,R,1 : Additional Subordinate HL Data Segment in This Hierarchical Structure.,Generated by Edifecs,,,,,,
2000A,PRV,Billing Provider Specialty Information,,S,,,,,,,,
2000A,2000A.PRV01,Provider Code,Code identifying the type of provider,R,BI : Billing,,,,,,,
2000A,2000A.PRV02,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"PXC : Health Care Provider Taxonomy Code
         CODE SOURCE 682: Health Care Provider Taxonomy",,,,,,,
2000A,2000A.PRV03,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,,,,,,,
2000A,CUR,Foreign Currency Information,,S,,,,,,,,
2000A,2000A.CUR01,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an individual",R,85 : Billing Provider,,,,,,,
2000A,2000A.CUR02,Currency Code,Code (Standard ISO) for country in whose currency the charges are specified,R,,,,,,,,
LOOP 2010AA - BILLING PROVIDER,,,,,,,,,,,,
2010AA,NM1,Billing Provider Name (Required),,R,,,,,,,,
2010AA,2010AA.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an individual",R,85 : Billing Provider,"Hardcode as ""85""",,,,,,
2010AA,2010AA.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,2 : Non-Person Entity,"Hardcode as ""2""",,,,,,
2010AA,2010AA.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,BILLING_FULL_NAME,357,Claim,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/ub92Info/supplierInformation/supplierName
2010AA,2010AA.NM104,Name First,,,,,,,,,,
2010AA,2010AA.NM105,Name Middle,,,,,,,,,,
2010AA,2010AA.NM107,Name Suffix,,,,,,,,,,
2010AA,2010AA.NM108,Identification Code Qualifier,Code designating the system/method of code structure used for Identification Code (67),S,"XX : Centers for Medicare and Medicaid Services National Provider Identifier
       CODE SOURCE 537: Centers for Medicare and Medicaid Services National Provider Identifier","Hardcode as ""XX""",,,,,,
2010AA,2010AA.NM109,Identification Code,Code identifying a party or other code,S,,,BILLING_NPI,351,Line,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/ub92Info/supplierInformation/npi
2010AA,N3,Billing Provider Address (Required),,R,,,,,,,,
2010AA,2010AA.N301,Address Information,Address information,R,,,BILLING_ADDRESS_01,358,Claim,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/ub92Info/supplierInformation/address/address
2010AA,2010AA.N302,Address Information,Address information,S,,,BILLING_ADDRESS_02,359,Claim,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/ub92Info/supplierInformation/address/address2
2010AA,N4,Billing Provider City/State/ZIP Code (Required),,R,,,,,,,,
2010AA,2010AA.N401,City Name,Free-form text for city name,R,,,BILLING_CITY,360,Claim,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/ub92Info/supplierInformation/address/city
2010AA,2010AA.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,,BILLING_STATE,361,Claim,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/ub92Info/supplierInformation/address/stateCode
2010AA,2010AA.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,,(BILLING_ZIP) + ( BILLING_ZIP_PLUS_FOUR),362 + 363,Line,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/ub92Info/supplierInformation/address/zipCode + ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/ub92Info/supplierInformation/address/zipExtension
2010AA,2010AA.N404,Country Code,Code identifying the country,S,,,,,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/ub92Info/supplierInformation/address/countryCode
2010AA,2010AA.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,,,,
2010AA,REF,"REF - BILLING PROVIDER TAX
IDENTIFICATION",,R,,,,,,,,
2010AA,2010AA.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,EI : Employer’s Identification Number,"Hardcode as ""EI""",,,,,,
2010AA,2010AA.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,,BILLING_TAXGROUP_ID,350,Claim,‘XX-XXXXXXX’ format -Remove hypen),,"ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/ub92Info/supplierInformation/taxIdentificationNumber (1-50 bytes, no hyphens)"
2010AA,PER,Billing Provider Contact Information,,S,,,,,,,,
2010AA,2010AA.PER01,Contact Function Code,Code identifying the major duty or responsibility of the person or group named,R,IC : Information Contact,,,,,,,
2010AA,2010AA.PER02,Name,Free-form name,S,,,,,,,,
2010AA,2010AA.PER03,Communication Number Qualifier,Code identifying the type of communication number,R,"EM : Electronic Mail
FX : Facsimile
TE : Telephone",,,,,,,
2010AA,2010AA.PER04,Communication Number,Complete communications number including country or area code when applicable,R,,,,,,,,
2010AA,2010AA.PER05,Communication Number Qualifier,Code identifying the type of communication number,S,"EM : Electronic Mail
EX : Telephone Extension
FX : Facsimile
TE : Telephone",,,,,,,
2010AA,2010AA.PER06,Communication Number,Complete communications number including country or area code when applicable,S,,,,,,,,
2010AA,2010AA.PER07,Communication Number Qualifier,Code identifying the type of communication number,S,"EM Electronic Mail
EX Telephone Extension
FX Facsimile
TE Telephone",,,,,,,
2010AA,2010AA.PER08,Communication Number,"Complete communications number including country or area code when
applicable",S,,,,,,,,
LOOP 2010AB - PAY-TO ADDRESS NAME,,,,,,,,,,,,
2010AB,NM1,Pay-To Address Name,,S,,,,,,,,
2010AB,2010AB.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an individual",R,87 : Pay-to Provider,"Hardcode as ""87""",,,,,,
2010AB,2010AB.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,2 : Non-Person Entity,"Hardcode as ""2""",,,,,,
2010AB,N3,Pay-To Address (Required),,R,,,,,,,,
2010AB,2010AB.N301,Address Information,Address information,R,,,PAY_TO_ADDRESS_01,528,Claim,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/payToAddress/address
2010AB,2010AB.N302,Address Information,Address information,S,,,PAY_TO_ADDRESS_02,529,Claim,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/payToAddress/address2
2010AB,N4,Pay-To Address City/State/ZIP Code (Required),,R,,,,,,,,
,2010AB.N401,City Name,Free-form text for city name,R,,,PAY_TO_CITY,530,Claim,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/payToAddress/city
2010AB,2010AB.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,,PAY_TO_STATE,531,Claim,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/payToAddress/stateCode
2010AB,2010AB.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,,(PAY_TO_ZIP) + ( PAY_TO_ZIP_PLUS_FOUR),532 + 533,Claim,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/payToAddress/zipCode + ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/payToAddress/zipExtension
,2010AB.N404,Country Code,Code identifying the country,S,,,,,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/payToAddress/countryCode
2010AB,2010AB.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,,,,
LOOP 2010AC - PAY-TO PLAN NAME,,,,,,,,,,,,
2010AC,NM1,Pay-To Plan Name,,S,,,,,,,,
2010AC,2010AC.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an individual",R,PE : Payee,,,,,,,
2010AC,2010AC.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,2 : Non-Person Entity,,,,,,,
2010AC,2010AC.NM103,Name Last or Organization Name,Individual last name or organizational nam,R,,,,,,,,
2010AC,2010AC.NM108,Identification Code Qualifier,Code designating the system/method of code structure used for Identification Code (67),R,"PI : Payor Identification
 XV : Centers for Medicare and Medicaid Services PlanID",,,,,,,
2010AC,2010AC.NM109,Identification Code,Code identifying a party or other code,R,,,,,,,,
2010AC,N3,Pay-To Plan Address (Required),,R,,,,,,,,
2010AC,2010AC.N301,Address Information,Address information,R,,,,,,,,
2010AC,2010AC.N302,Address Information,Address information,S,,,,,,,,
2010AC,N4,Pay-To Plan City/State/Zip Code (Required),,R,,,,,,,,
2010AC,2010AC.N401,City Name,Free-form text for city name,R,,,,,,,,
2010AC,2010AC.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,,,,,,,
2010AC,2010AC.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,,,,,,,
2010AC,2010AC.N404,Country Code,Code identifying the country,S,,,,,,,,
2010AC,2010AC.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,,,,
2010AC,REF,Pay-To Plan Secondary Identification,,S,,,,,,,,
2010AC,2010AC.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"2U : Payer Identification Number
FY :Claim Office Number
NF : National Association of Insurance Commissioners (NAIC) Code",,,,,,,
2010AC,2010AC.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,,,,,,,
2010AC,REF,Pay-To Plan Tax Identification Number (Required),,R,,,,,,,,
2010AC,2010AC.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,EI : Employer’s Identification Number,,,,,,,
2010AC,2010AC.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,,,,,,,
"LOOP 2000B - SUBSCRIBER HIERARCHICAL
LEVEL",,,,,,,,,,,,
2000B,HL,Subscriber Hierarchical Level (Required),,R,,,,,,,,
2000B,2000B.HL01,Hierarchical ID Number,A unique number assigned by the sender to identify a particular data segment in a hierarchical structure,R,,Generated by Edifecs,,,,,,
2000B,2000B.HL02,Hierarchical Parent ID Number,Identification number of the next higher hierarchical data segment that the data segment being described is subordinate to,R,,2000A.HL01,,,,,,
2000B,2000B.HL03,Hierarchical Level Code,Code defining the characteristic of a level in a hierarchical structure,R,22 : Subscriber,"Hardcode as ""22""",,,,,,
2000B,2000B.HL04,Hierarchical Child Code,Code indicating if there are hierarchical child data segments subordinate to the level being described,R,"0 : No Subordinate HL Segment in This Hierarchical Structure.
1 : Additional Subordinate HL Data Segment in This Hierarchical Structure",Generated by Edifecs,,,,,,
2000B,SBR,Subscriber Information (Required),,R,,,,,,,,
2000B,2000B.SBR01,Payer Responsibility Sequence Number Code,Code identifying the insurance carrier’s level of responsibility for a payment of a claim,R,"A : Payer Responsibility Four
B : Payer Responsibility Five
C : Payer Responsibility Six
D : Payer Responsibility Seven
E : Payer Responsibility Eight
F : Payer Responsibility Nine
G : Payer Responsibility Ten
H : Payer Responsibility Eleven
P : Primary S Secondary
T : Tertiary
U : Unknown","Hardcode as ""P""",,,,,,
2000B,2000B.SBR02,Individual Relationship Code,Code indicating the relationship between two individuals or entities,S,18 : Self,"Hardcode as ""18""",,,,Only if RELATIONSHIP_TO_SUB = Self (18),,
2000B,2000B.SBR03,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifie,S,,,SUB_MEMBER_GROUP_NUMBER,823,Claim,,,"AETNA:
ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/subscriptionInformation/groupNumber
if group number is '10302', then pass PDCNTRASF. Pass 'PEDMNT' for all other self Insured groups
FirstHealth:
Pass Acro ID's here"
2000B,2000B.SBR04,Name,Free-form name,S,,,,,,,,
