CDS VALUE / Hardcode,Position,Level
VALUE_AMOUNT_9,63,Claim
VALUE_CODE_10,64,Claim
VALUE_AMOUNT_10,65,Claim
VALUE_CODE_11,66,Claim
VALUE_AMOUNT_11,67,Claim
VALUE_CODE_12,68,Claim
VALUE_AMOUNT_12,69,Claim
VALUE_CODE_13,70,Claim
VALUE_AMOUNT_13,71,Claim
VALUE_CODE_14,72,Claim
VALUE_AMOUNT_14,73,Claim
VALUE_CODE_15,74,Claim
VALUE_AMOUNT_15,75,Claim
VALUE_CODE_16,76,Claim
VALUE_AMOUNT_16,77,Claim
VALUE_CODE_17,78,Claim
VALUE_AMOUNT_17,79,Claim
VALUE_CODE_18,80,Claim
VALUE_AMOUNT_18,81,Claim
VALUE_CODE_19,82,Claim
VALUE_AMOUNT_19,83,Claim
VALUE_CODE_20,84,Claim
VALUE_AMOUNT_20,85,Claim
VALUE_CODE_21,86,Claim
VALUE_AMOUNT_21,87,Claim
VALUE_CODE_22,88,Claim
VALUE_AMOUNT_22,89,Claim
VALUE_CODE_23,90,Claim
VALUE_AMOUNT_23,91,Claim
VALUE_CODE_24,92,Claim
VALUE_AMOUNT_24,93,Claim
ADMIT_TYPE,100,Claim
ADMIT_SOURCE_CODE,101,Claim
DISCHARGE_TIME_HH,103,Claim
DISCHARGE_STATUS,105,Claim
PRINCIPAL_DIAGNOSIS_CODE,121,Claim
PRINCIPAL_DIAGNOSIS_POA,122,Claim
OTHER_DIAGNOSIS_CODE_2,124,Claim
OTHER_DIAGNOSIS_CODE_2_POA,125,Claim
OTHER_DIAGNOSIS_CODE_3,127,Claim
OTHER_DIAGNOSIS_CODE_3_POA,128,Claim
OTHER_DIAGNOSIS_CODE_4,130,Claim
OTHER_DIAGNOSIS_CODE_4_POA,131,Claim
OTHER_DIAGNOSIS_CODE_5,133,Claim
OTHER_DIAGNOSIS_CODE_5_POA,134,Claim
OTHER_DIAGNOSIS_CODE_6,136,Claim
OTHER_DIAGNOSIS_CODE_6_POA,137,Claim
OTHER_DIAGNOSIS_CODE_7,139,Claim
OTHER_DIAGNOSIS_CODE_7_POA,140,Claim
OTHER_DIAGNOSIS_CODE_8,142,Claim
OTHER_DIAGNOSIS_CODE_8_POA,143,Claim
OTHER_DIAGNOSIS_CODE_9,145,Claim
OTHER_DIAGNOSIS_CODE_9_POA,146,Claim
OTHER_DIAGNOSIS_CODE_10,148,Claim
OTHER_DIAGNOSIS_CODE_10_POA,149,Claim
OTHER_DIAGNOSIS_CODE_11,151,Claim
OTHER_DIAGNOSIS_CODE_11_POA,152,Claim
OTHER_DIAGNOSIS_CODE_12,154,Claim
OTHER_DIAGNOSIS_CODE_12_POA,155,Claim
OTHER_DIAGNOSIS_CODE_13,157,Claim
OTHER_DIAGNOSIS_CODE_13_POA,158,Claim
OTHER_DIAGNOSIS_CODE_14,160,Claim
OTHER_DIAGNOSIS_CODE_14_POA,161,Claim
OTHER_DIAGNOSIS_CODE_15,163,Claim
OTHER_DIAGNOSIS_CODE_15_POA,164,Claim
OTHER_DIAGNOSIS_CODE_16,166,Claim
OTHER_DIAGNOSIS_CODE_16_POA,167,Claim
OTHER_DIAGNOSIS_CODE_17,169,Claim
OTHER_DIAGNOSIS_CODE_17_POA,170,Claim
OTHER_DIAGNOSIS_CODE_18,172,Claim
OTHER_DIAGNOSIS_CODE_18_POA,173,Claim
OTHER_DIAGNOSIS_CODE_19,175,Claim
OTHER_DIAGNOSIS_CODE_19_POA,176,Claim
OTHER_DIAGNOSIS_CODE_20,178,Claim
OTHER_DIAGNOSIS_CODE_20_POA,179,Claim
OTHER_DIAGNOSIS_CODE_21,181,Claim
OTHER_DIAGNOSIS_CODE_21_POA,182,Claim
OTHER_DIAGNOSIS_CODE_22,184,Claim
OTHER_DIAGNOSIS_CODE_22_POA,185,Claim
OTHER_DIAGNOSIS_CODE_23,187,Claim
OTHER_DIAGNOSIS_CODE_23_POA,188,Claim
OTHER_DIAGNOSIS_CODE_24,190,Claim
OTHER_DIAGNOSIS_CODE_24_POA,191,Claim
OTHER_DIAGNOSIS_CODE_25,193,Claim
OTHER_DIAGNOSIS_CODE_25_POA,194,Claim
ADMITTING_DIAGNOSIS,196,Claim
EXTERNAL_CAUSE_OF_INJURY_1,198,Claim
EXTERNAL_CAUSE_OF_INJURY_1_POA,199,Claim
EXTERNAL_CAUSE_OF_INJURY_2,201,Claim
EXTERNAL_CAUSE_OF_INJURY_2_POA,202,Claim
EXTERNAL_CAUSE_OF_INJURY_3,204,Claim
EXTERNAL_CAUSE_OF_INJURY_3_POA,205,Claim
EXTERNAL_CAUSE_OF_INJURY_4,207,Claim
EXTERNAL_CAUSE_OF_INJURY_4_POA,208,Claim
EXTERNAL_CAUSE_OF_INJURY_5,210,Claim
EXTERNAL_CAUSE_OF_INJURY_5_POA,211,Claim
EXTERNAL_CAUSE_OF_INJURY_6,213,Claim
EXTERNAL_CAUSE_OF_INJURY_6_POA,214,Claim
EXTERNAL_CAUSE_OF_INJURY_7,216,Claim
EXTERNAL_CAUSE_OF_INJURY_7_POA,217,Claim
EXTERNAL_CAUSE_OF_INJURY_8,219,Claim
EXTERNAL_CAUSE_OF_INJURY_8_POA,220,Claim
EXTERNAL_CAUSE_OF_INJURY_9,222,Claim
EXTERNAL_CAUSE_OF_INJURY_9_POA,223,Claim
EXTERNAL_CAUSE_OF_INJURY_10,225,Claim
EXTERNAL_CAUSE_OF_INJURY_10_POA,226,Claim
EXTERNAL_CAUSE_OF_INJURY_11,228,Claim
EXTERNAL_CAUSE_OF_INJURY_11_POA,229,Claim
EXTERNAL_CAUSE_OF_INJURY_12,231,Claim
EXTERNAL_CAUSE_OF_INJURY_12_POA,232,Claim
PATIENTS_REASON_FOR_VISIT_1,234,Claim
PATIENTS_REASON_FOR_VISIT_2,236,Claim
PATIENTS_REASON_FOR_VISIT_3,238,Claim
PRINCIPAL_PROCEDURE,240,Claim
PRINCIPAL_PROCEDURE_DATE,241,Claim
OTHER_PROCEDURE_2,243,Claim
OTHER_PROCEDURE_2_DATE,244,Claim
OTHER_PROCEDURE_3,246,Claim
OTHER_PROCEDURE_3_DATE,247,Claim
OTHER_PROCEDURE_4,249,Claim
OTHER_PROCEDURE_4_DATE,250,Claim
OTHER_PROCEDURE_5,252,Claim
OTHER_PROCEDURE_5_DATE,253,Claim
OTHER_PROCEDURE_6,255,Claim
OTHER_PROCEDURE_6_DATE,256,Claim
OTHER_PROCEDURE_7,258,Claim
OTHER_PROCEDURE_7_DATE,259,Claim
OTHER_PROCEDURE_8,261,Claim
OTHER_PROCEDURE_8_DATE,262,Claim
OTHER_PROCEDURE_9,264,Claim
OTHER_PROCEDURE_9_DATE,265,Claim
OTHER_PROCEDURE_10,267,Claim
OTHER_PROCEDURE_10_DATE,268,Claim
OTHER_PROCEDURE_11,270,Claim
OTHER_PROCEDURE_11_DATE,271,Claim
OTHER_PROCEDURE_12,273,Claim
OTHER_PROCEDURE_12_DATE,274,Claim
OTHER_PROCEDURE_13,276,Claim
OTHER_PROCEDURE_13_DATE,277,Claim
OTHER_PROCEDURE_14,279,Claim
OTHER_PROCEDURE_14_DATE,280,Claim
OTHER_PROCEDURE_15,282,Claim
OTHER_PROCEDURE_15_DATE,283,Claim
OTHER_PROCEDURE_16,285,Claim
OTHER_PROCEDURE_16_DATE,286,Claim
OTHER_PROCEDURE_17,288,Claim
OTHER_PROCEDURE_17_DATE,289,Claim
OTHER_PROCEDURE_18,291,Claim
OTHER_PROCEDURE_18_DATE,292,Claim
OTHER_PROCEDURE_19,294,Claim
OTHER_PROCEDURE_19_DATE,295,Claim
OTHER_PROCEDURE_20,297,Claim
OTHER_PROCEDURE_20_DATE,298,Claim
OTHER_PROCEDURE_21,300,Claim
OTHER_PROCEDURE_21_DATE,301,Claim
OTHER_PROCEDURE_22,303,Claim
OTHER_PROCEDURE_22_DATE,304,Claim
OTHER_PROCEDURE_23,306,Claim
OTHER_PROCEDURE_23_DATE,307,Claim
OTHER_PROCEDURE_24,309,Claim
OTHER_PROCEDURE_24_DATE,310,Claim
OTHER_PROCEDURE_25,312,Claim
OTHER_PROCEDURE_25_DATE,313,Claim
BILLING_TAXGROUP_ID,350,Claim
BILLING_NPI,351,Line
BILLING_NAME,357,Claim
BILLING_ADDRESS_1,358,Claim
BILLING_ADDRESS_2,359,Claim
BILLING_CITY,360,Claim
BILLING_STATE,361,Claim
BILLING_COUNTRY,364,Claim
LINE_SEQ,382,Line
SUB_REV_CODE,385,Line
SUB_HCPCS,386,Line
SUB_MOD1,387,Line
SUB_MOD2,388,Line
SUB_MOD3,389,Line
SUB_MOD4,390,Line
SUB_UNITS,396,Line
SUB_AMOUNT,397,Line
SUB_NDC,399,Line
SUB_NDC_UNITS,400,Line
SUB_NDC_UNITS_TYPE,401,Line
ASSIGNMENT_OF_BENEFITS,437,Claim
CLAIM_BILLED_AMOUNT,438,Claim
SUB_LAST_NAME,502,Claim
SUB_FIRST_NAME,503,Claim
SUB_MIDDLE_NAME,504,Claim
SUB_NAME_SUFFIX,505,Claim
SUB_ADDRESS_1,506,Claim
SUB_ADDDRESS_2,507,Claim
SUB_CITY,508,Claim
SUB_STATE,509,Claim
SUB_COUNTRY,512,Claim
SUB_DOB,514,Claim
SUB_GENDER_ID,515,Claim
PATIENT_ADDRESS_1,517,Claim
PATIENT_ADDRESS_2,518,Claim
PATIENT_CITY,519,Claim
PATIENT_STATE,520,Claim
PATIENT_COUNTRY,523,Claim
PAY_TO_ADDRESS_1,528,Claim
PAY_TO_ADDRESS_2,529,Claim
PAY_TO_CITY,530,Claim
PAY_TO_STATE,531,Claim
PAY_TO_COUNTRY,534,Claim
ATTENDING_NPI,538,Claim
ATTENDING_TAXONOMY_CODE,541,Claim
ATTENDING_LAST_NAME,543,Claim
ATTENDING_FIRST_NAME,544,Claim
ATTENDING_MIDDLE_NAME,545,Claim
ATTENDING_NAME_SUFFIX,546,Claim
OTHER_OPERATING_NPI,560,Claim
OTHER_OPERATING_LAST_NAME,565,Claim
OTHER_OPERATING_FIRST_NAME,566,Claim
OTHER_OPERATING_MIDDLE_NAME,567,Claim
OTHER_OPERATING_NAME_SUFFIX,568,Claim
OCCUR_SPAN_CODE_1,593,Claim
OCCUR_SPAN_CODE_2,596,Claim
OCCUR_SPAN_CODE_3,599,Claim
OCCUR_SPAN_CODE_4,602,Claim
OCCUR_SPAN_CODE_5,605,Claim
OCCUR_SPAN_CODE_6,608,Claim
OCCUR_SPAN_CODE_7,611,Claim
OCCUR_SPAN_CODE_8,614,Claim
OCCUR_SPAN_CODE_9,617,Claim
OCCUR_SPAN_CODE_10,620,Claim
OCCUR_SPAN_CODE_11,623,Claim
OCCUR_SPAN_CODE_12,626,Claim
OCCUR_SPAN_CODE_13,629,Claim
OCCUR_SPAN_CODE_14,632,Claim
OCCUR_SPAN_CODE_15,635,Claim
OCCUR_SPAN_CODE_16,638,Claim
OCCUR_SPAN_CODE_17,641,Claim
OCCUR_SPAN_CODE_18,644,Claim
OCCUR_SPAN_CODE_19,647,Claim
OCCUR_SPAN_CODE_20,650,Claim
OCCUR_SPAN_CODE_21,653,Claim
OCCUR_SPAN_CODE_22,656,Claim
OCCUR_SPAN_CODE_23,659,Claim
OCCUR_SPAN_CODE_24,662,Claim
OCCUR_CODE_1,665,Claim
OCCUR_DATE_01,666,Claim
OCCUR_CODE_2,667,Claim
OCCUR_DATE_2,668,Claim
OCCUR_CODE_3,669,Claim
OCCUR_DATE_3,670,Claim
OCCUR_CODE_4,671,Claim
OCCUR_DATE_4,672,Claim
OCCUR_CODE_5,673,Claim
OCCUR_DATE_5,674,Claim
OCCUR_CODE_6,675,Claim
OCCUR_DATE_6,676,Claim
OCCUR_CODE_7,677,Claim
OCCUR_DATE_7,678,Claim
OCCUR_CODE_8,679,Claim
OCCUR_DATE_8,680,Claim
OCCUR_CODE_9,681,Claim
OCCUR_DATE_9,682,Claim
OCCUR_CODE_10,683,Claim
OCCUR_DATE_10,684,Claim
OCCUR_CODE_11,685,Claim
OCCUR_DATE_11,686,Claim
OCCUR_CODE_12,687,Claim
OCCUR_DATE_12,688,Claim
OCCUR_CODE_13,689,Claim
OCCUR_DATE_13,690,Claim
OCCUR_CODE_14,691,Claim
OCCUR_DATE_14,692,Claim
OCCUR_CODE_15,693,Claim
OCCUR_DATE_15,694,Claim
OCCUR_CODE_16,695,Claim
OCCUR_DATE_16,696,Claim
OCCUR_CODE_17,697,Claim
OCCUR_DATE_17,698,Claim
OCCUR_CODE_18,699,Claim
OCCUR_DATE_18,700,Claim
OCCUR_CODE_19,701,Claim
OCCUR_DATE_19,702,Claim
OCCUR_CODE_20,703,Claim
OCCUR_DATE_20,704,Claim
OCCUR_CODE_21,705,Claim
OCCUR_DATE_21,706,Claim
OCCUR_CODE_22,707,Claim
OCCUR_DATE_22,708,Claim
OCCUR_CODE_23,709,Claim
OCCUR_DATE_23,710,Claim
OCCUR_CODE_24,711,Claim
OCCUR_DATE_24,712,Claim
SUB_MEMBER_GROUP_NUMBER,823,Claim
SUB_CLAIM_FILING_CODE,824,Claim
ASSIGNMENT_ACCEPTANCE,825,Claim
REPRICER_NAME,827,Claim
CLAIM_FREQUENCY_CODE,828,Claim
(BILLING_ZIP) + ( BILLING_ZIP_PLUS_4),362 + 363,Line
DOS_FROM + DOS_TO,383 + 384,Line
CLAIM_ID_ORIG,482,Claim
SUB_ZIP + SUB_ZIP_PLUS_4,510 + 511,Claim
(PATIENT_ZIP) + ( PATIENT_ZIP_PLUS_4),521 + 522,Claim
(PAY_TO_ZIP) + ( PAY_TO_ZIP_PLUS_4),532 + 533,Claim
OCCUR_SPAN_FROM_DATE_1 + OCCUR_SPAN_TO_DATE_1,594+595,Claim
OCCUR_SPAN_FROM_DATE_2 + OCCUR_SPAN_TO_DATE_2,597+598,Claim
OCCUR_SPAN_FROM_DATE_3 + OCCUR_SPAN_TO_DATE_3,600+601,Claim
OCCUR_SPAN_FROM_DATE_4 + OCCUR_SPAN_TO_DATE_4,603+604,Claim
OCCUR_SPAN_FROM_DATE_5 + OCCUR_SPAN_TO_DATE_5,606+607,Claim
OCCUR_SPAN_FROM_DATE_6 + OCCUR_SPAN_TO_DATE_6,609+610,Claim
OCCUR_SPAN_FROM_DATE_7 + OCCUR_SPAN_TO_DATE_7,612+613,Claim
OCCUR_SPAN_FROM_DATE_8 + OCCUR_SPAN_TO_DATE_8,615+616,Claim
OCCUR_SPAN_FROM_DATE_9 + OCCUR_SPAN_TO_DATE_9,618+619,Claim
OCCUR_SPAN_FROM_DATE_10 + OCCUR_SPAN_TO_DATE_10,621+622,Claim
OCCUR_SPAN_FROM_DATE_11 + OCCUR_SPAN_TO_DATE_11,624+625,Claim
OCCUR_SPAN_FROM_DATE_12 + OCCUR_SPAN_TO_DATE_12,627+628,Claim
OCCUR_SPAN_FROM_DATE_13 + OCCUR_SPAN_TO_DATE_13,630+631,Claim
OCCUR_SPAN_FROM_DATE_14 + OCCUR_SPAN_TO_DATE_14,633+634,Claim
OCCUR_SPAN_FROM_DATE_15 + OCCUR_SPAN_TO_DATE_15,636+637,Claim
OCCUR_SPAN_FROM_DATE_16 + OCCUR_SPAN_TO_DATE_16,639+640,Claim
OCCUR_SPAN_FROM_DATE_17 + OCCUR_SPAN_TO_DATE_17,642+643,Claim
OCCUR_SPAN_FROM_DATE_18 + OCCUR_SPAN_TO_DATE_18,645+646,Claim
OCCUR_SPAN_FROM_DATE_19 + OCCUR_SPAN_TO_DATE_19,648+649,Claim
OCCUR_SPAN_FROM_DATE_20 + OCCUR_SPAN_TO_DATE_20,651+652,Claim
OCCUR_SPAN_FROM_DATE_21 + OCCUR_SPAN_TO_DATE_21,654+655,Claim
OCCUR_SPAN_FROM_DATE_22 + OCCUR_SPAN_TO_DATE_22,657+658,Claim
OCCUR_SPAN_FROM_DATE_23 + OCCUR_SPAN_TO_DATE_23,660+661,Claim
OCCUR_SPAN_FROM_DATE_24 + OCCUR_SPAN_TO_DATE_24,663+664,Claim
CLAIM_DOS_FROM + CLAIM_DOS_TO,94 + 95,Claim
"ADMIT_DATE +
ADMIT_TIME_HH / ADMIT_TIME_MM",97 + 98/99,Claim
Trailer,,
TRAILER_CONSTANT,1,File
DETAIL_COUNT,2,File
RUN_DATE,3,File
RUN_TIME,4,File
FILLER,5,File
