File Component,Field Name,Field Description,Level,Type,Length,"Fixed Width
files only",,Repricer,Position,Secomdary Editing,Position,
Detail,CONDITION_CODE_16,"The value in this field represents the Condition Code used to indicate the patient’s eligibility, benefits and how to administer the primary and secondary insurances.  (2300, HI*BG Segment Repeat)",Claim,Text,2,420,421,Y,37,Y,39,
Detail,CONDITION_CODE_17,"The value in this field represents the Condition Code used to indicate the patient’s eligibility, benefits and how to administer the primary and secondary insurances.  (2300, HI*BG Segment Repeat)",Claim,Text,2,422,423,Y,38,Y,40,
Detail,CONDITION_CODE_18,"The value in this field represents the Condition Code used to indicate the patient’s eligibility, benefits and how to administer the primary and secondary insurances.  (2300, HI*BG Segment Repeat)",Claim,Text,2,424,425,Y,39,Y,41,
Detail,CONDITION_CODE_19,"The value in this field represents the Condition Code used to indicate the patient’s eligibility, benefits and how to administer the primary and secondary insurances.  (2300, HI*BG Segment Repeat)",Claim,Text,2,426,427,Y,40,Y,42,
Detail,CONDITION_CODE_20,"The value in this field represents the Condition Code used to indicate the patient’s eligibility, benefits and how to administer the primary and secondary insurances.  (2300, HI*BG Segment Repeat)",Claim,Text,2,428,429,Y,41,Y,43,
Detail,CONDITION_CODE_21,"The value in this field represents the Condition Code used to indicate the patient’s eligibility, benefits and how to administer the primary and secondary insurances.  (2300, HI*BG Segment Repeat)",Claim,Text,2,430,431,Y,42,Y,44,
Detail,CONDITION_CODE_22,"The value in this field represents the Condition Code used to indicate the patient’s eligibility, benefits and how to administer the primary and secondary insurances.  (2300, HI*BG Segment Repeat)",Claim,Text,2,432,433,Y,43,Y,45,
Detail,CONDITION_CODE_23,"The value in this field represents the Condition Code used to indicate the patient’s eligibility, benefits and how to administer the primary and secondary insurances.  (2300, HI*BG Segment Repeat)",Claim,Text,2,434,435,Y,44,Y,46,
Detail,CONDITION_CODE_24,"The value in this field represents the Condition Code used to indicate the patient’s eligibility, benefits and how to administer the primary and secondary insurances.  (2300, HI*BG Segment Repeat)",Claim,Text,2,436,437,Y,45,Y,47,
Detail,VALUE_CODE_01,"The value in this field represents the Value Code related to monetary data necessary for processing the claim.  (2300, HI01-2, HI*BE)",Claim,Text,2,438,439,Y,46,Y,48,
Detail,VALUE_AMOUNT_01,"The value in this field represents the Value Amount that includes monetary data necessary for processing the claim.  (2300, HI01-2, HI*BE)",Claim,Numeric 9(8)V99,10,440,449,Y,47,Y,49,
Detail,VALUE_CODE_02,"The value in this field represents the Value Code related to monetary data necessary for processing the claim.  (2300, HI02-2, HI*BE)",Claim,Text,2,450,451,Y,48,Y,50,
Detail,VALUE_AMOUNT_02,"The value in this field represents the Value Amount that includes monetary data necessary for processing the claim.  (2300, HI02-2, HI*BE)",Claim,Numeric 9(8)V99,10,452,461,Y,49,Y,51,
Detail,VALUE_CODE_03,"The value in this field represents the Value Code related to monetary data necessary for processing the claim.  (2300, HI03-2, HI*BE)",Claim,Text,2,462,463,Y,50,Y,52,
Detail,VALUE_AMOUNT_03,"The value in this field represents the Value Amount that includes monetary data necessary for processing the claim.  (2300, HI03-2, HI*BE)",Claim,Numeric 9(8)V99,10,464,473,Y,51,Y,53,
Detail,VALUE_CODE_04,"The value in this field represents the Value Code related to monetary data necessary for processing the claim.  (2300, HI04-2, HI*BE)",Claim,Text,2,474,475,Y,52,Y,54,
Detail,VALUE_AMOUNT_04,"The value in this field represents the Value Amount that includes monetary data necessary for processing the claim.  (2300, HI04-2, HI*BE)",Claim,Numeric 9(8)V99,10,476,485,Y,53,Y,55,
Detail,VALUE_CODE_05,"The value in this field represents the Value Code related to monetary data necessary for processing the claim.  (2300, HI05-2, HI*BE)",Claim,Text,2,486,487,Y,54,Y,56,
Detail,VALUE_AMOUNT_05,"The value in this field represents the Value Code related to monetary data necessary for processing the claim.  (2300, HI05-2, HI*BE)",Claim,Numeric 9(8)V99,10,488,497,Y,55,Y,57,
Detail,VALUE_CODE_06,"The value in this field represents the Value Code related to monetary data necessary for processing the claim.  (2300, HI06-2, HI*BE)",Claim,Text,2,498,499,Y,56,Y,58,
Detail,VALUE_AMOUNT_06,"The value in this field represents the Value Amount that includes monetary data necessary for processing the claim.  (2300, HI06-2, HI*BE)",Claim,Numeric 9(8)V99,10,500,509,Y,57,Y,59,
Detail,VALUE_CODE_07,"The value in this field represents the Value Code related to monetary data necessary for processing the claim.  (2300, HI07-2, HI*BE)",Claim,Text,2,510,511,Y,58,Y,60,
Detail,VALUE_AMOUNT_07,"The value in this field represents the Value Amount that includes monetary data necessary for processing the claim.  (2300, HI07-2, HI*BE)",Claim,Numeric 9(8)V99,10,512,521,Y,59,Y,61,
Detail,VALUE_CODE_08,"The value in this field represents the Value Code related to monetary data necessary for processing the claim.  (2300, HI08-2, HI*BE)",Claim,Text,2,522,523,Y,60,Y,62,
Detail,VALUE_AMOUNT_08,"The value in this field represents the Value Code related to monetary data necessary for processing the claim.  (2300, HI08-2, HI*BE)",Claim,Numeric 9(8)V99,10,524,533,Y,61,Y,63,
Detail,VALUE_CODE_09,"The value in this field represents the Value Amount that includes monetary data necessary for processing the claim.  (2300, HI09-2, HI*BE)",Claim,Text,2,534,535,Y,62,Y,64,
Detail,VALUE_AMOUNT_09,"The value in this field represents the Value Code related to monetary data necessary for processing the claim.  (2300, HI09-2, HI*BE)",Claim,Numeric 9(8)V99,10,536,545,Y,63,Y,65,
Detail,VALUE_CODE_10,"The value in this field represents the Value Code related to monetary data necessary for processing the claim.  (2300, HI10-2, HI*BE)",Claim,Text,2,546,547,Y,64,Y,66,
Detail,VALUE_AMOUNT_10,"The value in this field represents the Value Amount that includes monetary data necessary for processing the claim.  (2300, HI10-2, HI*BE)",Claim,Numeric 9(8)V99,10,548,557,Y,65,Y,67,
Detail,VALUE_CODE_11,"The value in this field represents the Value Code related to monetary data necessary for processing the claim.  (2300, HI11-2, HI*BE)",Claim,Text,2,558,559,Y,66,Y,68,
Detail,VALUE_AMOUNT_11,"The value in this field represents the Value Amount that includes monetary data necessary for processing the claim.  (2300, HI11-2, HI*BE)",Claim,Numeric 9(8)V99,10,560,569,Y,67,Y,69,
Detail,VALUE_CODE_12,"The value in this field represents the Value Code related to monetary data necessary for processing the claim.  (2300, HI12-2, HI*BE)",Claim,Text,2,570,571,Y,68,Y,70,
Detail,VALUE_AMOUNT_12,"The value in this field represents the Value Amount that includes monetary data necessary for processing the claim.  (2300, HI12-2, HI*BE)",Claim,Numeric 9(8)V99,10,572,581,Y,69,Y,71,
Detail,VALUE_CODE_13,"The value in this field represents the Value Code related to monetary data necessary for processing the claim.  (2300, HI*BE Segment Repeat)",Claim,Text,2,582,583,Y,70,Y,72,
Detail,VALUE_AMOUNT_13,"The value in this field represents the Value Amount that includes monetary data necessary for processing the claim.  (2300, HI*BE Segment Repeat)",Claim,Numeric 9(8)V99,10,584,593,Y,71,Y,73,
Detail,VALUE_CODE_14,"The value in this field represents the Value Code related to monetary data necessary for processing the claim.  (2300, HI*BE Segment Repeat)",Claim,Text,2,594,595,Y,72,Y,74,
Detail,VALUE_AMOUNT_14,"The value in this field represents the Value Amount that includes monetary data necessary for processing the claim.  (2300, HI*BE Segment Repeat)",Claim,Numeric 9(8)V99,10,596,605,Y,73,Y,75,
Detail,VALUE_CODE_15,"The value in this field represents the Value Code related to monetary data necessary for processing the claim.  (2300, HI*BE Segment Repeat)",Claim,Text,2,606,607,Y,74,Y,76,
Detail,VALUE_AMOUNT_15,"The value in this field represents the Value Amount that includes monetary data necessary for processing the claim.  (2300, HI*BE Segment Repeat)",Claim,Numeric 9(8)V99,10,608,617,Y,75,Y,77,
Detail,VALUE_CODE_16,"The value in this field represents the Value Code related to monetary data necessary for processing the claim.  (2300, HI*BE Segment Repeat)",Claim,Text,2,618,619,Y,76,Y,78,
Detail,VALUE_AMOUNT_16,"The value in this field represents the Value Amount that includes monetary data necessary for processing the claim.  (2300, HI*BE Segment Repeat)",Claim,Numeric 9(8)V99,10,620,629,Y,77,Y,79,
Detail,VALUE_CODE_17,"The value in this field represents the Value Code related to monetary data necessary for processing the claim.  (2300, HI*BE Segment Repeat)",Claim,Text,2,630,631,Y,78,Y,80,
Detail,VALUE_AMOUNT_17,"The value in this field represents the Value Amount that includes monetary data necessary for processing the claim.  (2300, HI*BE Segment Repeat)",Claim,Numeric 9(8)V99,10,632,641,Y,79,Y,81,
Detail,VALUE_CODE_18,"The value in this field represents the Value Code related to monetary data necessary for processing the claim.  (2300, HI*BE Segment Repeat)",Claim,Text,2,642,643,Y,80,Y,82,
Detail,VALUE_AMOUNT_18,"The value in this field represents the Value Amount that includes monetary data necessary for processing the claim.  (2300, HI*BE Segment Repeat)",Claim,Numeric 9(8)V99,10,644,653,Y,81,Y,83,
Detail,VALUE_CODE_19,"The value in this field represents the Value Code related to monetary data necessary for processing the claim.  (2300, HI*BE Segment Repeat)",Claim,Text,2,654,655,Y,82,Y,84,
Detail,VALUE_AMOUNT_19,"The value in this field represents the Value Amount that includes monetary data necessary for processing the claim.  (2300, HI*BE Segment Repeat)",Claim,Numeric 9(8)V99,10,656,665,Y,83,Y,85,
Detail,VALUE_CODE_20,"The value in this field represents the Value Code related to monetary data necessary for processing the claim.  (2300, HI*BE Segment Repeat)",Claim,Text,2,666,667,Y,84,Y,86,
Detail,VALUE_AMOUNT_20,"The value in this field represents the Value Amount that includes monetary data necessary for processing the claim.  (2300, HI*BE Segment Repeat)",Claim,Numeric 9(8)V99,10,668,677,Y,85,Y,87,
Detail,VALUE_CODE_21,"The value in this field represents the Value Code related to monetary data necessary for processing the claim.  (2300, HI*BE Segment Repeat)",Claim,Text,2,678,679,Y,86,Y,88,
Detail,VALUE_AMOUNT_21,"The value in this field represents the Value Amount that includes monetary data necessary for processing the claim.  (2300, HI*BE Segment Repeat)",Claim,Numeric 9(8)V99,10,680,689,Y,87,Y,89,
Detail,VALUE_CODE_22,"The value in this field represents the Value Code related to monetary data necessary for processing the claim.  (2300, HI*BE Segment Repeat)",Claim,Text,2,690,691,Y,88,Y,90,
Detail,VALUE_AMOUNT_22,"The value in this field represents the Value Amount that includes monetary data necessary for processing the claim.  (2300, HI*BE Segment Repeat)",Claim,Numeric 9(8)V99,10,692,701,Y,89,Y,91,
Detail,VALUE_CODE_23,"The value in this field represents the Value Code related to monetary data necessary for processing the claim.  (2300, HI*BE Segment Repeat)",Claim,Text,2,702,703,Y,90,Y,92,
Detail,VALUE_AMOUNT_23,"The value in this field represents the Value Amount that includes monetary data necessary for processing the claim.  (2300, HI*BE Segment Repeat)",Claim,Numeric 9(8)V99,10,704,713,Y,91,Y,93,
Detail,VALUE_CODE_24,"The value in this field represents the Value Code related to monetary data necessary for processing the claim.  (2300, HI*BE Segment Repeat)",Claim,Text,2,714,715,Y,92,Y,94,
Detail,VALUE_AMOUNT_24,"The value in this field represents the Value Amount that includes monetary data necessary for processing the claim.  (2300, HI*BE Segment Repeat)",Claim,Numeric 9(8)V99,10,716,725,Y,93,Y,95,
Detail,CLAIM_DOS_BEGIN_DATE,"The value in this field should represent the date in the Statement Covers Period From date.  (2300, DTP03, Data Element 1251)",Claim,"Date
YYYYMMDD",8,726,733,Y,94,Y,96,
Detail,CLAIM_DOS_END_DATE,"The value in this field should represent the date in the Statement Covers Period Through date.   (2300, DTP03, Data Element 1251)",Claim,"Date
YYYYMMDD",8,734,741,Y,95,Y,97,
Detail,LENGTH_OF_STAY,"The value in this field represents the length of stay (LOS), which is a term to describe the duration of a single episode of hospitalization. Inpatient days are calculated by subtracting day of admission from day of discharge.",Claim,Numeric,4,742,745,N,96,,98,
Detail,ADMIT_DATE,"The value in this field should represent the date in the Statement Covers Period From date.  Required for CV.  (2300, DTP03)",Claim,"Date
YYYYMMDD",8,746,753,Y,97,,99,
Detail,ADMIT_TIME_HH,"The value in this field represents the Admit Hour in 24-hour time.  Valid values are 00 to 23. (2300, DTP03)",Claim,"Numeric
(HH)",2,754,755,Y,98,Y,100,
Detail,ADMIT_TIME_MM,"The value in this field represents the Admit Minute.  Valid values are 00 to 59.  (2300, DTP03)",Claim,Numeric (MM),2,756,757,Y,99,Y,101,
Detail,ADMIT_TYPE,"The value in this field represents the type of admission. This field represents the primary reason for admission.  Expected values are:
1 = Emergency
2 = Urgent
3 = Elective
4 = Newborn
5 = Trauma
9 = Information Not Available
(2300, CL101)",Claim,Text,1,758,758,Y,100,Y,102,
Detail,ADMIT_SOURCE_CODE,"This field represents the source for the admission.  Expected values are:
1 = Physician Referral
2 = Clinic Referral
3 = HMO Referral
4 = Transfer from Hospital
5 = Transfer from SNF
6 = Transfer From Another Health Care Facility
7 = Emergency Room
8 = Court/Law Enforcement
9 = Information Not Available
In the Case of Newborn:
1 = Normal Delivery
2 = Premature Delivery
3 = Sick Baby
4 = Extramural Birth
(2300, CL102)",Claim,Text,1,759,759,Y,101,Y,103,
Detail,DISCHARGE_DATE,The value in this field represents the Discharge Date.,Claim,"Date
YYYYMMDD",8,760,767,N,102,N,104,
Detail,DISCHARGE_TIME_HH,"The value in this field represents the Discharge Hour in 24-hour time.  Valid values are 00 to 23.  (2300, DTP03, DTP*096)",Claim,"Numeric
(HH)",2,768,769,Y,103,Y,105,
Detail,DISCHARGE_TIME_MM,"The value in this field represents the Discharge Hour in 24-hour time.  Valid values are 00 to 23.  (2300, DTP03, DTP*096)",Claim,Numeric (MM),2,770,771,N,104,Y,106,
Detail,DISCHARGE_STATUS,The value in this field represents the discharge status of the patient.,Claim,Text,2,772,773,Y,105,Y,107,
Detail,SUB_DRG,"The value in this field represents the DRG billed by the provider.  Required when CONTRACT_TYPE_CODE = 01.  If the provider did not provide a submitted DRG, populate the submitted DRG with the allowed DRG value calculated by the payer.  (2300, HI01-2, HI*DR)",Claim,Text,5,774,778,N,106,N,108,
Detail,SUB_SEVERITY,"The value in this field represents the severity of illness (SOI) subclass submitted by the provider.  Valid values are:
1 = Minor
2 = Moderate
3 = Major
4 = Extreme
Required for claims that have APR grouper DRG codes. If the submitted DRG and severity are not available, populate the submitted DRG and submitted severity with the allowed values calculated by the payer.",Claim,Text,2,779,780,N,107,N,109,
Detail,ALLOWED_DRG,"The value in this field represents the payer’s calculated DRG.  Required when CONTRACT_TYPE_CODE = 01. If the payer does not recalculate the submitted DRG, and pays the submitted DRG, populate the allowed DRG with the submitted DRG value.",Claim,Text,5,781,785,N,108,Y,110,Zelis
Detail,ALLOWED_SEVERITY,"The value in this field represents the severity of illness (SOI) subclass allowed by the payer.  Valid values are:
1 = Minor
2 = Moderate
3 = Major
4 = Extreme.
Required for claims that have APR grouper DRG codes.  If the payer does not recalculate the submitted DRG and severity, and uses the submitted values, populate the allowed DRG and severity with the submitted values.",Claim,Text,2,786,787,N,109,N,111,
Detail,DRG_INLIER_AMOUNT,The value in this field represents the dollar amount associated with the inlier portion of the calculated DRG value.,Claim,Numeric 9(8)V99,10,788,797,N,110,N,112,
Detail,DRG_OUTLIER_AMOUNT,The value in this field represents the dollar amount associated with the outlier portion of the calculated DRG value.,Claim,Numeric 9(8)V99,10,798,807,N,111,Y,113,Zelis
Detail,GROUPER_ID,"The value in this field represents the DRG grouper associated with the ALLOWED_DRG field on this claim.  Client values will be determined during the implementation, and must be mapped to specific grouper values maintained by CCV.  This field provides the ability to support grouper exceptions if a provider is exempt from the standard grouper configured for this payer/line of business/state.",Claim,Text,30,808,837,N,112,N,114,
Detail,GROUPER_VERSION,The value in this field represents the grouper version that was used to determine the DRG associated with the claim.,Claim,Text,5,838,842,N,113,N,115,
Detail,APC_CODE,This field represents the Ambulatory Payment Classification (APC) code used in the client’s claim system to pay  hospital outpatient services.,Line,Numeric,4,843,846,N,114,N,116,
Detail,APC_PAYMENT_WEIGHT,The value in this field represents the relative weight associated with the submitted APC and used for calculating payment.,Line,Numeric 9(3)V9999,7,847,853,N,115,N,117,
Detail,APC_VERSION,This field represents the APC version used to acquire the relative weight used to calculate the claim payment.,Line,Text,5,854,858,N,116,N,118,
Detail,APG_CODE,This field represents the Ambulatory Patient Group (APG) used to reimburse providers for Medicaid services.,Line,Text,5,859,863,N,117,N,119,
Detail,APG_VERSION,The value in this field represents the APG version used to calculate the claim payment.,Line,Text,5,864,868,N,118,N,120,
Detail,REGULATORY_STATE,"Designates the regulatory state applicable for this claim.  This is a claim-level field.  Required for Medicaid and Commercial lines of business, based on the INSURANCE_LOB mapping.",Claim,Text,3,869,871,N,119,N,121,
Detail,PRINCIPAL_DIAGNOSIS_QUAL,"The value in this field represents a qualifier to show whether the corresponding diagnosis code noted below is in ICD-9 or ICD-10 format.  Value should be '0' for ICD-10 diagnosis codes and '9' for ICD-9 diagnosis codes. Required for CV.  (2300, HI01-1, HI*BK or HI*ABK)",Claim,Text,1,872,872,N,120,N,122,
Detail,PRINCIPAL_DIAGNOSIS,"The value in this field represents the Principal Diagnosis which is the principal condition established after evaluation and treatment. This field will be used for both ICD-9 and ICD-10 values. Required for CV.  (2300, HI01-2, HI*BK or HI*ABK)",Claim,Text,7,873,879,Y,121,Y,,
Detail,PRINCIPAL_DIAGNOSIS_POA,"The value in this field represents the Present on Admission Indicator for the Principal Diagnosis. These should be populated whenever possible.
Valid values:
Y = Yes - Present at time of admission
N = Not present at time of  admission
U = Unknown - Documentation is insufficient to determine if condition was present on admission
W = Clinically undetermined
Blank = unreported, not used, exempt from POA reporting.

Note:  Value ‘1’ was previously used to indicate exempt from POA. This is no longer supported by CMS and should be sent as blank. Inpatient Prospective Payment System (IPPS) hospitals are required to submit POA information on diagnoses for inpatient discharges on or after October 1, 2007.  (2300, HI01-9, HI*BK or HI*ABK)",Claim,Text,1,880,880,Y,122,Y,,
