Advantasure fields,,,,,,,,HRP,,,HE - Enrollment Sparse,,
No,field,Type,,Details,Sample,Description,,,,,XML Mapping,Mapping Logics,Comments
1,Transaction Type,ALL,3,,D,The transaction type that is being output and determines which fields will be populated on the record.,,NA,Not needed,NA,NA,,
,,,,,,,,,,,,,
,,,,,,LOV:,,,,,,,
,,,,,,▪    DEM (Demographics) – Non spanable always contains the latest value,,,,,,,
,,,,,,▪    ADR – Address History,,,,,,,
,,,,,,▪    PLN – Plan Enrollment History,,,,,,,
,,,,,,▪    PWO – Premium Withhold,,,,,,,
,,,,,,▪    LIS – Low Income Subsidy,,,,,,,
,,,,,,▪    LEP – Late Enrollment Penalty,,,,,,,
,,,,,,▪    FLG – Flag set in the system,,,,,,,
,,,,,,▪    BRK – Broker,,,,,,,
,,,,,,▪    PCP – Primary Care Physician,,,,,,,
,,,,,,▪    GRP – Group/Subgroup information,,,,,,,
,,,,,,▪    RDR – Rider,,,,,,,
,,,,,,▪    COB – Coordination of Benefits,,,,,,,
,,,,,,▪    MCD - Medicaid,,,,,,,
,,,,,,▪    M3P-Medicare Prescription Payment Plan,,,,,,,
74,Race Code,DEM,128,Member Details,999,See ‘CMS OEC Race and Ethnicity Values’ section for LOV,"Multiple values can be within this one field. Values will be comma separated. IE: 999, 499",Not available,Y,Race,"enrollment/member/raceOrEthnicity/raceOrEthnicityCodes/codeSetName

Code Set Name = RaceOrEthnicityCode

enrollment/member/raceOrEthnicity/raceOrEthnicityCodes/codeEntry

Please refer the cross walk table 'Race Values' for code entry mapping",,"Multiple values can be send across the Memout file for a member. Values will be comma seperated. Refer Tab Crosswalk for code entry details.
If multiple values send across , all values should be mapped to HRP."
75,ikaUniqueID,DEM,11,System,1234,Unique sequential number assigned by internal process,,NA,Not needed,NA,NA,,Seena04/06: Adv team confirmed this id is used for Adv internal processing and this is not fed to upstream/downstream processing
76,Family Link Indicator,DEM,12,Member Details,987654321,ID number used by the client to link family members together in commercial systems,,Couldn’t locate in HRP UI,NA,NA,NA,,
77,In Premium Delinquency Process,DEM,1,Member Details,Y,Flag indicating if member is currently in the Premium Delinquency process,,Couldn’t locate in HRP UI,N,NA,NA,,
78,Ethnicity,DEM,128,Member Details,CUB,See ‘CMS OEC Race and Ethnicity Values’ section for LOV,"Multiple values can be within this one field. Values will be comma separated. IE: CUB, OTH",General : Ethnicity,Y,Member - Demographic,"enrollment/member/raceOrEthnicity/raceOrEthnicityCodes/codeSetName

Code Set Name = RaceOrEthnicityCode

enrollment/member/raceOrEthnicity/raceOrEthnicityCodes/codeEntry

Refer the cross walk table 'Ethnicity Values' for code entry mapping


Multiple values can be send across the Memout file for a member. Values will be comma seperated. Refer Tab Crosswalk for code entry details.
If multiple values send across , all values should be mapped to HRP.

Note : Both Race & Ethnicity needs to be mapped to same XML tags.",,"Multiple values can be send across the Memout file for a member. Values will be comma seperated. Refer Tab Crosswalk for code entry details.
If multiple values send across , all values should be mapped to HRP.

Note : Both Race & Ethnicity needs to be mapped to same XML tags."
79,Filler Field,DEM,50,,,Filler Field – to be used for future enhancements,,NA,Not needed,NA,NA,,
80,Filler Field,DEM,50,,,Filler Field – to be used for future enhancements,,NA,Not needed,NA,NA,,
81,Filler Field,DEM,50,,,Filler Field – to be used for future enhancements,,NA,Not needed,NA,NA,,
82,od,PCP,25,PCP/Enroll History,IM29867,Provider number or PCP ID for MA and MAPD plans,Information is captured from PCP & Enrollment History,Provider,Y,Provider - Practitioner,"This field can contain PCP id or Supplier ID depends on client specification. Based on the requirement from the client we can choose the provider or supplier tag.

enrollment/member/providerSelections/providerSelection/providerDateRanges/providerMatch/practitioner/hccIdentificationNumber",,Field No 82 mapping needs to handled at implementation side.
83,PCP/Provider Address Suffix,PCP,20,PCP/Enroll History,567423,Client-specific,If applicable,Couldn’t locate in HRP UI,N,NA,xml TAG not available in Sparse,,
84,PCP/Provider Eff Date,PCP,8,PCP/Enroll History,20120401,PCP effective date as listed in the member record,Information is captured from PCP & Enrollment History,Provider Choice,Y,Member - Provider,No need to map.,,
85,Filler Field,PCP,50,PCP/Enroll History,,Filler Field – to be used for future enhancements,,NA,Not needed,NA,NA,,
86,Filler Field,PCP,50,PCP/Enroll History,,Filler Field – to be used for future enhancements,,NA,Not needed,NA,NA,,
87,Broker Name,BRK,105,Application,Amy Cooper,Name of selling broker,,Subscriber:Broker Selection,Y,Member- Broker,xml TAG not available in Sparse,,"no need to map/Current direction is not to bring Broker data to HRP,"
88,Broker Code,BRK,10,Application,J3905,Broker code,,Subscriber:Broker Selection,Y,Member- Broker,,,no need to map
89,Broker Association/Agency,BRK,10,Application,4,Agency code,,Subscriber:Broker Selection,Y,Member- Broker,,,no need to map
90,Filler Field,BRK,50,PCP/Enroll History,,Filler Field – to be used for future enhancements,,NA,Not needed,NA,NA,,
91,Filler Field,BRK,50,PCP/Enroll History,,Filler Field – to be used for future enhancements,,NA,Not needed,NA,NA,,
92,Filler Field,BRK,50,PCP/Enroll History,,Filler Field – to be used for future enhancements,,NA,Not needed,NA,NA,,
93,Filler Field,BRK,50,PCP/Enroll History,,Filler Field – to be used for future enhancements,,NA,Not needed,NA,NA,,
94,Creditable Coverage Flag,LEP,1,System Logic,N,LOV: Y = Yes; N = No,This value is always NULL,NA,Not needed,NA,NA,,
95,LEP Number of Uncovered Months,LEP,3,PCP/Enroll History,18,Number of months for which a member did not have creditable drug coverage,,Medicare : Part D LEP,Y,Member-Medicare,"enrollment/member/medicareHICN/partDDateRanges/partDDateRanges/partDLEPDateRanges/partDLEPCurrentNumberofUncoveredMonths
or enrollment/member/medicareHICN/partDDateRanges/partDDateRanges/partDLEPDateRanges/partDLEPTotalNumberofUncoveredMonths",,
96,Part D LEP Amount,LEP,6,PCP/Enroll History,4.4,Member LEP amount received from CMS,,Medicare : Part D LEP,Y,Member-Medicare,"enrollment/member/medicareHICN/partDDateRanges/partDDateRanges/partDLEPDateRanges/partDLEPAmount

enrollment/member/medicareHICN/partDDateRanges/partDDateRanges/partDLEPDateRanges/startDate= start Date from LEP transaction

enrollment/member/medicareHICN/partDDateRanges/partDDateRanges/partDLEPDateRanges/endtDate= end Date from LEP transaction

(the  effective date is populated because during testing it was identified this is a mandatory xml tag for Enrollment Sparse to process Part D LEP Amount to HRP)

Here start and end date is based on the LEP transaction 'Start date' (field 3) and 'End date (field 4)",,
97,PartD LEP Waived Amount,LEP,6,PCP/Enroll History,1,Data from CMS,,Medicare : Part D LEP,Y,Member-Medicare,enrollment/member/medicareHICN/partDDateRanges/partDDateRanges/partDLEPDateRanges/partDLEPWaivedAmount,,
98,PartD LEP Subsidy Amount,LEP,6,PCP/Enroll History,1,Data from CMS,,Medicare : Part D LEP,Y,Member-Medicare,enrollment/member/medicareHICN/partDDateRanges/partDDateRanges/partDLEPDateRanges/partDLEPSubsidyAmount,,
99,LEP Source,LEP,6,PCP/Enroll History,TRR,"LOV: LISLEP, MPWR, TRR, Other",,couldn't locate in HRP,N,NA,NA,,
100,Filler Field,LEP,50,PCP/Enroll History,,Filler Field – to be used for future enhancements,,NA,Not needed,NA,NA,,
101,Filler Field,LEP,50,PCP/Enroll History,,Filler Field – to be used for future enhancements,,NA,Not needed,NA,NA,,
102,Current LIS Premium Subsidy,LIS,6,Plan set up value,34.2,Subsidy amount that CMS contributes toward Part D premium,,Medicare Part D LIS,Y,Member: Medicare,"enrollment/member/medicareHICN/partDDateRanges/partDDateRanges/partDCurrLISPremSubsidyDates/partDCurrentLISPremiumSubsidyAmount

If Subsidy Amount is send across

enrollment/member/medicareHICN/partDDateRanges/partDDateRanges/partDCurrLISPremSubsidyDates/startDate = Start date from LIS transaction

enrollment/member/medicareHICN/partDDateRanges/partDDateRanges/partDCurrLISPremSubsidyDates/endDate = End date from LIS transaction

Here start and end date is based on the LIS transaction 'Start date' (field 3) and 'End date (field 4)",,
103,PartD LIS Subsidy Level,LIS,3,PCP/Enroll History,50,"LOV: 000, 025, 050, 075, and 100",,Medicare Part D LIS,Y,Member: Medicare,"enrollment/member/medicareHICN/partDDateRanges/partDDateRanges/partDLISSubsidyLevelDates/partDLISSubsidyLevel/codeEntry

The code entry is the input value from this  field

enrollment/member/medicareHICN/partDDateRanges/partDDateRanges/partDLISSubsidyLevelDates/partDLISSubsidyLevel/codesetname

codesetname= PartDLISSubsidyLevel


If Subsidy Level is send across
enrollment/member/medicareHICN/partDDateRanges/partDDateRanges/partDLISSubsidyLevelDates/startDate = Start date from LIS transaction

enrollment/member/medicareHICN/partDDateRanges/partDDateRanges/partDLISSubsidyLevelDates/endDate = End date from LIS transaction

Here start and end date is based on the LIS transaction 'Start date' (field 3) and 'End date (field 4)",,
104,PartD LIS Copay Category,LIS,1,PCP/Enroll History,4,"LOV: 0, 1, 2, 3, 4",,Medicare Part D LIS,Y,Member: Medicare,"enrollment/member/medicareHICN/partDDateRanges/partDDateRanges/partDLISCopayCategoryDates/partDLISCopayCategoryCode/codeEntry

The code entry is the input value from this field

enrollment/member/medicareHICN/partDDateRanges/partDDateRanges/partDLISCopayCategoryDates/partDLISCopayCategoryCode/codesetname

codesetname=partDLISCopayCategory

If Copay Category is send across
enrollment/member/medicareHICN/partDDateRanges/partDDateRanges/partDLISCopayCategoryDates/startDate = Start date from LIS transaction

enrollment/member/medicareHICN/partDDateRanges/partDDateRanges/partDLISCopayCategoryDates/endDate = End date from LIS transaction

Here start and end date is based on the LIS transaction 'Start date' (field 3) and 'End date (field 4)",,
105,LIS Source Code,LIS,50,PCP/Enroll History,A,LOV: A = Applicant; D = Deemed,,Couldn’t locate in HRP UI,N,NA,NA,,
106,Filler Field,LIS,50,PCP/Enroll History,,Filler Field – to be used for future enhancements,,NA,Not needed,NA,NA,,
107,Filler Field,LIS,50,PCP/Enroll History,,Filler Field – to be used for future enhancements,,NA,Not needed,NA,NA,,
108,Contract Number,PLN,5,PCP/Enroll History,H1234,Contract number (K#) of the current plan,,Benefit Plan Configurtaion,Y,NA,,,
109,PBP Number,PLN,3,PCP/Enroll History,67,PBP number for the plan,,Benefit Plan Configurtaion,Y,NA,"Here we need to concatenated Contract number +PBP number and map to

enrollment/member/planSelection/benefitPlanMatchData/parameter/value

In value we need to map the concatenated value

enrollment/member/planSelection/benefitPlanMatchData/parameter/name

In name we hardcode the name as 'BenefitPlanName'",,
110,Segment,PLN,3,Claims Eligibility,5,"Plan segment number, if applicable",Value is only for segmented plans and has a unique relationship with the county in which a member resides,Benefit plan configuration,Y,NA,NA,,
111,Group ID,PLN / GRP,25,Claims Eligibility,56129R,Group number associated with the member’s,,General:Account,Y,Member-Account,"/enrollment/subscription/membergroup

Account:  First 6 bytes will be used
/enrollment/subscription/accountMatchData/accountHccIdentifier/topAccountHccIdentificationNumber
/enrollment/member/memberMatchData/topAccount",,
,,,,,,plan,,,,,,,
112,Subgroup,GRP,20,Claims Eligibility,1000,Subgroup number associated with the,,NA,Not needed,NA,No need to map,,
,,,,,,member’s plan,,,,,,,
113,Class ID,PLN,25,Claims Eligibility,,Client-specific,,May be Benefit plan configuration,Y,NA,NA,,
114,Plan Code,PLN,3,Claims Eligibility,,Client-specific,,Benefit Plan,Y,Member - Coverage,,,
115,Disenrollment Reason code (DRC),PLN,2,Plan Span,,Disenrollment Reason Code,"Refer to the CMS PCUG for the latest
Disenrollment Reason Codes.
Always populated",Not Available,N,Member-Coverage,"enrollment/member/planSelection/enrollmentInfo/disenrollReason

enrollment/member/planSelection/enrollmentInfo/disenrollDate = End date + 1 from PLN transaction

End date is captured from the field 4 (End date) + 1

enrollment/member/planSelection/memberTerminateReasonCode/codeSetName = MemberTerminateReason

enrollment/member/planSelection/memberTerminateReasonCode/codeEntry

refer Crosswalk 'Dis Enrollment Reason Code'",,
116,Filler Field,PLN,50,,,Filler Field – to be used for future enhancements,,NA,Not needed,NA,NA,,
117,Filler Field,PLN,50,,,Filler Field – to be used for future enhancements,,NA,Not needed,NA,NA,,
118,Filler Field,PLN,50,,,Filler Field – to be used for future enhancements,,NA,Not needed,NA,NA,,
119,Signature Date,PLN,8,Application data,20120210,Date that the application was signed by applicant or POA in the format YYYYMMDD,,Not Available,N,Member-Coverage,enrollment/member/planSelection/enrollmentInfo/applicationSignatureDate,Date format - YYYY-MM-DD,
120,CSNP Disenrollment Eff. Date,PLN,8,System Logic,20120901,Chronic Special Need Plan Disenrollment Eff date,,Couldn’t locate in HRP UI,N,NA,xml TAG not available in Sparse,,
121,Election Type,PLN,300,Application data,,Election type,Will contain a value only if the last transaction is enrollment or PBP change,Couldn’t locate in HRP UI,N,NA,"enrollment/member/planSelection/enrollmentInfo/medicareEnrollmentPeriodCode/codeSetName=MedicareEnrollmentPeriod

enrollment/member/planSelection/enrollmentInfo/medicareEnrollmentPeriodCode/codeEntry

The value comes in the field 'Election Type' will be mapped to Code Entry",,
122,Term Reason Code,PLN,20,PCP/Enroll History,DOD,Termination reason code listed in the Plan Override section of PCP & Enrollment History,Not always populated,Benefit Plan,Y,Member-Coverage,,,
123,Plan Rider,RDR,1,Claims Eligibility,,LOV: D = Dental; V = Vision; R= Rx,,Benefit plan configuration,Y,NA,NA,,
124,Rider Code,RDR,50,Claims Eligibility,,Code used to identify specific rider benefit,,Benefit plan configuration,Y,NA,NA,,
125,Filler Field,RDR,50,PCP/Enroll History,,Filler Field – to be used for future enhancements,,NA,Not needed,NA,NA,,
126,Filler Field,RDR,50,PCP/Enroll History,,Filler Field – to be used for future enhancements,,NA,Not needed,NA,NA,,
127,Payment Method Type,PWO,20,PCP/Enroll History,SSA,Member premium payment option,No Premium; Receive monthly bill; EFT/APO;CC; RRB; SSA; No data,NA,NA,NA,enrollment/member/medicareHICN/premiumWithholdDateRanges/premiumWithholdDateRange/premiumWithholdPaymentMethodType,,no need to map
128,Premium Withhold Option,PWO,1,PCP/Enroll History,SSA,Premium Withhold Option submitted to CMS; LOV: D= Bill; S= SSA; R= RRB,,,,,"enrollment/member/medicareHICN/premiumWithholdDateRanges/premiumWithholdDateRange/premiumWithholdOption

map START DATE from PWO Transcation type to enrollment/member/medicareHICN/premiumWithholdDateRanges/premiumWithholdDateRange/startDate
map END DATE from PWO Transcation type to enrollment/member/medicareHICN/premiumWithholdDateRanges/premiumWithholdDateRange/EndDate",,
129,Name of Account Holder,PWO,105,PCP/Enroll History,John Smith,Account holder name listed on member record,No longer supported. Value is always blank,NA,Not needed,NA,NA,,
130,Account Number,PWO,20,PCP/Enroll History History,78912378900,Account number listed on member record,NACHA/BizTalk encrypted eff spring 2023,,,,,,
131,Bank Routing Number,PWO,20,PCP/Enroll History,123456789,Bank routing number listed on member record,NACHA/BizTalk encrypted eff spring 2023,,,,,,
132,Bank Account Type,PWO,1,PCP/Enroll History,C,"LOV: C = Checking, S = Savings",If applicable,,,,,,
133,Credit Card Type,PWO,50,PCP/Enroll History,,Credit card type selected in the system,No longer supported. Value is always blank,NA,Not needed,NA,NA,,
134,Credit Card Account Holder Name,PWO,105,PCP/Enroll History,,Credit card type selected in the system,No longer supported. Value is always blank,NA,Not needed,NA,NA,,
135,Credit Card Number,PWO,16,PCP/Enroll History,,Credit card number,No longer supported. Value is always blank,NA,Not needed,NA,NA,,
136,Credit card Security Code,PWO,3,PCP/Enroll History,,Credit card security code from back of card,No longer supported. Value is always blank,NA,Not needed,NA,NA,,
137,Credit Card Expiration Date,PWO,6,PCP/Enroll History,,Expiration date of the credit card in the format YYYYMM,No longer supported. Value is always blank,NA,Not needed,NA,NA,,
138,Filler Field,PWO,50,PCP/Enroll History,,Filler Field – to be used for future enhancements,,NA,Not needed,NA,NA,,
139,Filler Field,PWO,50,PCP/Enroll History,,Filler Field – to be used for future enhancements,,NA,Not needed,NA,NA,,
140,Hospice Flag,FLG,1,PCP/Enroll History,Y,Member has a Hospice flag; LOV: Y = Yes; N = No U=Unknown,Source can be TRR or user update. Each status flag record in the system will send a separate record on this file,Medicare and General tab,Y,Member - Health Indicators,"enrollment/member/medicareHICN/hospiceIndicator

If Hospice Indicator is Y
enrollment/member/medicareHICN/hospiceDateRanges/hospiceDateRange/startDate= Start Date from the FLG Transaction


enrollment/member/medicareHICN/hospiceDateRanges/hospiceDateRange/endDate= End Date from the FLG Transaction
(if end date is not provided in file use 01/01/3000 as End date)","Map only if Hospice Flag = Y.

If Hospice Flag = Y, populate /hospiceIndicator  as 'True'",
141,Medicaid Flag,FLG,1,PCP/Enroll History,Y,Member has a Medicaid flag; LOV: Y = Yes; N = No,Source can be TRR or user update. Each status flag record in the system will send a separate record on this file,Couldn’t locate in HRP UI,N,NA,"enrollment/member/medicareHICN/medicaidDateRanges/medicaidDateRange/startDate = Start Date from the FLG Transction

enrollment/member/medicareHICN/medicaidDateRanges/medicaidDateRange/endDate = End Date from the FLG Transction",Map only if Medicaid Flag = Y.,
142,MSP/Working Aged Flag,FLG,1,PCP/Enroll History,Y,Member has a Medicare Secondary Payer flag; LOV: Y = Yes; N = No,Source can be TRR or user update. Each status flag record in the system will send a separate record on this file,Couldn’t locate in HRP UI,N,NA,xml TAG not available in Sparse,,
143,Institutional Flag,FLG,1,PCP/Enroll History,Y,"Member is a resident of an institution; LOV: Y = Yes; N = No, U=Unknown",Source can be TRR or user update. Each status flag record in the system will send a separate record on this file,Medicare,Y,Member - Health Indicators,"enrollment/member/medicareHICN/institutionalIndicator


If Institutional Flag  is Y

enrollment/member/medicareHICN/institutionalDateRanges/institutionalDateRange/startDate= Start date from the FLG transactions

enrollment/member/medicareHICN/institutionalDateRanges/institutionalDateRange/endDate= End date from the FLG transactions
(if end date is not provided in file use 01/01/3000 as End date)","Map only if Institutional Flag = Y.

If Institutional Flag = Y, populate /institutionalIndicator  as 'True'",
144,ESRD Flag,FLG,1,PCP/Enroll History,Y,Member has ESRD; LOV: Y = Yes; N = No,Source can be TRR or user update. Each status flag record in the system will send a separate record on this file,Medicare,Y,Member - Health Indicators,"enrollment/member/medicareHICN/esrdIndicator


If ESRD flag is Y or N

enrollment/member/medicareHICN/esrdDateRanges/esrdDateRange/startDate = Start date from the FLG transaction

enrollment/member/medicareHICN/esrdDateRanges/esrdDateRange/endDate = End date from the FLG transaction
(if end date is not provided in file use 1/1/300 as End date)","Map only if ESRD Flag = Y.

If ESRD Flag = Y, populate /esrdIndicator  as 'True'",
145,Transplant Flag,FLG,1,PCP/Enroll History,Y,Member received a transplant; LOV: Y = Yes; N = No,Source can be TRR or user update. Each status flag record in the system will send a separate record on this file,couldn't locate in HRP,N,NA,"enrollment/member/medicareHICN/transplantDateRanges/transplantDateRange/startDate = Start date from the FLG transaction

enrollment/member/medicareHICN/transplantDateRanges/transplantDateRange/endDate = End date from the FLG transaction
(if end date is not provided in file use 1/1/300 as End date)",Map only if Transplant Flag = Y,
146,Dialysis Flag,FLG,1,PCP/Enroll History,Y,Member is on Dialysis; LOV: Y = Yes; N = No,Source can be TRR or user update. Each status flag record in the system will send a separate record on this file,couldn't locate in HRP,N,NA,"enrollment/member/medicareHICN/dialysisDateRanges/dialysisDateRange/startDate = Start date from the FLG transaction

enrollment/member/medicareHICN/dialysisDateRanges/dialysisDateRange/endDate = End date from the FLG transaction
(if end date is not provided in file use 1/1/300 as End date)",Map only if Dialysis Flag is Y,
147,Disabled Flag,FLG,1,PCP/Enroll History,Y,Member disabled; LOV: Y = Yes; N = No,Source can be TRR or user update. Each status flag record in the system will send a separate record on this file,General:Handicapped,Y,Member-Demographic,enrolment/member/isHandicapped,"If Disabled Flag = Y, map /isHandicapped as True
If Disabled Flag = N, map /isHandicapped as False",
148,Plan Override Indicator,FLG,1,PCP/Enroll History,Y,Plan override indicator: Y = Yes; N = No,Source can be TRR or user update. Each status flag record in the system will send a separate record on this file,couldn't locate in HRP,N,NA,,,
149,Dual Status Code,MCD,2,PCP/Enroll History,,"Member has Medicaid Dual Status in Medicaid Eligibility History.
LOV: 01, 02, 03, 04, 05, 06, 08, 09, 99",Values will be captured from MCMD processing or user updates,Medicare,Y,Member - Medicare,"enrollment/member/medicareHICN/medicaidDualStatusRanges/medicaidDualStatus/medicaidDualStatusCode/codeEntry

The value comes in the field 'Dual Staus Code' will be mapped to Code Entry

enrollment/member/medicareHICN/medicaidDualStatusRanges/medicaidDualStatus/medicaidDualStatusCode/codesetname

codesetname= ""MedicaidDualStatuscode""",If the transaction is MCD and value coming in Dual status code field.,
,,,,,,,,,,,enrollment/member/medicareHICN/medicaidDualStatusRanges/medicaidDualStatus/medicaidDual as True,,
,,,,,,,,,,,"enrollment/member/medicareHICN/medicaidDualStatusRanges/medicaidDualStatus/effectiveDate  = this needs to be populated from Start Date under MCD transaction

(the effective is populated because during testing it was identified this is a mandatory xml tag for Enrollment Sparse to process Dual status code to HRP)

enrollment/member/medicareHICN/medicaidDualStatusRanges/medicaidDualStatus/terminationDate  = this needs to be populated from End Date under MCD transaction",,
150,Medicaid Record Type,MCD,1,PCP/Enroll History,,"Dual Status record type; LOV: A = Audited, V = Valid",Values will be captured from MCMD processing or user updates,Couldn’t locate in HRP UI,N,NA,xml TAG not available in Sparse,,
151,COB Update Date,COB,8,CMS Files,,YYYYMMDD,Client-specific,Date?,Y,Member-COB,COB transactiosn fields are client specific. SO this can be mapped based on customer specifications.,,
152,Name of Other Coverage,COB,50,CMS Files,,Other insurance name,Client-specific,COB,Y,Member - COB,COB transactiosn fields are client specific. SO this can be mapped based on customer specifications.,,
153,Subscriber ID of Other Coverage,COB,20,CMS Files,,Other insurance ID number,Client-specific,COB,Y,Member - COB,COB transactiosn fields are client specific. SO this can be mapped based on customer specifications.,,
154,Group ID of other Coverage,COB,20,CMS Files,,Other insurance group number,Client-specific,COB,Y,Member - COB,COB transactiosn fields are client specific. SO this can be mapped based on customer specifications.,,
155,Kind of Other Insurance,COB,3,CMS Files,,Type of other insurance,Client-specific,COB,Y,Member - COB,COB transactiosn fields are client specific. SO this can be mapped based on customer specifications.,,
156,Name of Other Insurance Company,COB,200,CMS Files,,Name of other insurance company,Client-specific,COB,Y,Member - COB,COB transactiosn fields are client specific. SO this can be mapped based on customer specifications.,,
157,Filler Field,,50,,,Filler Field – to be used for future enhancements,Client-specific,NA,Not needed,NA,NA,,
158,Filler Field,,50,,,Filler Field – to be used for future enhancements,Client-specific,NA,Not needed,NA,NA,,
159,Filler Field,,50,,,Filler Field – to be used for future enhancements,Client-specific,NA,Not needed,NA,NA,,
160,M3P Term Reason,M3P,50,PCP/Enroll History,,"LOV: V = Voluntary, I = Involuntary If a member’s M3P span has an end date, there must be a termination reason populated",M3P Term Reason,NA,Not needed,NA,"/enrollment/member/medicareHICN/medicarePrescriptionPaymentPlans/medicarePrescriptionPaymentPlan/medicarePrescriptionPaymentPlanStatusIndicator/codesetname  as  MedicarePrescriptionPaymentPlanStatusIndicator

/enrollment/member/medicareHICN/medicarePrescriptionPaymentPlans/medicarePrescriptionPaymentPlan/medicarePrescriptionPaymentPlanStatusIndicator/codeEntry  from Field no 160",,
161,Filler Field,,50,,,Filler Field – to be used for future enhancements,,NA,Not needed,NA,NA,,
162,Gender Identity,DEM,50,Member Details,,"This element will populate with the code that is stored on the member details table. If a gender code also has an associated free text element, both will display within this field delimited by a comma.",,NA,Not needed,NA,"/enrollment/member/genderIdentityCode/codesetname  = GenderIdentity
/enrollment/member/genderIdentityCode/codeEntry","Refer Cross Walk tab for conversion copy
(Take only the code, code can be accompanied by a text separated by comma)",
163,Sexual Orientation,DEM,50,Member Details,,"This element will populate with the code that is stored on the member details table. If a gender code also has an associated free text element, both will display within this field delimited by a comma.",,NA,Not needed,NA,"/enrollment/member/sexualOrientationCode/codesetname  = sexualOrientation
/enrollment/member/sexualOrientationCode/codeEntry","Refer Cross Walk tab for conversion copy
(Take only the code, code can be accompanied by a text separated by comma)",
164,Alternative Format Data CD,DEM,1,Member Details,,Flag indicating materials requested in Data CD format; LOV: Y = Yes; N = No,Alternate Format: Data CD,NA,Not needed,NA,"if Y
/enrollment/member/communicationPreferences/contactMethod = ""Other""

/enrollment/member/communicationPreferences/documentDeliveryMethodCode/codeSetName
codeSetName =  ""DocumentDeliveryMethod""

/enrollment/member/communicationPreferences/documentDeliveryMethodCode/codeEntry=1",Data CD is not available in HRP codeentries. So for now it is mapped to 'Online' . Implementaion teams needs to review this and make changes if needed.,
165,Filler Field,,50,,,Filler Field – to be used for future enhancements,Client-specific,NA,Not needed,NA,NA,,
166,Filler Field,,50,,,Filler Field – to be used for future enhancements,Client-specific,NA,Not needed,NA,NA,,
