File Component,Field Name,Field Description,Level,Type,Length,Repricer,Position
Detail,PATIENT_ID,"The value in this field represents an alternate patient identification number, not otherwise specified in the layout. Required for CV.",Claim,,,N,10
Detail,PATIENT_CONTROL_NUM,"The value in this field represents the Patient Control Number, also referred to as the Patient Account Number and is assigned by the provider or facility.  (2300, CLM01)",Claim,,,Y,11
Detail,PATIENT_LAST_NAME,"The value in this field represents the patient’s last name. (Subscriber:  2010BA, NM103)  (Patient: 2010CA, NM103)",Claim,,,Y,12
Detail,PATIENT_FIRST_NAME,"The value in this field represents the patient’s first name.  (Subscriber:  2010BA, NM104) (Patient: 2010CA, NM104)",Claim,,,Y,13
Detail,PATIENT_MIDDLE_NAME,"The value in this field represents the patient's middle name.  This is required by CMS when needed to identify the individual. (Subscriber: 2010BA, NM105) (Patient: 2010CA, NM105)",Claim,,,Y,14
Detail,PATIENT_NAME_SUFFIX,"The value in this field represents the suffix attached to the patient's name.  This is required by CMS when needed to identify the individual. (Subscriber: 2010BA, NM105) (Patient: 2010CA, NM105)",Claim,,,Y,15
Detail,RELATIONSHIP_TO_SUB,"The value in this field defines the patient's relationship to the subscriber.  CMS values are:
01 - Spouse
18 - Self
19 - Child
20 - Employee
21 - Unknown
39 - Organ Donor
40 - Cadaver Donor
53 - Life Partner
G8 - Other Relationship
Required for CV.
(Subscriber: 2000B, SBR02)  (Dependent:  2000C, PAT01)",Claim,,,Y,16
Detail,PATIENT_DEATH_DATE,The value in this field represents the patient's date of death.,Claim,,,N,17
Detail,CLAIM_ID,"The value in this field represents the client’s claim identification number. This should be a claim ID that is unique in the client’s system. If this ID is not unique, please advise what other data is required to make it unique. Required for CV.",Claim,,,Y,18
Detail,PROVIDER_CLAIM_ID,"The value in this field represents the provider’s claim identification number. This should be a claim ID that is unique in the provider’s system. If this ID is not unique, please advise what other data is required to make it unique.",Claim,,,N,19
Detail,MED_REC_NO,"The value in this field represents the Medical Record Number from the rendering provider or facility.  (2300, REF02, REF*EA)",Claim,,,Y,20
Detail,BILL_TYPE,"The value in this field represents the Type of Bill.  This field is used to indicate the type of bill for Medicare’s billing purposes.  Any legacy 3-digit codes should have a leading 0 added to make up the 4 character value. (2300, CLM05-1) Required for CV.",Claim,,,Y,21
Detail,CONDITION_CODE_01,"The value in this field represents the Condition Code used to indicate the patient’s eligibility, benefits and how to administer the primary and secondary insurances.  (2300, HI01-2, HI*BG)",Claim,,,Y,22
Detail,CONDITION_CODE_02,"The value in this field represents the Condition Code used to indicate the patient’s eligibility, benefits and how to administer the primary and secondary insurances.  (2300, HI02-2, HI*BG)",Claim,,,Y,23
Detail,CONDITION_CODE_03,"The value in this field represents the Condition Code used to indicate the patient’s eligibility, benefits and how to administer the primary and secondary insurances.  (2300, HI03-2, HI*BG)",Claim,,,Y,24
Detail,CONDITION_CODE_04,"The value in this field represents the Condition Code used to indicate the patient’s eligibility, benefits and how to administer the primary and secondary insurances.  (2300, HI04-2, HI*BG)",Claim,,,Y,25
Detail,CONDITION_CODE_05,"The value in this field represents the Condition Code used to indicate the patient’s eligibility, benefits and how to administer the primary and secondary insurances.  (2300, HI05-2, HI*BG)",Claim,,,Y,26
Detail,CONDITION_CODE_06,"The value in this field represents the Condition Code used to indicate the patient’s eligibility, benefits and how to administer the primary and secondary insurances.  (2300, HI06-2, HI*BG)",Claim,,,Y,27
Detail,CONDITION_CODE_07,"The value in this field represents the Condition Code used to indicate the patient’s eligibility, benefits and how to administer the primary and secondary insurances.  (2300, H107-2, HI*BG)",Claim,,,Y,28
Detail,CONDITION_CODE_08,"The value in this field represents the Condition Code used to indicate the patient’s eligibility, benefits and how to administer the primary and secondary insurances.  (2300, HI08-2, HI*BG)",Claim,,,Y,29
Detail,CONDITION_CODE_09,"The value in this field represents the Condition Code used to indicate the patient’s eligibility, benefits and how to administer the primary and secondary insurances.  (2300, HI09-2, HI*BG)",Claim,,,Y,30
Detail,CONDITION_CODE_10,"The value in this field represents the Condition Code used to indicate the patient’s eligibility, benefits and how to administer the primary and secondary insurances.  (2300, HI10-2, HI*BG)",Claim,,,Y,31
Detail,CONDITION_CODE_11,"The value in this field represents the Condition Code used to indicate the patient’s eligibility, benefits and how to administer the primary and secondary insurances.  (2300, HI11-2, HI*BG)",Claim,,,Y,32
Detail,CONDITION_CODE_12,"The value in this field represents the Condition Code used to indicate the patient’s eligibility, benefits and how to administer the primary and secondary insurances.  (2300, HI12-2, HI*BG)",Claim,,,Y,33
Detail,CONDITION_CODE_13,"The value in this field represents the Condition Code used to indicate the patient’s eligibility, benefits and how to administer the primary and secondary insurances.  (2300, HI*BG Segment Repeat)",Claim,,,Y,34
Detail,CONDITION_CODE_14,"The value in this field represents the Condition Code used to indicate the patient’s eligibility, benefits and how to administer the primary and secondary insurances.  (2300, HI*BG Segment Repeat)",Claim,,,Y,35
Detail,CONDITION_CODE_15,"The value in this field represents the Condition Code used to indicate the patient’s eligibility, benefits and how to administer the primary and secondary insurances.  (2300, HI*BG Segment Repeat)",Claim,,,Y,36
Detail,CONDITION_CODE_16,"The value in this field represents the Condition Code used to indicate the patient’s eligibility, benefits and how to administer the primary and secondary insurances.  (2300, HI*BG Segment Repeat)",Claim,,,Y,37
Detail,CONDITION_CODE_17,"The value in this field represents the Condition Code used to indicate the patient’s eligibility, benefits and how to administer the primary and secondary insurances.  (2300, HI*BG Segment Repeat)",Claim,,,Y,38
Detail,CONDITION_CODE_18,"The value in this field represents the Condition Code used to indicate the patient’s eligibility, benefits and how to administer the primary and secondary insurances.  (2300, HI*BG Segment Repeat)",Claim,,,Y,39
Detail,CONDITION_CODE_19,"The value in this field represents the Condition Code used to indicate the patient’s eligibility, benefits and how to administer the primary and secondary insurances.  (2300, HI*BG Segment Repeat)",Claim,,,Y,40
Detail,CONDITION_CODE_20,"The value in this field represents the Condition Code used to indicate the patient’s eligibility, benefits and how to administer the primary and secondary insurances.  (2300, HI*BG Segment Repeat)",Claim,,,Y,41
Detail,CONDITION_CODE_21,"The value in this field represents the Condition Code used to indicate the patient’s eligibility, benefits and how to administer the primary and secondary insurances.  (2300, HI*BG Segment Repeat)",Claim,,,Y,42
Detail,CONDITION_CODE_22,"The value in this field represents the Condition Code used to indicate the patient’s eligibility, benefits and how to administer the primary and secondary insurances.  (2300, HI*BG Segment Repeat)",Claim,,,Y,43
Detail,CONDITION_CODE_23,"The value in this field represents the Condition Code used to indicate the patient’s eligibility, benefits and how to administer the primary and secondary insurances.  (2300, HI*BG Segment Repeat)",Claim,,,Y,44
Detail,CONDITION_CODE_24,"The value in this field represents the Condition Code used to indicate the patient’s eligibility, benefits and how to administer the primary and secondary insurances.  (2300, HI*BG Segment Repeat)",Claim,,,Y,45
Detail,VALUE_CODE_01,"The value in this field represents the Value Code related to monetary data necessary for processing the claim.  (2300, HI01-2, HI*BE)",Claim,,,Y,46
Detail,VALUE_AMOUNT_01,"The value in this field represents the Value Amount that includes monetary data necessary for processing the claim.  (2300, HI01-2, HI*BE)",Claim,,,Y,47
Detail,VALUE_CODE_02,"The value in this field represents the Value Code related to monetary data necessary for processing the claim.  (2300, HI02-2, HI*BE)",Claim,,,Y,48
Detail,VALUE_AMOUNT_02,"The value in this field represents the Value Amount that includes monetary data necessary for processing the claim.  (2300, HI02-2, HI*BE)",Claim,,,Y,49
Detail,VALUE_CODE_03,"The value in this field represents the Value Code related to monetary data necessary for processing the claim.  (2300, HI03-2, HI*BE)",Claim,,,Y,50
Detail,VALUE_AMOUNT_03,"The value in this field represents the Value Amount that includes monetary data necessary for processing the claim.  (2300, HI03-2, HI*BE)",Claim,,,Y,51
Detail,VALUE_CODE_04,"The value in this field represents the Value Code related to monetary data necessary for processing the claim.  (2300, HI04-2, HI*BE)",Claim,,,Y,52
Detail,VALUE_AMOUNT_04,"The value in this field represents the Value Amount that includes monetary data necessary for processing the claim.  (2300, HI04-2, HI*BE)",Claim,,,Y,53
Detail,VALUE_CODE_05,"The value in this field represents the Value Code related to monetary data necessary for processing the claim.  (2300, HI05-2, HI*BE)",Claim,,,Y,54
Detail,VALUE_AMOUNT_05,"The value in this field represents the Value Code related to monetary data necessary for processing the claim.  (2300, HI05-2, HI*BE)",Claim,,,Y,55
Detail,VALUE_CODE_06,"The value in this field represents the Value Code related to monetary data necessary for processing the claim.  (2300, HI06-2, HI*BE)",Claim,,,Y,56
Detail,VALUE_AMOUNT_06,"The value in this field represents the Value Amount that includes monetary data necessary for processing the claim.  (2300, HI06-2, HI*BE)",Claim,,,Y,57
Detail,VALUE_CODE_07,"The value in this field represents the Value Code related to monetary data necessary for processing the claim.  (2300, HI07-2, HI*BE)",Claim,,,Y,58
Detail,VALUE_AMOUNT_07,"The value in this field represents the Value Amount that includes monetary data necessary for processing the claim.  (2300, HI07-2, HI*BE)",Claim,,,Y,59
Detail,VALUE_CODE_08,"The value in this field represents the Value Code related to monetary data necessary for processing the claim.  (2300, HI08-2, HI*BE)",Claim,,,Y,60
Detail,VALUE_AMOUNT_08,"The value in this field represents the Value Code related to monetary data necessary for processing the claim.  (2300, HI08-2, HI*BE)",Claim,,,Y,61
Detail,VALUE_CODE_09,"The value in this field represents the Value Amount that includes monetary data necessary for processing the claim.  (2300, HI09-2, HI*BE)",Claim,,,Y,62
Detail,VALUE_AMOUNT_09,"The value in this field represents the Value Code related to monetary data necessary for processing the claim.  (2300, HI09-2, HI*BE)",Claim,,,Y,63
Detail,VALUE_CODE_10,"The value in this field represents the Value Code related to monetary data necessary for processing the claim.  (2300, HI10-2, HI*BE)",Claim,,,Y,64
Detail,VALUE_AMOUNT_10,"The value in this field represents the Value Amount that includes monetary data necessary for processing the claim.  (2300, HI10-2, HI*BE)",Claim,,,Y,65
Detail,VALUE_CODE_11,"The value in this field represents the Value Code related to monetary data necessary for processing the claim.  (2300, HI11-2, HI*BE)",Claim,,,Y,66
Detail,VALUE_AMOUNT_11,"The value in this field represents the Value Amount that includes monetary data necessary for processing the claim.  (2300, HI11-2, HI*BE)",Claim,,,Y,67
Detail,VALUE_CODE_12,"The value in this field represents the Value Code related to monetary data necessary for processing the claim.  (2300, HI12-2, HI*BE)",Claim,,,Y,68
Detail,VALUE_AMOUNT_12,"The value in this field represents the Value Amount that includes monetary data necessary for processing the claim.  (2300, HI12-2, HI*BE)",Claim,,,Y,69
Detail,VALUE_CODE_13,"The value in this field represents the Value Code related to monetary data necessary for processing the claim.  (2300, HI*BE Segment Repeat)",Claim,,,Y,70
Detail,VALUE_AMOUNT_13,"The value in this field represents the Value Amount that includes monetary data necessary for processing the claim.  (2300, HI*BE Segment Repeat)",Claim,,,Y,71
Detail,VALUE_CODE_14,"The value in this field represents the Value Code related to monetary data necessary for processing the claim.  (2300, HI*BE Segment Repeat)",Claim,,,Y,72
Detail,VALUE_AMOUNT_14,"The value in this field represents the Value Amount that includes monetary data necessary for processing the claim.  (2300, HI*BE Segment Repeat)",Claim,,,Y,73
Detail,VALUE_CODE_15,"The value in this field represents the Value Code related to monetary data necessary for processing the claim.  (2300, HI*BE Segment Repeat)",Claim,,,Y,74
Detail,VALUE_AMOUNT_15,"The value in this field represents the Value Amount that includes monetary data necessary for processing the claim.  (2300, HI*BE Segment Repeat)",Claim,,,Y,75
Detail,VALUE_CODE_16,"The value in this field represents the Value Code related to monetary data necessary for processing the claim.  (2300, HI*BE Segment Repeat)",Claim,,,Y,76
Detail,VALUE_AMOUNT_16,"The value in this field represents the Value Amount that includes monetary data necessary for processing the claim.  (2300, HI*BE Segment Repeat)",Claim,,,Y,77
Detail,VALUE_CODE_17,"The value in this field represents the Value Code related to monetary data necessary for processing the claim.  (2300, HI*BE Segment Repeat)",Claim,,,Y,78
Detail,VALUE_AMOUNT_17,"The value in this field represents the Value Amount that includes monetary data necessary for processing the claim.  (2300, HI*BE Segment Repeat)",Claim,,,Y,79
Detail,VALUE_CODE_18,"The value in this field represents the Value Code related to monetary data necessary for processing the claim.  (2300, HI*BE Segment Repeat)",Claim,,,Y,80
Detail,VALUE_AMOUNT_18,"The value in this field represents the Value Amount that includes monetary data necessary for processing the claim.  (2300, HI*BE Segment Repeat)",Claim,,,Y,81
Detail,VALUE_CODE_19,"The value in this field represents the Value Code related to monetary data necessary for processing the claim.  (2300, HI*BE Segment Repeat)",Claim,,,Y,82
Detail,VALUE_AMOUNT_19,"The value in this field represents the Value Amount that includes monetary data necessary for processing the claim.  (2300, HI*BE Segment Repeat)",Claim,,,Y,83
Detail,VALUE_CODE_20,"The value in this field represents the Value Code related to monetary data necessary for processing the claim.  (2300, HI*BE Segment Repeat)",Claim,,,Y,84
Detail,VALUE_AMOUNT_20,"The value in this field represents the Value Amount that includes monetary data necessary for processing the claim.  (2300, HI*BE Segment Repeat)",Claim,,,Y,85
Detail,VALUE_CODE_21,"The value in this field represents the Value Code related to monetary data necessary for processing the claim.  (2300, HI*BE Segment Repeat)",Claim,,,Y,86
Detail,VALUE_AMOUNT_21,"The value in this field represents the Value Amount that includes monetary data necessary for processing the claim.  (2300, HI*BE Segment Repeat)",Claim,,,Y,87
Detail,VALUE_CODE_22,"The value in this field represents the Value Code related to monetary data necessary for processing the claim.  (2300, HI*BE Segment Repeat)",Claim,,,Y,88
Detail,VALUE_AMOUNT_22,"The value in this field represents the Value Amount that includes monetary data necessary for processing the claim.  (2300, HI*BE Segment Repeat)",Claim,,,Y,89
Detail,VALUE_CODE_23,"The value in this field represents the Value Code related to monetary data necessary for processing the claim.  (2300, HI*BE Segment Repeat)",Claim,,,Y,90
Detail,VALUE_AMOUNT_23,"The value in this field represents the Value Amount that includes monetary data necessary for processing the claim.  (2300, HI*BE Segment Repeat)",Claim,,,Y,91
Detail,VALUE_CODE_24,"The value in this field represents the Value Code related to monetary data necessary for processing the claim.  (2300, HI*BE Segment Repeat)",Claim,,,Y,92
Detail,VALUE_AMOUNT_24,"The value in this field represents the Value Amount that includes monetary data necessary for processing the claim.  (2300, HI*BE Segment Repeat)",Claim,,,Y,93
Detail,CLAIM_DOS_BEGIN_DATE,"The value in this field should represent the date in the Statement Covers Period From date.  (2300, DTP03, Data Element 1251)",Claim,,,Y,94
Detail,CLAIM_DOS_END_DATE,"The value in this field should represent the date in the Statement Covers Period Through date.   (2300, DTP03, Data Element 1251)",Claim,,,Y,95
Detail,LENGTH_OF_STAY,"The value in this field represents the length of stay (LOS), which is a term to describe the duration of a single episode of hospitalization. Inpatient days are calculated by subtracting day of admission from day of discharge.",Claim,,,N,96
Detail,ADMIT_DATE,"The value in this field should represent the date in the Statement Covers Period From date.  Required for CV.  (2300, DTP03)",Claim,,,Y,97
Detail,ADMIT_TIME_HH,"The value in this field represents the Admit Hour in 24-hour time.  Valid values are 00 to 23. (2300, DTP03)",Claim,,,Y,98
Detail,ADMIT_TIME_MM,"The value in this field represents the Admit Minute.  Valid values are 00 to 59.  (2300, DTP03)",Claim,,,Y,99
Detail,ADMIT_TYPE,"The value in this field represents the type of admission. This field represents the primary reason for admission.  Expected values are:
1 = Emergency
2 = Urgent
3 = Elective
4 = Newborn
5 = Trauma
9 = Information Not Available
(2300, CL101)",Claim,,,Y,100
Detail,ADMIT_SOURCE_CODE,"This field represents the source for the admission.  Expected values are:
1 = Physician Referral
2 = Clinic Referral
3 = HMO Referral
4 = Transfer from Hospital
5 = Transfer from SNF
6 = Transfer From Another Health Care Facility
7 = Emergency Room
8 = Court/Law Enforcement
9 = Information Not Available
In the Case of Newborn:
1 = Normal Delivery
2 = Premature Delivery
3 = Sick Baby
4 = Extramural Birth
(2300, CL102)",Claim,,,Y,101
Detail,DISCHARGE_DATE,The value in this field represents the Discharge Date.,Claim,,,N,102
Detail,DISCHARGE_TIME_HH,"The value in this field represents the Discharge Hour in 24-hour time.  Valid values are 00 to 23.  (2300, DTP03, DTP*096)",Claim,,,Y,103
Detail,DISCHARGE_TIME_MM,"The value in this field represents the Discharge Hour in 24-hour time.  Valid values are 00 to 23.  (2300, DTP03, DTP*096)",Claim,,,N,104
Detail,DISCHARGE_STATUS,The value in this field represents the discharge status of the patient.,Claim,,,Y,105
Detail,SUB_DRG,"The value in this field represents the DRG billed by the provider.  Required when CONTRACT_TYPE_CODE = 01.  If the provider did not provide a submitted DRG, populate the submitted DRG with the allowed DRG value calculated by the payer.  (2300, HI01-2, HI*DR)",Claim,,,N,106
Detail,SUB_SEVERITY,"The value in this field represents the severity of illness (SOI) subclass submitted by the provider.  Valid values are:
1 = Minor
2 = Moderate
3 = Major
4 = Extreme
Required for claims that have APR grouper DRG codes. If the submitted DRG and severity are not available, populate the submitted DRG and submitted severity with the allowed values calculated by the payer.",Claim,,,N,107
Detail,ALLOWED_DRG,"The value in this field represents the payer’s calculated DRG.  Required when CONTRACT_TYPE_CODE = 01. If the payer does not recalculate the submitted DRG, and pays the submitted DRG, populate the allowed DRG with the submitted DRG value.",Claim,,,N,108
Detail,ALLOWED_SEVERITY,"The value in this field represents the severity of illness (SOI) subclass allowed by the payer.  Valid values are:
1 = Minor
2 = Moderate
3 = Major
4 = Extreme.
Required for claims that have APR grouper DRG codes.  If the payer does not recalculate the submitted DRG and severity, and uses the submitted values, populate the allowed DRG and severity with the submitted values.",Claim,,,N,109
Detail,DRG_INLIER_AMOUNT,The value in this field represents the dollar amount associated with the inlier portion of the calculated DRG value.,Claim,,,N,110
Detail,DRG_OUTLIER_AMOUNT,The value in this field represents the dollar amount associated with the outlier portion of the calculated DRG value.,Claim,,,N,111
Detail,GROUPER_ID,"The value in this field represents the DRG grouper associated with the ALLOWED_DRG field on this claim.  Client values will be determined during the implementation, and must be mapped to specific grouper values maintained by CCV.  This field provides the ability to support grouper exceptions if a provider is exempt from the standard grouper configured for this payer/line of business/state.",Claim,,,N,112
Detail,GROUPER_VERSION,The value in this field represents the grouper version that was used to determine the DRG associated with the claim.,Claim,,,N,113
Detail,APC_CODE,This field represents the Ambulatory Payment Classification (APC) code used in the client’s claim system to pay  hospital outpatient services.,Line,,,N,114
Detail,APC_PAYMENT_WEIGHT,The value in this field represents the relative weight associated with the submitted APC and used for calculating payment.,Line,,,N,115
Detail,APC_VERSION,This field represents the APC version used to acquire the relative weight used to calculate the claim payment.,Line,,,N,116
Detail,APG_CODE,This field represents the Ambulatory Patient Group (APG) used to reimburse providers for Medicaid services.,Line,,,N,117
Detail,APG_VERSION,The value in this field represents the APG version used to calculate the claim payment.,Line,,,N,118
Detail,REGULATORY_STATE,"Designates the regulatory state applicable for this claim.  This is a claim-level field.  Required for Medicaid and Commercial lines of business, based on the INSURANCE_LOB mapping.",Claim,,,N,119
Detail,PRINCIPAL_DIAGNOSIS_QUAL,"The value in this field represents a qualifier to show whether the corresponding diagnosis code noted below is in ICD-9 or ICD-10 format.  Value should be '0' for ICD-10 diagnosis codes and '9' for ICD-9 diagnosis codes. Required for CV.  (2300, HI01-1, HI*BK or HI*ABK)",Claim,,,N,120
Detail,PRINCIPAL_DIAGNOSIS,"The value in this field represents the Principal Diagnosis which is the principal condition established after evaluation and treatment. This field will be used for both ICD-9 and ICD-10 values. Required for CV.  (2300, HI01-2, HI*BK or HI*ABK)",Claim,,,Y,121
Detail,PRINCIPAL_DIAGNOSIS_POA,"The value in this field represents the Present on Admission Indicator for the Principal Diagnosis. These should be populated whenever possible.
Valid values:
Y = Yes - Present at time of admission
N = Not present at time of  admission
U = Unknown - Documentation is insufficient to determine if condition was present on admission
W = Clinically undetermined
Blank = unreported, not used, exempt from POA reporting.

Note:  Value ‘1’ was previously used to indicate exempt from POA. This is no longer supported by CMS and should be sent as blank. Inpatient Prospective Payment System (IPPS) hospitals are required to submit POA information on diagnoses for inpatient discharges on or after October 1, 2007.  (2300, HI01-9, HI*BK or HI*ABK)",Claim,,,Y,122
Detail,DIAGNOSIS_CODE_02_QUAL,"NOTE:  The Principal Diagnosis is required by CMS; however, all diagnoses submitted on the claim should be included to ensure accurate payment policy application and CV audit results.  When Diagnosis Codes 2-24 are submitted, the accompanying Qualifier must be provided for the claim to be considered.

The value in this field represents a qualifier to show whether the corresponding diagnosis code noted below is in ICD-9 or ICD-10 format.  Value should be '0' for ICD-10 diagnosis codes and '9' for ICD-9 diagnosis codes.  (2300, HI01-1, HI*BF or HI*ABF)",Claim,,,N,123
Detail,DIAGNOSIS_CODE_02,"The value in this field represents the Other Diagnosis established after evaluation and treatment. This field will be used for both ICD-9 and ICD-10 values.  (2300, HI01-2, HI*BF or HI*ABF)",Claim,,,Y,124
Detail,DIAGNOSIS_CODE_02_POA,"The value in this field represents the Present on Admission Indicator for DIAGNOSIS_CODE_02.  See valid values above under PRINCIPAL_DIAGNOSIS_POA.  (2300, HI01-9, HI*BF or HI*ABF)",Claim,,,Y,125
Detail,DIAGNOSIS_CODE_03_QUAL,"The value in this field represents a qualifier to show whether the corresponding diagnosis code noted below is in ICD-9 or ICD-10 format.  Value should be '0' for ICD-10 diagnosis codes and '9' for ICD-9 diagnosis codes.  (2300, HI02-1, HI*BF or HI*ABF)",Claim,,,N,126
Detail,DIAGNOSIS_CODE_03,"The value in this field represents the Other Diagnosis established after evaluation and treatment. This field will be used for both ICD-9 and ICD-10 values.  (2300, HI02-2, HI*BF or HI*ABF)",Claim,,,Y,127
Detail,DIAGNOSIS_CODE_03_POA,"The value in this field represents the Present on Admission Indicator for DIAGNOSIS_CODE_03.  See valid values above under PRINCIPAL_DIAGNOSIS_POA.  (2300, HI02-9, HI*BF or HI*ABF)",Claim,,,Y,128
Detail,DIAGNOSIS_CODE_04_QUAL,"The value in this field represents a qualifier to show whether the corresponding diagnosis code noted below is in ICD-9 or ICD-10 format.  Value should be '0' for ICD-10 diagnosis codes and '9' for ICD-9 diagnosis codes.  (2300, HI03-1, HI*BF or HI*ABF)",Claim,,,N,129
Detail,DIAGNOSIS_CODE_04,"The value in this field represents the Other Diagnosis established after evaluation and treatment. This field will be used for both ICD-9 and ICD-10 values.  (2300, HI03-2, HI*BF or HI*ABF)",Claim,,,Y,130
Detail,DIAGNOSIS_CODE_04_POA,"The value in this field represents the Present on Admission Indicator for DIAGNOSIS_CODE_04.  See valid values above under PRINCIPAL_DIAGNOSIS_POA.  (2300, HI03-9, HI*BF or HI*ABF)",Claim,,,Y,131
Detail,DIAGNOSIS_CODE_05_QUAL,"The value in this field represents a qualifier to show whether the corresponding diagnosis code noted below is in ICD-9 or ICD-10 format.  Value should be '0' for ICD-10 diagnosis codes and '9' for ICD-9 diagnosis codes.  (2300, HI04-1, HI*BF or HI*ABF)",Claim,,,N,132
Detail,DIAGNOSIS_CODE_05,"The value in this field represents the Other Diagnosis established after evaluation and treatment. This field will be used for both ICD-9 and ICD-10 values.  (2300, HI04-2, HI*BF or HI*ABF)",Claim,,,Y,133
Detail,DIAGNOSIS_CODE_05_POA,"The value in this field represents the Present on Admission Indicator for DIAGNOSIS_CODE_05.  See valid values above under PRINCIPAL_DIAGNOSIS_POA.  (2300, HI04-9, HI*BF or HI*ABF)",Claim,,,Y,134
Detail,DIAGNOSIS_CODE_06_QUAL,"The value in this field represents a qualifier to show whether the corresponding diagnosis code noted below is in ICD-9 or ICD-10 format.  Value should be '0' for ICD-10 diagnosis codes and '9' for ICD-9 diagnosis codes.  (2300, HI05-1, HI*BF or HI*ABF)",Claim,,,N,135
Detail,DIAGNOSIS_CODE_06,"The value in this field represents the Other Diagnosis established after evaluation and treatment. This field will be used for both ICD-9 and ICD-10 values.  (2300, HI05-2, HI*BF or HI*ABF)",Claim,,,Y,136
Detail,DIAGNOSIS_CODE_06_POA,"The value in this field represents the Present on Admission Indicator for DIAGNOSIS_CODE_06.   See valid values above under PRINCIPAL_DIAGNOSIS_POA.  (2300, HI05-9, HI*BF or HI*ABF)",Claim,,,Y,137
Detail,DIAGNOSIS_CODE_07_QUAL,"The value in this field represents a qualifier to show whether the corresponding diagnosis code noted below is in ICD-9 or ICD-10 format.  Value should be '0' for ICD-10 diagnosis codes and '9' for ICD-9 diagnosis codes.   (2300, HI06-1, HI*BF or HI*ABF)",Claim,,,N,138
Detail,DIAGNOSIS_CODE_07,"The value in this field represents the Other Diagnosis established after evaluation and treatment. This field will be used for both ICD-9 and ICD-10 values.  (2300, HI06-2, HI*BF or HI*ABF)",Claim,,,Y,139
Detail,DIAGNOSIS_CODE_07_POA,"The value in this field represents the Present on Admission Indicator for DIAGNOSIS_CODE_07.  See valid values above under PRINCIPAL_DIAGNOSIS_POA.  (2300, HI06-9, HI*BF or HI*ABF)",Claim,,,Y,140
