Loop ID,EDI Segment,EDI Data Element Name,EDI Element Description,USAGE,Enumeration Values,CDS Field Name / Hardcode,Extract layout name,Position,Level,Mapping Logic,Cuztomization,Comments,PIEDMONT,
,ISA11,Repetition Separator,"Type is not applicable; the repetition separator is a delimiter and not a data element; this field provides the delimiter used to separate repeated occurrences of a simple data element or a composite data structure; this value must be different than the data element separator, component element separator, and the segment terminator",R,,"Hardcode as ""^""",,,,,,,,
,ISA12,Interchange Control Version Number,Code specifying the version number of the interchange control segments,R,00501 Standards Approved for Publication by ASC X12 Procedures Review Board through October 2003,Hardcode as “00501”,,,,,,,,
,ISA13,Interchange Control Number,A control number assigned by the interchange sender,R,,Unique ISA control number needs to generated in Edifecs for each 837 EDI file. It has to be 9 digits (for example -  000000764),,,,,,,,
,ISA14,Acknowledgment Requested,Code indicating sender’s request for an interchange acknowledgment,R,"0 No Interchange Acknowledgment Requested
1 Interchange Acknowledgment Requested (TA1)","Hardcode as ""0""",,,,,,,,
,ISA15,Interchange Usage Indicator,"Code indicating whether data enclosed by this interchange envelope is test, production or information",R,"P Production Data
T Test Data","""P""  if it is a Production region
""T""  if it is a Non-Production region",,,,,,According to enviroinment it should be configurable,,
,ISA16,Component Element Separator,Type is not applicable; the component element separator is a delimiter and not a data element; this field provides the delimiter used to separate component data elements within a composite data structure; this value must be different than the data element separator and the segment terminator,R,,"Hardcode  as "":""",,,,,,,,
GS (Functional Group Header),,,,,,,,,,,,,,
,GS,Segment: Functional Group Header,,R,,,,,,,,,,
,GS01,Functional Identifier Code,Code identifying a group of application related transaction sets,R,,Hardcode as “HC”,,,,,,,,
,GS02,Application Sender's Code,Code identifying party sending transmission; codes agreed to by trading partners,R,,"We need to refer the crosswalk for mapping the sender id for products is ""PRODUCT""",,,,"Application Sender Code will be different for each customer.From product standpoint, we have hardcoded a random Application Sender Code.",Yes,"Configurable value for Implementation team
PRODUCT",,
,GS03,Application Receiver's Code,Code identifying party receiving transmission; codes agreed to by trading partners,R,,"Reveiver code for products is ""PRODUCT""",,,,"Application Receiver ID will be different for each customer.From product standpoint, we have hardcoded a random Application Application Receiver ID.",Yes,"Configurable value for Implementation team
PRODUCT",,
,GS04,Date,Date the Group Header is created.,R,,"Map this value from  current date in the format of ""YYYYMMDD""",,,,,,,,
,GS05,Time,"Time expressed in 24-hour clock time as follows: HHMM, or HHMMSS, or HHMMSSD, or HHMMSSDD, where H = hours (00-23), M = minutes (00-59), S = integer seconds (00-59) and DD = decimal seconds; decimal seconds are expressed as follows: D = tenths (0-9) and DD = hundredths (00-99)",R,,"Map this value from   current Time in the format of ""HHMMSS""",,,,,,,,
,GS06,Group Control Number,Assigned number originated and maintained by the sender,R,,Generate unique ID In EDIFECS (1-9 Bytes),,,,,,,,
,GS07,Responsible Agency Code,Code identifying the issuer of the standard; this code is used in conjunction with Data Element 480,R,X : Accredited Standards Committee X12,"Hardcode as ""X""",,,,,,,,
,GS08,Version / Release / Industry Identifier Code,"Code indicating the version, release, subrelease, and industry identifier of the EDI standard being used, including the GS and GE segments; if code in DE455 in GS segment is X, then in DE 480 positions 1-3 are the version number; positions 4-6 are the release and subrelease, level of the version; and positions 7-12 are the industry or trade association identifiers (optionally assigned by user); if code in DE455 in GS segment is T, then other formats are allowed",R,005010X222 Standards Approved for Publication by ASC X12 Procedures Review Board through October 2003,"Hardcode as ""005010X222A1""",,,,,,,,
ST Transaction Set Header,,,,,,,,,,,,,,
,ST,Segment: Transaction Set Header,,R,,,,,,,,,,
,ST01,Transaction Set Identifier Code,Code uniquely identifying a Transaction Set,R,837 Health Care Claim,837,,,,,,,,
,ST02,Transaction Set Control Number,Identifying control number that must be unique within the transaction set functional group assigned by the originator for a transaction set,R,,Unique control number needs to populated from process flow or map within a file,,,,,,,,
,ST03,Implementation Convention Reference,Reference assigned to identify Implementation Convention,R,,005010X222A1,,,,,,,,
BHT Beginning of Hierarchical Transaction,,,,,,,,,,,,,,
,BHT,Segment: Beginning of Hierarchical Transaction,,R,,,,,,,,,,
,BHT01,Hierarchical Structure Code,Code indicating the hierarchical application structure of a transaction set that utilizes the HL segment to define the structure of the transaction set,R,"0019- Information Source, Subscriber, Dependent",0019,,,,,,,,
,BHT02,Transaction Set Purpose Code,Code identifying purpose of transaction set,R,"00 Original
18 Reissue","Hardcode as ""00""",,,,,,,,
,BHT03,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,Auto Generate In EDIFECS.,,,,,,,,
,BHT04,Date,Date expressed as CCYYMMDD where CC represents the first two digits of the calendar year,R,,"Map this value from  current date in the format of ""YYYYMMDD""",,,,,,,,
,BHT05,Time,"Time expressed in 24-hour clock time as follows: HHMM, or HHMMSS, or HHMMSSD, or HHMMSSDD, where H = hours (00-23), M = minutes (00-59), S = integer seconds (00-59) and DD = decimal seconds; decimal seconds are expressed as follows: D = tenths (0-9) and DD = hundredths (00-99)",R,,"Map this value from   current Time in the format of ""HHMMSS""",,,,,,,,
,BHT06,Transaction Type Code,Code specifying the type of transaction,R,"31 Subrogation Demand
CH Chargeable
RP Reporting","Hardcode as ""RP""",,,,,,,,
LOOP 1000A - SUBMITTER,,,,,,,,,,,,,,
1000A,NM1,Submitter Name (Required),,R,,,,,,,,,,
1000A,1000A.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an individual",R,41 Submitter,"Hardcode as ""41""",,,,,,,,
1000A,1000A.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,"1 Person
2 Non-Person Entity","Hardcode as ""2""",,,,,,,,
1000A,1000A.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,"""PRODUCT""",,,,,Yes,"Configurable value for Implementation team
PRODUCT",ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/payerInformation/hicName,
1000A,1000A.NM104,Name First,Individual first name,S,,,,,,,,,,
1000A,1000A.NM105,Name Middle,Individual middle name or initial,S,,,,,,,,,.,
1000A,1000A.NM108,Identification Code Qualifier,Code designating the system/method of code structure used for Identification Code (67),R,46 Electronic Transmitter Identification Number (ETIN),"Hardcode as ""46""",,,,,,,,
1000A,1000A.NM109,Identification Code,Code identifying a party or other code,R,,"Default values
<123456789123>",,,,,Yes,"Configurable value for Implementation team
updated default values",ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/payerInformation/taxId,
1000A,PER,Submitter EDI Contact Name (Required),,R,,,,,,,,,,
1000A,1000A.PER01,Contact Function Code,Code identifying the major duty or responsibility of the person or group named,R,IC Information Contact,"Hardcode  as ""IC""",,,,,,,,
1000A,1000A.PER02,Name,Free-form name,R,,"""PRODUCT""",,,,,Yes,Configurable value for Implementation team,"Qn, 05/20 - what needs to be populated here for Piedmont?",
1000A,1000A.PER03,Communication Number Qualifier,Code identifying the type of communication number,R,"EM Electronic Mail
FX Facsimile
TE Telephone","Hardcode  as ""TE""",,,,,,,,
1000A,1000A.PER04,Communication Number,Complete communications number including country or area code when applicable,R,,"Hardcode as ""1234567890""",,,,,Yes,"Configurable value for Implementation team
updated default values","Qn, 05/20 -What will be the contact number for Piedmont?",
1000A,1000A.PER05,Communication Number Qualifier,Code identifying the type of communication number,S,"EM Electronic Mail
EX Telephone Extension
FX Facsimile
TE Telephone
TE Telephone",,,,,,,,,
1000A,1000A.PER06,Communication Number,Complete communications number including country or area code when applicable,S,,,,,,,,,,
1000A,1000A.PER07,Communication Number Qualifier,Code identifying the type of communication number,S,"EM Electronic Mail
 EX Telephone Extension
FX Facsimile
TE Telephone",,,,,,,,,
1000A,1000A.PER08,Communication Number,Complete communications number including country or area code when applicable,S,,,,,,,,,,
LOOP 1000B - RECEIVER,,,,,,,,,,,,,,
1000B,NM1,NM1 Receiver Name (Required),,R,,,,,,,,,,
1000B,1000B.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an individual",R,40 Receiver,"Hardcode as ""40""",,,,,,,,
1000B,1000B.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,2 Non-Person Entity,"Hardcode as ""2""",,,,,,,,
1000B,1000B.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,REPRICER_NAME,REPRICER_NAME,515,Line,If the 1st line is not in 'Need Repricing' the logic should search for other lines which is in 'Need Repricing' state to update the Repricer Name,,,"Qn, 05/20- If we can get the Receiver ID for First health and Aetna, EDIFECS can populate the Org name here. So need to get the Full name to be populated for both and Receiver id's
Details for First Health seems as below. Needs to get for Aetna also
Org Name: FIRST HEALTH Group Corp
Receiver id: 201736437",
1000B,1000B.NM108,Identification Code Qualifier,Code designating the system/method of code structure used for Identification Code (67),R,46 Electronic Transmitter Identification Number (ETIN),"Hardcode as ""46""",,,,,,,,
1000B,1000B.NM109,Identification Code,Code identifying a party or other code,R,,"Default values
<123456789123>",,,,,Yes,configurable item need to update (based on repricer name,,
LOOP 2000A - BILLING PROVIDER HL LOOP,,,,,,,,,,,,,,
2000A,HL,Billing Provider Hierarchical Level (Required),,,,,,,,,,,,
2000A,2000A.HL01,Hierarchical ID Number,,,,Generated by Edifecs,,,,,,,,
2000A,2000A.HL03,Hierarchical Level Code,,,20 Information Source,"Hardcode as ""20""",,,,,,,,
2000A,2000A.HL04,Hierarchical Child Code,,,"1 Additional Subordinate HL Data Segment in This
Hierarchical Structure",Generated by Edifecs,,,,,,,,
2000A,PRV,Billing Provider Speciality Information,,,,,,,,,,,,
2000A,2000A.PRV01,Provider Code,,,BI Billing,,,,,,,,,
2000A,2000A.PRV02,Reference Identification Qualifier,,,PXC Health Care Provider Taxonomy Code,,,,,,,,,
2000A,2000A.PRV03,Reference Identification,,,,,,,,,,,,
2000A,CUR,Foreign Currency Information,,,,,,,,,,,,
2000A,2000A.CUR01,Entity Identifier Code,,,85 Billing Provider,,,,,,,,,
2000A,2000A.CUR02,Currency Code,,,,,,,,,,,,
LOOP 2010AA - BILLING PROVIDER,,,,,,,,,,,,,,
2010AA,NM1,Billing Provider Name (Required),,R,,,,,,,,,,
2010AA,2010AA.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an individual",R,85 Billing Provider,"Hardcode as ""85""",,,,,,,,
2010AA,2010AA.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,"1 Person
2 Non-Person Entit",Hard code as '2',,112,Line,,,"DFF will contain the Supplier name in BILLING_LAST_NAME field.
As of now, DFF file does not contain a field to identify whether supplier is a person or non person entity. So from EDIFECS, hardcoding to 2.
If we need to handle the supplier who is a person scenario, DFF changes are needed. THis is still in discussion with IPLus.
Deepthi(3 July):
After discussion with Iplus team. Hardcoding the value as 2 for this release. ""1 Person"" is not configurable in HRP and if any implementation team needs 'Person' value it canbe taken as an Enhancement.",,
2010AA,2010AA.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,BILLING_LAST_NAME,BILLING_LAST_NAME,113,Line,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/hcfa1500Info/supplierInformation/supplierBillingName,
2010AA,2010AA.NM104,Name First,ndividual first name,S,,,,114,Line,,,,,
2010AA,2010AA.NM105,Name Middle,Individual middle name or initial,S,,,,115,Line,,,,,
2010AA,2010AA.NM107,Name Suffix,Suffix to individual name,S,,,,116,Line,,,,,
2010AA,2010AA.NM108,Identification Code Qualifier,Code designating the system/method of code structure used for Identification Code (67),S,XX Centers for Medicare and Medicaid Services National Provider Identifier,"Hardcode as ""XX""",,,,,,,,
2010AA,2010AA.NM109,Identification Code,Code identifying a party or other code,S,,BILLING_NPI,BILLING_NPI,107,Line,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/hcfa1500Info/supplierInformation/npi,
2010AA,N3,Billing Provider Address (Required),,R,,,,,,,,,,
2010AA,2010AA.N301,Address Information,Address information,R,,BILLING_ADDRESS_1,BILLING_ADDRESS_01,117,Line,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/hcfa1500Info/supplierInformation/address/address,
2010AA,2010AA.N302,Address Information,Address information,S,,BILLING_ADDRESS_2,BILLING_ADDRESS_02,118,Line,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/hcfa1500Info/supplierInformation/address/address2,
2010AA,N4,"Billing Provider City, State, ZIP Code (Required)",,R,,,,,,,,,,
2010AA,2010AA.N401,City Name,Free-form text for city name,R,,BILLING_CITY,BILLING_CITY,119,Line,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/hcfa1500Info/supplierInformation/address/city,
2010AA,2010AA.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,BILLING_STATE,BILLING_STATE,120,Line,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/hcfa1500Info/supplierInformation/address/stateCode,
2010AA,2010AA.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,(BILLING_ZIP) + (BILLING_ZIP_PLUS_4),(BILLING_ZIP) + (BILLING_ZIP_PLUS_FOUR),122,Line,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/hcfa1500Info/supplierInformation/address/zipCode + ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/hcfa1500Info/supplierInformation/address/zipExtension,
2010AA,2010AA.N404,Country Code,Code identifying the country,S,,Leave it blank,,123,Line,,,"I checked in OB Payment. Seems Country Code is not displaying in EDI. As we do not have any logic with Country Code and we are blocked with this issue (Snip Validation Error while translating with the Value as US), we can remove the Country Code mapping.",ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/hcfa1500Info/supplierInformation/address/countryCode,
2010AA,2010AA.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,,,,,,
2010AA,REF,Billing Provider Tax Identification (Required),,R,,,,,,,,,,
2010AA,2010AA.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"EI Employer’s Identification Number
SY Social Security Number","Hardcode as ""EI""",,,,,,,,
2010AA,2010AA.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,BILLING_TAXGROUP_ID,BILLING_TAXGROUP_ID,106,Line,EI’ then it will be mapped into ‘XX-XXXXXXX’ format to taxIdentificationNumber(Remove hypen),,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/hcfa1500Info/supplierInformation/taxIdentificationNumber,
2010AA,REF,Billing Provider UPIN/License Information,,S,,,,,,,,,,
2010AA,2010AA.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"0B State License Number
1G Provider UPIN Number",,,,,,,,,
2010AA,2010AA.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,BILLING_STATE_LICENSE,BILLING_STATE_LICENSE,105,Line,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/hcfa1500Info/supplierInformation/supplierPINNumber,
2010AA,PER,Billing Provider Contact Information,,S,,,,,,,,,,
2010AA,2010AA.PER01,Contact Function Code,Code identifying the major duty or responsibility of the person or group named,R,IC Information Contact,"Hardcode as ""IC""",,,,,,,,
2010AA,2010AA.PER02,Name,Free-form name,S,,,,,,,,,,
2010AA,2010AA.PER03,Communication Number Qualifier,Code identifying the type of communication number,R,"EM Electronic Mail
FX Facsimile
TE Telephone","Hardcode as ""TE""",,,,Only if   BILLING_PHONE is having values.,,BILLING_PHONE in DFF should contain 10 byte phone number including area code.,,
2010AA,2010AA.PER04,Communication Number,Complete communications number including country or area code when applicable,R,,BILLING_PHONE,BILLING_PHONE,127,Line,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/hcfa1500Info/supplierInformation/telephoneNumber,
2010AA,2010AA.PER05,Communication Number Qualifier,Code identifying the type of communication number,S,"EM Electronic Mail
EX Telephone Extension
FX Facsimile
TE Telephone","Hardcode as ""EX""",,,,Only if   BILLING_PHONE_EXT is having values.,,,,
2010AA,2010AA.PER06,Communication Number,Complete communications number including country or area code when applicable,S,,BILLING_PHONE_EXT,BILLING_PHONE_EXT,128,Line,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/hcfa1500Info/supplierInformation/faxNumber,
2010AA,2010AA.PER07,Communication Number Qualifier,Code identifying the type of communication number,S,"EM Electronic Mail
EX Telephone Extension
FX Facsimile
TE Telephone","Hardcode as ""FX""",,,,"Only if   BILLING_FAX is having values.

If BILLING_PHONE is not present, this should be mapped in PER03/PER04

If BILLING_PHONE is  present, and BILLING_PHONE_EXT not present, this should be mapped in PER05/PER06",,,,
2010AA,2010AA.PER08,Communication Number,Complete communications number including country or area code when applicable,S,,BILLING_FAX,BILLING_FAX,133,Line,,,,,
LOOP 2010AB - PAY-TO PROVIDER,,,,,,,,,,,,,,
2010AB,PER,Billing Provider Contact Information,,S,,,,,,,,,,
2010AB,2010AB.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an individual",R,87 Pay-to Provider,"Hardcode as ""87""",,,,,,,,
2010AB,2010AB.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,"1 Person
2 Non-Person Entity","Hardcode as ""2""",,,,,,,,
2010AB,N3,Pay-to Address - ADDRESS (Required),,R,,,,,,,,,,
2010AB,2010AB.N301,Address Information,Address information,R,,PAY_TO_ADDRESS_1,PAY_TO_ADDRESS_01,272,Line,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/payToAddress/address,
2010AB,2010AB.N302,Address Information,Address information,S,,PAY_TO_ADDRESS_2,PAY_TO_ADDRESS_02,273,Line,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/payToAddress/address2,
2010AB,N4,"Pay-To Address City, State, ZIP Code (Required)",,R,,,,,,,,,,
2010AB,2010AB.N401,City Name,Free-form text for city name,R,,PAY_TO_CITY,PAY_TO_CITY,274,Line,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/payToAddress/city,
2010AB,2010AB.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,PAY_TO_STATE,PAY_TO_STATE,275,Line,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/payToAddress/stateCode,
2010AB,2010AB.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,(PAY_TO_ZIP) + (PAY_TO_ZIP_PLUS_4),(PAY_TO_ZIP) + (PAY_TO_ZIP_PLUS_FOUR),276 + 277,Line,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/payToAddress/zipCode + ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/payToAddress/zipExtension,
2010AB,2010AB.N404,Country Code,Code identifying the country,S,,Leave it blank,,278,Line,,,"I checked in OB Payment. Seems Country Code is not displaying in EDI. As we do not have any logic with Country Code and we are blocked with this issue (Snip Validation Error while translating with the Value as US), we can remove the Country Code mapping",ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/payToAddress/countryCode,
2010AB,2010AB.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,,,,,,
LOOP 2010AC - PAY-TO PLAN NAME,,,,,,,,,,,,,,
2010AC,NM1,"Pay-To Address City, State, ZIP Code (Required)",,S,,,,,,,,,,
2010AC,2010AC.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an individual",R,PE Payee,,,,,,,,,
2010AC,2010AC.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,2 Non-Person Entity,,,,,,,,,
2010AC,2010AC.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,,,,,,,,
2010AC,2010AC.NM108,Identification Code Qualifier,Code designating the system/method of code structure used for Identification Code (67),R,"PI Payor Identification
XV Centers for Medicare and Medicaid Services PlanID",,,,,,,,,
2010AC,2010AC.NM109,Identification Code,Code identifying a party or other code,R,,,,,,,,,,
2010AC,N3,Pay-to Plan Address (Required),,R,,,,,,,,,,
2010AC,2010AC.N301,Address Information,Address information,R,,,,,,,,,,
2010AC,2010AC.N302,Address Information,Address information,S,,,,,,,,,,
2010AC,N4,"Pay-To Plan City, State, ZIP Code (Required)",,,,,,,,,,,,
2010AC,2010AC.N401,City Name,,,,,,,,,,,,
2010AC,2010AC.N402,State or Province Code,,,,,,,,,,,,
2010AC,2010AC.N403,Postal Code,,,,,,,,,,,,
2010AC,2010AC.N404,Country Code,,,,,,,,,,,,
2010AC,2010AC.N407,Country Subdivision Code,,,,,,,,,,,,
