"#","Table Area","Loop Position","Loop ID","Loop Name","Segment Position","Segment ID","Segment Name","Composite Position","Composite ID","Composite Name","Element Position","Element ID","Element Name","Standard Option","User Option","Excluded","Max use","Data Type","Min Length","Max Length","Codelist"
"107",,,,,,,,,,,"04","1036","Name First","Optional","Situational","NO","1","AN","1","35",
"108",,,,,,,,,,,"05","1037","Name Middle","Optional","Situational","NO","1","AN","1","25",
"109",,,,,,,,,,,"06","1038","Name Prefix","Optional","Situational","NO","1","AN","1","10",
"110",,,,,,,,,,,"07","1039","Name Suffix","Optional","Situational","NO","1","AN","1","10",
"111",,,,,,,,,,,"08","66","Identification Code Qualifier","Relational","Situational","NO","1","ID","1","2","34,ZZ"
"112",,,,,,,,,,,"09","67","Identification Code","Relational","Situational","NO","1","AN","2","80",
"113","Detail",,,,"0400","PER","Member Communications Numbers",,,,,,,"Optional","Situational","NO","1",,,,
"114",,,,,,,,,,,"01","366","Contact Function Code","Mandatory","Required","NO","1","ID","2","2","IP"
"115",,,,,,,,,,,"03","365","Communication Number Qualifier","Relational","Required","NO","1","ID","2","2","AP,BN,CP,EM,EX,FX,HP,TE,WP"
"116",,,,,,,,,,,"04","364","Communication Number","Relational","Required","NO","1","AN","1","256",
"117",,,,,,,,,,,"05","365","Communication Number Qualifier","Relational","Situational","NO","1","ID","2","2","AP,BN,CP,EM,EX,FX,HP,TE,WP"
"118",,,,,,,,,,,"06","364","Communication Number","Relational","Situational","NO","1","AN","1","256",
"119",,,,,,,,,,,"07","365","Communication Number Qualifier","Relational","Situational","NO","1","ID","2","2","AP,BN,CP,EM,EX,FX,HP,TE,WP"
"120",,,,,,,,,,,"08","364","Communication Number","Relational","Situational","NO","1","AN","1","256",
"121","Detail",,,,"0500","N3","Member Residence Street Address",,,,,,,"Optional","Situational","NO","1",,,,
"122",,,,,,,,,,,"01","166","Address Information","Mandatory","Required","NO","1","AN","1","55",
"123",,,,,,,,,,,"02","166","Address Information","Optional","Situational","NO","1","AN","1","55",
"124","Detail",,,,"0600","N4","Member City, State, ZIP Code",,,,,,,"Optional","Situational","NO","1",,,,
"125",,,,,,,,,,,"01","19","City Name","Optional","Required","NO","1","AN","2","30",
"126",,,,,,,,,,,"02","156","State or Province Code","Relational","Situational","NO","1","ID","2","2",
"127",,,,,,,,,,,"03","116","Postal Code","Optional","Situational","NO","1","ID","3","15",
"128",,,,,,,,,,,"04","26","Country Code","Relational","Situational","NO","1","ID","2","3",
"129",,,,,,,,,,,"05","309","Location Qualifier","Relational","Situational","NO","1","ID","1","2","60,CY"
"130",,,,,,,,,,,"06","310","Location Identifier","Optional","Situational","NO","1","AN","1","30",
"131",,,,,,,,,,,"07","1715","Country Subdivision Code","Relational","Situational","NO","1","ID","1","3",
"132","Detail",,,,"0800","DMG","Member Demographics",,,,,,,"Optional","Situational","NO","1",,,,
"133",,,,,,,,,,,"01","1250","Date Time Period Format Qualifier","Relational","Required","NO","1","ID","2","3","D8"
"134",,,,,,,,,,,"02","1251","Date Time Period","Relational","Required","NO","1","AN","1","35",
"135",,,,,,,,,,,"03","1068","Gender Code","Optional","Required","NO","1","ID","1","1","F,M,U"
"136",,,,,,,,,,,"04","1067","Marital Status Code","Optional","Situational","NO","1","ID","1","1","B,D,I,M,R,S,U,W,X"
"137",,,,,,,,"05","C056","Composite Race or Ethnicity Information",,,,"Relational","Situational","NO","10",,,,
"138",,,,,,,,,,,"01","1109","Race or Ethnicity Code","Optional","Situational","NO","1","ID","1","10","7,8,A,B,C,D,E,F,G,H,I,J,N,O,P,Z"
"139",,,,,,,,,,,"02","1270","Code List Qualifier Code","Relational","Situational","NO","1","ID","1","3","RET"
"140",,,,,,,,,,,"03","1271","Industry Code","Relational","Situational","NO","1","AN","1","30",
"141",,,,,,,,,,,"06","1066","Citizenship Status Code","Optional","Situational","NO","1","ID","1","2","1,2,3,4,5,6,7"
"142",,,,,,,,,,,"10","1270","Code List Qualifier Code","Relational","Situational","NO","1","ID","1","3","REC"
"143",,,,,,,,,,,"11","1271","Industry Code","Relational","Situational","NO","1","AN","1","30",
"144","Detail",,,,"1000","EC","Employment Class",,,,,,,"Optional","Situational","NO",">1",,,,
"145",,,,,,,,,,,"01","1176","Employment Class Code","Optional","Required","NO","1","ID","2","3","01,02,03,04,05,06,07,08,09,10,11,12,17,18,19,20,21,22,23"
"146",,,,,,,,,,,"02","1176","Employment Class Code","Optional","Situational","NO","1","ID","2","3","01,02,03,04,05,06,07,08,09,10,11,12,17,18,19,20,21,22,23"
"147",,,,,,,,,,,"03","1176","Employment Class Code","Optional","Situational","NO","1","ID","2","3","01,02,03,04,05,06,07,08,09,10,11,12,17,18,19,20,21,22,23"
"148","Detail",,,,"1100","ICM","Member Income",,,,,,,"Optional","Situational","NO","1",,,,
"149",,,,,,,,,,,"01","594","Frequency Code","Mandatory","Required","NO","1","ID","1","1","1,2,3,4,6,7,8,9,B,C,H,Q,S,U"
"150",,,,,,,,,,,"02","782","Monetary Amount","Mandatory","Required","NO","1","R","1","18",
"151",,,,,,,,,,,"03","380","Quantity","Optional","Situational","NO","1","R","1","15",
"152",,,,,,,,,,,"04","310","Location Identifier","Optional","Situational","NO","1","AN","1","30",
"153",,,,,,,,,,,"05","1214","Salary Grade","Optional","Situational","NO","1","AN","1","5",
"154","Detail",,,,"1200","AMT","Member Policy Amounts",,,,,,,"Optional","Situational","NO","7",,,,
"155",,,,,,,,,,,"01","522","Amount Qualifier Code","Mandatory","Required","NO","1","ID","1","3","R,B9,C1,D2,FK,P3,EBA"
"156",,,,,,,,,,,"02","782","Monetary Amount","Mandatory","Required","NO","1","R","1","18",
"157","Detail",,,,"1300","HLH","Member Health Information",,,,,,,"Optional","Situational","NO","1",,,,
"158",,,,,,,,,,,"01","1212","Health-Related Code","Optional","Required","NO","1","ID","1","1","N,S,T,U,X"
"159",,,,,,,,,,,"02","65","Height","Optional","Situational","NO","1","R","1","8",
"160",,,,,,,,,,,"03","81","Weight","Optional","Situational","NO","1","R","1","10",
"161","Detail",,,,"1500","LUI","Member Language",,,,,,,"Optional","Situational","NO",">1",,,,
"162",,,,,,,,,,,"01","66","Identification Code Qualifier","Relational","Situational","NO","1","ID","1","2","LD,LE"
"163",,,,,,,,,,,"02","67","Identification Code","Relational","Situational","NO","1","AN","2","80",
"164",,,,,,,,,,,"03","352","Description","Relational","Situational","NO","1","AN","1","80",
"165",,,,,,,,,,,"04","1303","Use of Language Indicator","Optional","Situational","NO","1","ID","1","2","5,6,7,8"
,,,,,,,,,,,,,,,,,,,,,
"166","Detail","0300","2100B","Incorrect Member Name",,,,,,,,,,"Optional","Situational","NO","1",,,,
"167","Detail",,,,"0300","NM1","Incorrect Member Name",,,,,,,"Optional","Situational","NO","1",,,,
"168",,,,,,,,,,,"01","98","Entity Identifier Code","Mandatory","Required","NO","1","ID","2","3","70"
"169",,,,,,,,,,,"02","1065","Entity Type Qualifier","Mandatory","Required","NO","1","ID","1","1","1"
"170",,,,,,,,,,,"03","1035","Name Last or Organization Name","Relational","Required","NO","1","AN","1","60",
"171",,,,,,,,,,,"04","1036","Name First","Optional","Situational","NO","1","AN","1","35",
"172",,,,,,,,,,,"05","1037","Name Middle","Optional","Situational","NO","1","AN","1","25",
"173",,,,,,,,,,,"06","1038","Name Prefix","Optional","Situational","NO","1","AN","1","10",
"174",,,,,,,,,,,"07","1039","Name Suffix","Optional","Situational","NO","1","AN","1","10",
"175",,,,,,,,,,,"08","66","Identification Code Qualifier","Relational","Situational","NO","1","ID","1","2","34,ZZ"
"176",,,,,,,,,,,"09","67","Identification Code","Relational","Situational","NO","1","AN","2","80",
"177","Detail",,,,"0800","DMG","Incorrect Member Demographics",,,,,,,"Optional","Situational","NO","1",,,,
"178",,,,,,,,,,,"01","1250","Date Time Period Format Qualifier","Relational","Situational","NO","1","ID","2","3","D8"
"179",,,,,,,,,,,"02","1251","Date Time Period","Relational","Situational","NO","1","AN","1","35",
"180",,,,,,,,,,,"03","1068","Gender Code","Optional","Situational","NO","1","ID","1","1","F,M,U"
"181",,,,,,,,,,,"04","1067","Marital Status Code","Optional","Situational","NO","1","ID","1","1","B,D,I,M,R,S,U,W,X"
"182",,,,,,,,"05","C056","Composite Race or Ethnicity Information",,,,"Relational","Situational","NO","10",,,,
"183",,,,,,,,,,,"01","1109","Race or Ethnicity Code","Optional","Situational","NO","1","ID","1","1","7,8,A,B,C,D,E,F,G,H,I,J,N,O,P,Z"
"184",,,,,,,,,,,"02","1270","Code List Qualifier Code","Relational","Situational","NO","1","ID","1","3","RET"
"185",,,,,,,,,,,"03","1271","Industry Code","Relational","Situational","NO","1","AN","1","30",
"186",,,,,,,,,,,"06","1066","Citizenship Status Code","Optional","Situational","NO","1","ID","1","2","1,2,3,4,5,6,7"
"187",,,,,,,,,,,"10","1270","Code List Qualifier Code","Relational","Situational","NO","1","ID","1","3","REC"
"188",,,,,,,,,,,"11","1271","Industry Code","Relational","Situational","NO","1","AN","1","30",
,,,,,,,,,,,,,,,,,,,,,
"189","Detail","0300","2100C","Member Mailing Address",,,,,,,,,,"Optional","Situational","NO","1",,,,
"190","Detail",,,,"0300","NM1","Member Mailing Address",,,,,,,"Optional","Situational","NO","1",,,,
"191",,,,,,,,,,,"01","98","Entity Identifier Code","Mandatory","Required","NO","1","ID","2","3","31"
"192",,,,,,,,,,,"02","1065","Entity Type Qualifier","Mandatory","Required","NO","1","ID","1","1","1"
"193","Detail",,,,"0500","N3","Member Mail Street Address",,,,,,,"Optional","Required","NO","1",,,,
"194",,,,,,,,,,,"01","166","Address Information","Mandatory","Required","NO","1","AN","1","55",
"195",,,,,,,,,,,"02","166","Address Information","Optional","Situational","NO","1","AN","1","55",
"196","Detail",,,,"0600","N4","Member Mail City, State, ZIP Code",,,,,,,"Optional","Required","NO","1",,,,
"197",,,,,,,,,,,"01","19","City Name","Optional","Required","NO","1","AN","2","30",
"198",,,,,,,,,,,"02","156","State or Province Code","Relational","Situational","NO","1","ID","2","2",
"199",,,,,,,,,,,"03","116","Postal Code","Optional","Situational","NO","1","ID","3","15",
"200",,,,,,,,,,,"04","26","Country Code","Relational","Situational","NO","1","ID","2","3",
"201",,,,,,,,,,,"07","1715","Country Subdivision Code","Relational","Situational","NO","1","ID","1","3",
,,,,,,,,,,,,,,,,,,,,,
"202","Detail","0300","2100D","Member Employer",,,,,,,,,,"Optional","Situational","NO","3",,,,
"203","Detail",,,,"0300","NM1","Member Employer",,,,,,,"Optional","Situational","NO","1",,,,
"204",,,,,,,,,,,"01","98","Entity Identifier Code","Mandatory","Required","NO","1","ID","2","3","36"
"205",,,,,,,,,,,"02","1065","Entity Type Qualifier","Mandatory","Required","NO","1","ID","1","1","1,2"
"206",,,,,,,,,,,"03","1035","Name Last or Organization Name","Relational","Situational","NO","1","AN","1","60",
"207",,,,,,,,,,,"04","1036","Name First","Optional","Situational","NO","1","AN","1","35",
"208",,,,,,,,,,,"05","1037","Name Middle","Optional","Situational","NO","1","AN","1","25",
"209",,,,,,,,,,,"06","1038","Name Prefix","Optional","Situational","NO","1","AN","1","10",
"210",,,,,,,,,,,"07","1039","Name Suffix","Optional","Situational","NO","1","AN","1","10",
"211",,,,,,,,,,,"08","66","Identification Code Qualifier","Relational","Situational","NO","1","ID","1","2","24,34"
"212",,,,,,,,,,,"09","67","Identification Code","Relational","Situational","NO","1","AN","2","80",
"213","Detail",,,,"0400","PER","Member Employer Communications Numbers",,,,,,,"Optional","Situational","NO","1",,,,
"214",,,,,,,,,,,"01","366","Contact Function Code","Mandatory","Required","NO","1","ID","2","2","EP"
"215",,,,,,,,,,,"02","93","Name","Optional","Situational","NO","1","AN","1","60",
"216",,,,,,,,,,,"03","365","Communication Number Qualifier","Relational","Required","NO","1","ID","2","2","AP,BN,CP,EM,EX,FX,TE"
"217",,,,,,,,,,,"04","364","Communication Number","Relational","Required","NO","1","AN","1","256",
"218",,,,,,,,,,,"05","365","Communication Number Qualifier","Relational","Situational","NO","1","ID","2","2","AP,BN,CP,EM,EX,FX,TE"
"219",,,,,,,,,,,"06","364","Communication Number","Relational","Situational","NO","1","AN","1","256",
"220",,,,,,,,,,,"07","365","Communication Number Qualifier","Relational","Situational","NO","1","ID","2","2","AP,BN,CP,EM,EX,FX,TE"
"221",,,,,,,,,,,"08","364","Communication Number","Relational","Situational","NO","1","AN","1","256",
"222","Detail",,,,"0500","N3","Member Employer Street Address",,,,,,,"Optional","Situational","NO","1",,,,
"223",,,,,,,,,,,"01","166","Address Information","Mandatory","Required","NO","1","AN","1","55",
"224",,,,,,,,,,,"02","166","Address Information","Optional","Situational","NO","1","AN","1","55",
"225","Detail",,,,"0600","N4","Member Employer City, State, ZIP Code",,,,,,,"Optional","Situational","NO","1",,,,
"226",,,,,,,,,,,"01","19","City Name","Optional","Required","NO","1","AN","2","30",
"227",,,,,,,,,,,"02","156","State or Province Code","Relational","Situational","NO","1","ID","2","2",
"228",,,,,,,,,,,"03","116","Postal Code","Optional","Situational","NO","1","ID","3","15",
"229",,,,,,,,,,,"04","26","Country Code","Relational","Situational","NO","1","ID","2","3",
"230",,,,,,,,,,,"07","1715","Country Subdivision Code","Relational","Situational","NO","1","ID","1","3",
,,,,,,,,,,,,,,,,,,,,,
"231","Detail","0300","2100E","Member School",,,,,,,,,,"Optional","Situational","NO","3",,,,
"232","Detail",,,,"0300","NM1","Member School",,,,,,,"Optional","Situational","NO","1",,,,
"233",,,,,,,,,,,"01","98","Entity Identifier Code","Mandatory","Required","NO","1","ID","2","3","M8"
"234",,,,,,,,,,,"02","1065","Entity Type Qualifier","Mandatory","Required","NO","1","ID","1","1","2"
"235",,,,,,,,,,,"03","1035","Name Last or Organization Name","Relational","Required","NO","1","AN","1","60",
"236","Detail",,,,"0400","PER","Member School Commmunications Numbers",,,,,,,"Optional","Situational","NO","1",,,,
"237",,,,,,,,,,,"01","366","Contact Function Code","Mandatory","Required","NO","1","ID","2","2","SK"
"238",,,,,,,,,,,"02","93","Name","Optional","Situational","NO","1","AN","1","60",
"239",,,,,,,,,,,"03","365","Communication Number Qualifier","Relational","Required","NO","1","ID","2","2","EM,EX,FX,TE"
"240",,,,,,,,,,,"04","364","Communication Number","Relational","Required","NO","1","AN","1","256",
"241",,,,,,,,,,,"05","365","Communication Number Qualifier","Relational","Situational","NO","1","ID","2","2","EM,EX,FX,TE"
"242",,,,,,,,,,,"06","364","Communication Number","Relational","Situational","NO","1","AN","1","256",
"243",,,,,,,,,,,"07","365","Communication Number Qualifier","Relational","Situational","NO","1","ID","2","2","EM,EX,FX,TE"
"244",,,,,,,,,,,"08","364","Communication Number","Relational","Situational","NO","1","AN","1","256",
"245","Detail",,,,"0500","N3","Member School Street Address",,,,,,,"Optional","Situational","NO","1",,,,
"246",,,,,,,,,,,"01","166","Address Information","Mandatory","Required","NO","1","AN","1","55",
"247",,,,,,,,,,,"02","166","Address Information","Optional","Situational","NO","1","AN","1","55",
"248","Detail",,,,"0600","N4","Member School City, State, ZIP Code",,,,,,,"Optional","Situational","NO","1",,,,
"249",,,,,,,,,,,"01","19","City Name","Optional","Required","NO","1","AN","2","30",
"250",,,,,,,,,,,"02","156","State or Province Code","Relational","Situational","NO","1","ID","2","2",
"251",,,,,,,,,,,"03","116","Postal Code","Optional","Situational","NO","1","ID","3","15",
"252",,,,,,,,,,,"04","26","Country Code","Relational","Situational","NO","1","ID","2","3",
"253",,,,,,,,,,,"07","1715","Country Subdivision Code","Relational","Situational","NO","1","ID","1","3",
,,,,,,,,,,,,,,,,,,,,,
"254","Detail","0300","2100F","Custodial Parent",,,,,,,,,,"Optional","Situational","NO","1",,,,
