EDILoopID. Segment,EDI Data Element Name,EDI Element Description,Usage,Enumeration Values,Hard Code / Default Value,XML Field,Mapping Logic/ Comments,
GS05,Time,Time the Group Header is created.,R,SysTime (HHMM),SysTime (HHMM),,,
GS06,Group Control Number,Submitter-specific number.,R,<Group Control Number>,Generate ID In EDIFECS (1-9 Bytes),"This value must match the value in GE02

Used to identify file level duplicates
collectively with ISA13, ST02, and BHT03",,
GS07,Responsible Agency Code,Code identifying the issuer of the EDI standard being used.,R,X : Accredited Standards Committee X12,X,,,
GS08,Version/Release/Industry Identifier Code,"Code indicating the version, release, subrelease, and industry identifier of the EDI
standard being used,
ST03 and GS08 must be identical",R,005010X222A1,005010X222A1,,,
ST,Segment: Transaction Set Header,,R,,,,,
ST01,Transaction Set Identifier Code,Code uniquely identifying a Transaction Set,R,837 : Health Care Claim,837,,,
ST02,Transaction Set Control Number,Unique Sequential Number Assigned by Internal Processes for each Transaction Set. Starts from 001 and increments with each transaction set,R,"<Transaction set Control Number>
Starts from 001 and increments with each transaction set",Generate ID In EDIFECS (4 Bytes),Must match the value in SE02.,,
ST03,Implementation Convention Reference,Standards Approved by ACS X12 Review Board.                 ST03 and GS08 must be identical,R,005010X222A1,005010X222A1,,,
BHT,Segment: Beginning Of Hierarchical Transaction,,R,,,,,
BHT01,Hierarchical Structure Code,Code indicating the hierarchical application structure of a transaction set,R,"0019 : Information Source, Subscriber, Dependent",0019,,,
BHT02,Transaction Set Purpose Code,"Code identifying purpose of transaction set.  Used to convey the electronic transmission status of
the 837 batch",R,"00 : Original
18 : Reissue",00,,,
BHT03,Reference Identification,Reference information as defined for a particular Transaction Set,R,<Originator Application Transaction Identifier>,Should be CCYYMMDDHHMMSS,,,
BHT04,Date,The date the transaction was created,R,SysDate (YYYYMMDD),SysDate (YYYYMMDD),,,
BHT05,Time,The time the transaction was created,R,SysTime (HHMMSS),SysTime (HHMMSS),,,
BHT06,Transaction Type Code,Code specifying the type of transaction,R,"CH- Chargeable
RP- Reporting",CH,,,
1000A — SUBMITTER NAME Loop Repeat: 1,,,,,,,,
NM1,Segment NM1 - Submitter Name  (Required),,R,,,,,
1000A.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,41 : Submitter,41,,,
1000A.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,"1 : Person
2 : Non-person Entity",2,,,
1000A.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,"Hardcode  as ""Product""",,,
1000A.NM104,Name First,Individual first name,S,,,,,
1000A.NM105,Name Middle,Individual middle name or initial,S,,,,,
1000A.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code",R,46 : Electronic Transmitter Identification Number (ETIN,46,,,
1000A.NM109,Identification Code,Code identifying a party or other code,R,100X,"Hardcode  as ""Product""",,,
PER,Segment PER - Submitter EDI Contact Information,,R,,,,,
1000A.PER01,Contact Function Code,Code identifying the major duty or responsibility of the person or group named,R,IC -  Information Contact,IC,,,
1000A.PER02,Name,Submitter Contact Name,S,<<Submitter Name>>,"Hardcode  as ""Product""",,,
1000A.PER03,Communication Number Qualifier,Code identifying the type of communication number,R,"""EM"" : Electronic Mail
""FX"" : Facsimile
""TE"" : Telephone",TE,,,
1000A.PER04,Communication Number,Complete communications number including country or area code when applicable,R,,"Hardcode as ""1234567890""",,,
1000A.PER05,Communication Number Qualifier,Code identifying the type of communication number,S,"""EM"" : Electronic Mail
""FX"" : Facsimile
""TE"" : Telephone",,,,
1000A.PER06,Communication Number,Complete communications number including country or area code when applicable,S,,,,,
1000A.PER07,Communication Number Qualifier,Code identifying the type of communication number,S,"""EM"" : Electronic Mail
""FX"" : Facsimile
""TE"" : Telephone",,,,
1000A.PER08,Communication Number,Complete communications number including country or area code when applicable,S,,,,,
Loop: 1000B — RECEIVER NAME Loop Repeat: 1,,,,,,,,
NM1,Segment NM1 - Receiver Name  (Required),,R,,,,,
1000B.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,40 : Receiver,40,,,
1000B.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,2 : Non-Person Entity,2,,,
1000B.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,"Hardcode  as ""Product""",,,
1000B.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code",R,46 :  Electronic Transmitter Identification Number (ETIN,46,,,
1000B.NM109,Identification Code,Code identifying a party,R,,"Hardcode  as ""Product""",,,
Loop: 2000A — BILLING PROVIDER HIERARCHICAL LEVEL Loop Repeat: >1,,,,,,,,
HL,Segment HL - Billing Provider Hierarchical Level  (Required),,R,,,,,
2000A.HL01,Hierarchical ID Number,"A unique number assigned by the sender to identify a particular data segment in
a hierarchical structure",R,"The first HL01 within each ST-SE envelope must begin with “1”,
and be incremented by one each time an HL is used in the
transaction",Generated by Edifecs,,,
2000A.HL02,Hierarchical Parent ID Number,,R,,,,,
2000A.HL03,Hierarchical Level Code,Code defining the characteristic of a level in a hierarchical structure,R,20 : Information Source,20,,,
2000A.HL04,Hierarchical Child Code,ndccode,R,"1 : Additional Subordinate HL Data Segment in This
Hierarchical Structure.",Generated by Edifecs,,,
PRV,Segment PRV - Billing Provider Specialty Information  (Situational),,S,,,,,
2000A.PRV01,Provider Code,Code identifying the type of provider,R,BI : Billing,BI,,,
2000A.PRV02,Reference Identification Qualifier,Code qualifying the Reference Identification,R,PXC :  Health Care Provider Taxonomy Code,PXC,,,
2000A.PRV03,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,/claim/supplier/speciality/specialtyInformation/taxonomyCode,First instance will be mapped if more than one taxonomycode,
CUR,Segment CUR - Foreign Currency Information (Situational),,S,,,,,
2000A.CUR01,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,,Do not Map,,,
2000A.CUR02,Currency Code,Code (Standard ISO) for country in whose currency the charges are specified,R,,Do not Map,,,
Loop: 2010AA — BILLING PROVIDER NAME Loop Repeat: 1,,,,,,,,
NM1,Segment NM1 - Billing Provider Name (Required),,R,,,,,
2010AA.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,85 :  Billing Provider,"Hardcode as ""85""",,,
2010AA.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,"1 : Person
2 : Non-Person Entity","Hardcode as ""2""",,,
2010AA.NM103,Name Last or Organization Name,Individual last name or organizational name,S,,,"Map from getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/hcfa1500Info/supplierInformation/supplierBillingName,if present,
else Map from
getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/supplier/name",,
2010AA.NM104,Name First,Individual first name,S,,,,,
2010AA.NM105,Name Middle,Individual middle name or initial,S,,,,,
2010AA.NM107,Name Suffix,Suffix to individual name,S,,,,,
2010AA.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code (67)",S,"XX :  Centers for Medicare and Medicaid Services
National Provider Identifier",XX,,,
2010AA.NM109,Identification Code,Code identifying a party or other code / Billing Provider Identifier,S,,,"getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/hcfa1500Info/supplierInformation/npi
if present, else take from
getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/supplier/NPI",,
N3,Segment N3 - Billing Provider Address (Required),,R,,,"If The Supplier Address Line 1 has PO Box / P.O.Box,",,
2010AA.N301,Address Information,Address information,R,,,"Map  from  getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/supplierLocation/correspondenceAddress/address ,  if present
Else Map,
getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/supplier/correspondenceAddress/address",,
2010AA.N302,Address Information,Address information,S,,,"Map  from
getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/supplierLocation/correspondenceAddress/address2 ,  if present
Else Map,
getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/supplier/correspondenceAddress/address2",,
N4,"Segment N4 - Billing Provider City, State, ZIP Code (Required)",,R,,,,,
2010AA.N401,City Name,Free-form text for city name,R,,,"Map  from supplierLocation if present getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/supplierLocation/correspondenceAddress/city
ELSE,
Map from Supplier
getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/supplier/correspondenceAddress/city",,
2010AA.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,,"Map  from supplierLocation if present getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/supplierLocation/correspondenceAddress/stateCode
Else,
Map from Supplier
getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/supplier/correspondenceAddress/stateCode",,
2010AA.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,,"Map  from supplierLocation if present getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/supplierLocation/correspondenceAddress/zipCode +
claim/supplierLocation/correspondenceAddress/zipExtension
ELSE,
Map from Supplier
getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/supplier/correspondenceAddress/zipCode +
getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/supplier/correspondenceAddress/zipExtension",Plus Symbol Signifies Concatenation NOT Addition,
2010AA.N404,Country Code,Code identifying the country,S,,,"getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/supplierLocation/correspondenceAddress/countryCode,  If present
Else
getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/supplier/address/countryCode",,
2010AA.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,
REF,Segment REF - Billing Provider Tax Identification (Required),,R,,,,,
2010AA.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"EI : Employer’s Identification Number
SY : Social Security Number","Hardcode as ""EI""",,,
2010AA.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,"Map from getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/hcfa1500Info/supplierInformation/taxIdentificationNumber
if present,
else take from
getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/supplier/TIN","(1-50 bytes, no hyphens)",
REF,Segment REF - Billing Provider UPIN/License Information (Situational),,S,,,,,
2010AA.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"1G  : Provider UPIN Number
0B :  State License Number",,,,
2010AA.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,
PER,Segment - PER Billing Provider Contact Information (Situational),,S,,,If telephone number present,,
2010AA.PER01,Contact Function Code,Code identifying the major duty or responsibility of the person or group name,R,IC -  Information Contact,IC,,,
2010AA.PER02,Name,Billing Provider Contact Name,S,,,"getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/hcfa1500Info/supplierInformation/supplierBillingName
if present, else take from
getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/supplier/name",,
2010AA.PER03,Communication Number Qualifier,Code identifying the type of communication number,R,"""EM"" : Electronic Mail
""FX"" : Facsimile
""TE"" : Telephone",TE,,,
2010AA.PER04,Communication Number,,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/hcfa1500Info/supplierInformation/telephoneNumber,,
2010AA.PER05,Communication Number Qualifier,Code identifying the type of communication numbe,S,"""EM"" : Electronic Mail
""FX"" : Facsimile
""TE"" : Telephone
""EX"" : Telephone Extension",EM,,,
2010AA.PER06,Communication Number,Communication Number,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/hcfa1500Info/supplierInformation/email,,
2010AA.PER07,Communication Number Qualifier,Code identifying the type of communication number,S,"""EM"" : Electronic Mail
""FX"" : Facsimile
""TE"" : Telephone
""EX"" : Telephone Extension",,,,
2010AA.PER08,Communication Number,,S,,,,,
Loop: 2010AB — PAY-TO ADDRESS NAME Loop Repeat: 1,,,,,,,,
NM1,Segment - NM1 Pay-to Address Name (Situational),,S,,Mapped only if the address is different from the 2010AA Address,,,
2010AB.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,87: Pay-to Provider,87,,,
2010AB.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,"1 : Person
2:  Non-Person Entity",2,,,
N3,Segment - N3 Pay-to Address - ADDRESS (Required),,R,,,Map from Claims XML if the above condition matches,,
2010AB.N301,Address Information,Address Information,R,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetails/claim/payToAddress/address,,
2010AB.N302,Address Information,Address Information,S,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetails/claim/payToAddress/address2,,
N4,"Segment - N4 Pay-To Address City, State, ZIP Code (Required)",,R,,,Map from Claims XML if the above condition matches,,
2010AB.N401,City Name,Free-form text for city name,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/payToAddress/city,,
2010AB.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/payToAddress/stateCode,,
2010AB.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/payToAddress/zipCode + /claim/payToAddress/zipExtension,Plus Symbol Signifies Concatenation NOT Addition,
2010AB.N404,Country Code,Code identifying the country,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/payToAddress/countryCode,,
2010AB.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,
Loop: 2010AC — PAY-TO PLAN NAME Loop Repeat: 1,,,,,,,,
NM1,Segment - NM1 Pay-To Plan Name (Situational),,S,,,,,
2010AC.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,PE : Payee,,,,
2010AC.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,2 : Non-Person Entity,,,,
2010AC.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,,,
2010AC.NM108,Identification Code Qualifier,Code designating the system/method of code structure used for Identification Code (67),R,,,,,
2010AC.NM109,Identification Code,Code identifying a party or other code,R,,,,,
N3,Segment - N3 Pay-to Plan Address (Required),,R,,,,,
2010AC.N301,Address Information,Address Information,R,,,,,
2010AC.N302,Address Information,Address Information,S,,,,,
N4,"Segment - N4 Pay-To Plan City, State, ZIP Code (Required)",,R,,,,,
2010AC.N401,City Name,Free-form text for city name,R,,,,,
2010AC.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,,,,
2010AC.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,,,,
2010AC.N404,Country Code,Code identifying the country,S,,,,,
2010AC.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,
REF,Segment - REF Pay-to Plan Secondary Identification (Required),,R,,,,,
2010AC.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,,,,,
2010AC.REF02,Reference Identification,"Reference information as specified
by the Reference Identification Qualifier",R,,,,,
REF,Segment - REF Pay-To Plan Tax Identification Number (Required),,R,,,,,
2010AC.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,EI : Employer’s Identification Number,,,,
2010AC.REF02,Reference Identification,"Reference information as specified
by the Reference Identification Qualifier",R,,,,,
Loop: 2000B — SUBSCRIBER HIERARCHICAL LEVEL Loop Repeat: >1,,,,,,,,
HL,Segment - HL Subscriber Hierarchical Level (Required),,R,,,,,
2000B.HL01,Hierarchical ID Number,"A unique number assigned by the sender to identify a particular data segment in
a hierarchical structure",R,"2000A.HL01 + 1

Incremented at each new HL segment.",System Generated,,,
2000B.HL02,Hierarchical Parent ID Number,"Identification number of the next higher hierarchical data segment that the data
segment being described is subordinate to",R,2000A.HL01,2000A.HL01,,,
2000B.HL03,Hierarchical Level Code,Code defining the characteristic of a level in a hierarchical structure,R,22 - Subscriber,22,,,
2000B.HL04,Hierarchical Child Code,"Code indicating if there are hierarchical child data segments subordinate to the
level being described.",R,"0 :  HL04 has no subordinate levels  (the subscriber is the patient and there are no dependent claims)
1: HL04 has subordinate levels",0 /1 Based On The Count,,,
SBR,Segment - SBR Subscriber Information (Required),,R,,,,,
2000B.SBR01,Payer Responsibility Sequence Number Code,"Code identifying the insurance carrier’s level of responsibility for a payment of a
claim",R,"A- Payer Responsibility Four
B- Payer Responsibility Five
C- Payer Responsibility Six
D- Payer Responsibility Seven
E- Payer Responsibility Eight
F- Payer Responsibility Nine
G- Payer Responsibility Ten
H- Payer Responsibility Eleven
P- Primary
S- Secondary
T- Tertiary
U- Unknown",,"OtherInsuranceCount = Count(/claim/otherInsuranceInfoClaimList/otherInsuranceInfoClaimInfo/companyName != """")

If OtherInsuranceCount = 0
 Populate ""S""
Else If OtherInsuranceCount = 1
 Populate ""T""
Else If OtherInsuranceCount = 2
 Populate ""A""
Else If OtherInsuranceCount = 3
 Populate ""B""",,
2000B.SBR02,Individual Relationship Code,Code indicating the relationship between two individuals or entities,S,18 : Self,"Hardcode as ""18""",,,
2000B.SBR03,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,S,,,map from getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/subscriptionInformation/groupNumber,,
2000B.SBR04,Name,,S,,,,,
2000B.SBR05,Insurance Type Code,Code identifying the type of insurance policy within a specific insurance program,S,"12 :  Medicare Secondary Working Aged Beneficiary or
Spouse with Employer Group Health Plan
13 : Medicare Secondary End-Stage Renal Disease
Beneficiary in the Mandated Coordination Period
with an Employer’s Group Health Plan
14 : Medicare Secondary, No-fault Insurance including
Auto is Primary
15 : Medicare Secondary Worker’s Compensation
16 : Medicare Secondary Public Health Service (PHS)or
Other Federal Agency
41 : Medicare Secondary Black Lung
42 : Medicare Secondary Veteran’s Administration
43 : Medicare Secondary Disabled Beneficiary Under
Age 65 with Large Group Health Plan (LGHP)
47 : Medicare Secondary, Other Liability Insurance",,,,
2000B.SBR09,Claim Filing Indicator Code,,S,"11 : Other Non-Federal Programs
12 : Preferred Provider Organization (PPO)
13 : Point of Service (POS)
14 : Exclusive Provider Organization (EPO)
15 : Indemnity Insurance
16 : Health Maintenance Organization (HMO) Medicare
Risk
17 : Dental Maintenance Organization
AM :  Automobile Medical
BL :  Blue Cross/Blue Shield
CH :  Champus
CI :  Commercial Insurance Co.
DS :  Disability
FI :  Federal Employees Program
HM :  Health Maintenance Organization
LM :  Liability Medical
MA :  Medicare Part A
MB :  Medicare Part B
MC :  Medicaid
OF :  Other Federal Program
1484 Use code OF when submitting Medicare Part D
claims.
TV Title V
VA Veterans Affairs Plan
WC Workers’ Compensation Health Claim
ZZ Mutually Defined
71 Use Code ZZ when Type of Insurance is not known.","getClaimDetailsByHccIDResponseRecord/identifiers/identifier/value
if
getClaimDetailsByHccIDResponseRecord/identifiers/identifier/key is equal to ""CLAIM_FILING_INDICATOR_CODE",,Pull  CLAIM_FILING_CODE from CLAIM FACT,
PAT,Segment - PAT Patient Information (Situational),,S,,,,,
2000B.PAT05,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",S,D8 : Date Expressed in Format CCYYMMDD,,,,
2000B.PAT06,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times / Patient Death Date",S,,,,,
2000B.PAT07,Unit or Basis for Measurement Code,"Code specifying the units in which a value is being expressed, or manner in which
a measurement has been taken",S,01 : Actual Pounds,,,,
2000B.PAT08,Weight,Numeric value of weight,S,,,,,
2000B.PAT09,Yes/No Condition or Response Code,Code indicating  whether the patient is pregnant or not pregnant.,S,Y :Yes,,,,
Loop: 2010BA — SUBSCRIBER NAME Loop Repeat: 1,,,,,,,,
NM1,Segment - NM1 Subscriber Name (Required),,R,,,,,
2010BA.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,IL :  Insured or Subscriber,IL,,,
2010BA.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,"1 : Person
2 : Non-Person Entity",1,,,
2010BA.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/subscriptionInformation/subscriber/lastName,"in soap only fullname is populating need to have a logic to map NM103,04,05",
2010BA.NM104,Name First,Individual first name,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/subscriptionInformation/subscriber/firstName,,
2010BA.NM105,Name Middle,Individual middle name or initial,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/subscriptionInformation/subscriber/middleName,,
2010BA.NM107,Name Suffix,Suffix to individual name,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/subscriptionInformation/subscriber/nameSuffix,,
2010BA.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code",S,"II :  Standard Unique Health Identifier for each Individual in the United States
MI  :  Member Identification Number",MI,,,
2010BA.NM109,Identification Code,Code identifying a party or other code / Subscriber Primary Identifier,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/subscriptionInformation/hccId,,
N3,Segment - N3 Subscriber Address (Situational),,S,,,,,
2010BA.N301,Address Information,Address Information,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/subscriptionInformation/correspondenceAddress/address,,
2010BA.N302,Address Information,Address Information,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/subscriptionInformation/correspondenceAddress/address2,,
N4,"Segment - N4 Subscriber City, State, ZIP Code (Situational)",,S,,,,,
2010BA.N401,City Name,Free-form text for city name,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/subscriptionInformation/correspondenceAddress/city,,
2010BA.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/subscriptionInformation/correspondenceAddress/stateCode,,
2010BA.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/subscriptionInformation/correspondenceAddress/zipCode + /claim/subscriptionInformation/correspondenceAddress/zipExtension,,
2010BA.N404,Country Code,Code identifying the country,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/subscriptionInformation/correspondenceAddress/countryCode,Map only when not 'US',
2010BA.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,
DMG,Segment - DMG Subscriber Demographic Information (Situational),,S,,,,,
2010BA.DMG01,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 :  Date Expressed in Format CCYYMMDD,D8,,,
2010BA.DMG02,Date Time Period,Date Time Period,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/subscriptionInformation/subscriber/birthdate,"Remove""-""",
2010BA.DMG03,Gender Code,Code indicating the sex of the individual,R,"F : Female
M : Male",,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/subscriptionInformation/subscriber/genderCode,,
REF,Segment - REF Subscriber Secondary Identification (Situational),,S,,,,,
2010BA.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,SY Social Security Number,SY,,,
