EDI LoopID.Segment,EDI Data Element Name,EDI Element Description,Usage,Enumeration Values,Sample values,Mapped to XSD element,HRP Element Description,Transformation Logic,Comments /Needs to review,
2300.HI04.02,Industry Code,Diagnosis Code,R,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/diagnosisList/externalDiagnosisList/diagnosisCode,Diagnosis code.,"If we get more than 3 digits, should add a dot (.)after 3rd Character",,
2300.HI04.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/diagnosisList/externalDiagnosisList/poaIndicator,POA indicator,,,
2300.HI05.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"ABN : International Classification of Diseases Clinical
Modification (ICD-10-CM) External Cause of Injury
Code
BN : International Classification of Diseases Clinical
Modification (ICD-9-CM) External Cause of Injury
Code (E-codes)",,,,,,
2300.HI05.02,Industry Code,Diagnosis Code,R,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/diagnosisList/externalDiagnosisList/diagnosisCode,Diagnosis code.,"If we get more than 3 digits, should add a dot (.)after 3rd Character",,
2300.HI05.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/diagnosisList/externalDiagnosisList/poaIndicator,POA indicator,,,
2300.HI06.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"ABN : International Classification of Diseases Clinical
Modification (ICD-10-CM) External Cause of Injury
Code
BN : International Classification of Diseases Clinical
Modification (ICD-9-CM) External Cause of Injury
Code (E-codes)",,,,,,
2300.HI06.02,Industry Code,Diagnosis Code,R,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/diagnosisList/externalDiagnosisList/diagnosisCode,Diagnosis code.,"If we get more than 3 digits, should add a dot (.)after 3rd Character",,
2300.HI06.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/diagnosisList/externalDiagnosisList/poaIndicator,POA indicator,,,
2300.HI07.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"ABN : International Classification of Diseases Clinical
Modification (ICD-10-CM) External Cause of Injury
Code
BN : International Classification of Diseases Clinical
Modification (ICD-9-CM) External Cause of Injury
Code (E-codes)",,,,,,
2300.HI07.02,Industry Code,Diagnosis Code,R,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/diagnosisList/externalDiagnosisList/diagnosisCode,Diagnosis code.,"If we get more than 3 digits, should add a dot (.)after 3rd Character",,
2300.HI07.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/diagnosisList/externalDiagnosisList/poaIndicator,POA indicator,,,
2300.HI08.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"ABN : International Classification of Diseases Clinical
Modification (ICD-10-CM) External Cause of Injury
Code
BN : International Classification of Diseases Clinical
Modification (ICD-9-CM) External Cause of Injury
Code (E-codes)",,,,,,
2300.HI08.02,Industry Code,Diagnosis Code,R,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/diagnosisList/externalDiagnosisList/diagnosisCode,Diagnosis code.,"If we get more than 3 digits, should add a dot (.)after 3rd Character",,
2300.HI08.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/diagnosisList/externalDiagnosisList/poaIndicator,POA indicator,,,
2300.HI09.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"ABN : International Classification of Diseases Clinical
Modification (ICD-10-CM) External Cause of Injury
Code
BN : International Classification of Diseases Clinical
Modification (ICD-9-CM) External Cause of Injury
Code (E-codes)",,,,,,
2300.HI09.02,Industry Code,Diagnosis Code,R,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/diagnosisList/externalDiagnosisList/diagnosisCode,Diagnosis code.,"If we get more than 3 digits, should add a dot (.)after 3rd Character",,
2300.HI09.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/diagnosisList/externalDiagnosisList/poaIndicator,POA indicator,,,
2300.HI10.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"ABN : International Classification of Diseases Clinical
Modification (ICD-10-CM) External Cause of Injury
Code
BN : International Classification of Diseases Clinical
Modification (ICD-9-CM) External Cause of Injury
Code (E-codes)",,,,,,
2300.HI10.02,Industry Code,Diagnosis Code,R,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/diagnosisList/externalDiagnosisList/diagnosisCode,Diagnosis code.,"If we get more than 3 digits, should add a dot (.)after 3rd Character",,
2300.HI10.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/diagnosisList/externalDiagnosisList/poaIndicator,POA indicator,,,
2300.HI11.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"ABN : International Classification of Diseases Clinical
Modification (ICD-10-CM) External Cause of Injury
Code
BN : International Classification of Diseases Clinical
Modification (ICD-9-CM) External Cause of Injury
Code (E-codes)",,,,,,
2300.HI11.02,Industry Code,Diagnosis Code,R,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/diagnosisList/externalDiagnosisList/diagnosisCode,Diagnosis code.,"If we get more than 3 digits, should add a dot (.)after 3rd Character",,
2300.HI11.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/diagnosisList/externalDiagnosisList/poaIndicator,POA indicator,,,
2300.HI12.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"ABN : International Classification of Diseases Clinical
Modification (ICD-10-CM) External Cause of Injury
Code
BN : International Classification of Diseases Clinical
Modification (ICD-9-CM) External Cause of Injury
Code (E-codes)",,,,,,
2300.HI12.02,Industry Code,Diagnosis Code,R,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/diagnosisList/externalDiagnosisList/diagnosisCode,Diagnosis code.,"If we get more than 3 digits, should add a dot (.)after 3rd Character",,
2300.HI12.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/diagnosisList/externalDiagnosisList/poaIndicator,POA indicator,,,
Segment - HI Diagnosis Related Group (DRG) Information (Situational),,,,,,,,,,
2300.HI01.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,DR Diagnosis Related Group (DRG),,,,,,
2300.HI01.02,Industry Code,Diagnosis Code,R,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/ppsCode,Prospective payment system code,001-999,,
Segment - HI Other Diagnosis Information (Situational),,,,,,,,,,
2300.HI01.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,ABF International Classification of Diseases Clinical Modification (ICD-10-CM) Diagnosis,,,,,,
2300.HI01.02,Industry Code,Diagnosis Code,R,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/diagnosisList/otherDiagnosisList/diagnosisCode,Diagnosis Code,"If we get more than 3 digits, should add a dot (.)after 3rd Character",,
2300.HI01.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/diagnosisList/otherDiagnosisList/poaIndicator,POA Indicator,,,
2300.HI02.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,ABF International Classification of Diseases Clinical Modification (ICD-10-CM) Diagnosis,,,,,,
2300.HI02.02,Industry Code,Diagnosis Code,R,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/diagnosisList/otherDiagnosisList/diagnosisCode,Diagnosis Code,"If we get more than 3 digits, should add a dot (.)after 3rd Character",,
2300.HI02.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/diagnosisList/otherDiagnosisList/poaIndicator,POA Indicator,,,
2300.HI03.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,ABF International Classification of Diseases Clinical Modification (ICD-10-CM) Diagnosis,,,,,,
2300.HI03.02,Industry Code,Diagnosis Code,R,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/diagnosisList/otherDiagnosisList/diagnosisCode,Diagnosis Code,"If we get more than 3 digits, should add a dot (.)after 3rd Character",,
2300.HI03.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/diagnosisList/otherDiagnosisList/poaIndicator,POA Indicator,,,
2300.HI04.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,ABF International Classification of Diseases Clinical Modification (ICD-10-CM) Diagnosis,,,,,,
2300.HI04.02,Industry Code,Diagnosis Code,R,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/diagnosisList/otherDiagnosisList/diagnosisCode,Diagnosis Code,"If we get more than 3 digits, should add a dot (.)after 3rd Character",,
2300.HI04.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/diagnosisList/otherDiagnosisList/poaIndicator,POA Indicator,,,
2300.HI05.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,ABF International Classification of Diseases Clinical Modification (ICD-10-CM) Diagnosis,,,,,,
2300.HI05.02,Industry Code,Diagnosis Code,R,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/diagnosisList/otherDiagnosisList/diagnosisCode,Diagnosis Code,"If we get more than 3 digits, should add a dot (.)after 3rd Character",,
2300.HI05.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/diagnosisList/otherDiagnosisList/poaIndicator,POA Indicator,,,
2300.HI06.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,ABF International Classification of Diseases Clinical Modification (ICD-10-CM) Diagnosis,,,,,,
2300.HI06.02,Industry Code,Diagnosis Code,R,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/diagnosisList/otherDiagnosisList/diagnosisCode,Diagnosis Code,"If we get more than 3 digits, should add a dot (.)after 3rd Character",,
2300.HI06.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/diagnosisList/otherDiagnosisList/poaIndicator,POA Indicator,,,
2300.HI07.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,ABF International Classification of Diseases Clinical Modification (ICD-10-CM) Diagnosis,,,,,,
2300.HI07.02,Industry Code,Diagnosis Code,R,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/diagnosisList/otherDiagnosisList/diagnosisCode,Diagnosis Code,"If we get more than 3 digits, should add a dot (.)after 3rd Character",,
2300.HI07.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/diagnosisList/otherDiagnosisList/poaIndicator,POA Indicator,,,
2300.HI08.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,ABF International Classification of Diseases Clinical Modification (ICD-10-CM) Diagnosis,,,,,,
2300.HI08.02,Industry Code,Diagnosis Code,R,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/diagnosisList/otherDiagnosisList/diagnosisCode,Diagnosis Code,"If we get more than 3 digits, should add a dot (.)after 3rd Character",,
2300.HI08.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/diagnosisList/otherDiagnosisList/poaIndicator,POA Indicator,,,
2300.HI09.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,ABF International Classification of Diseases Clinical Modification (ICD-10-CM) Diagnosis,,,,,,
2300.HI09.02,Industry Code,Diagnosis Code,R,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/diagnosisList/otherDiagnosisList/diagnosisCode,Diagnosis Code,"If we get more than 3 digits, should add a dot (.)after 3rd Character",,
2300.HI09.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/diagnosisList/otherDiagnosisList/poaIndicator,POA Indicator,,,
2300.HI10.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,ABF International Classification of Diseases Clinical Modification (ICD-10-CM) Diagnosis,,,,,,
2300.HI10.02,Industry Code,Diagnosis Code,R,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/diagnosisList/otherDiagnosisList/diagnosisCode,Diagnosis Code,"If we get more than 3 digits, should add a dot (.)after 3rd Character",,
2300.HI10.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/diagnosisList/otherDiagnosisList/poaIndicator,POA Indicator,,,
2300.HI11.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,ABF International Classification of Diseases Clinical Modification (ICD-10-CM) Diagnosis,,,,,,
2300.HI11.02,Industry Code,Diagnosis Code,R,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/diagnosisList/otherDiagnosisList/diagnosisCode,Diagnosis Code,"If we get more than 3 digits, should add a dot (.)after 3rd Character",,
2300.HI11.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/diagnosisList/otherDiagnosisList/poaIndicator,POA Indicator,,,
2300.HI12.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,ABF International Classification of Diseases Clinical Modification (ICD-10-CM) Diagnosis,,,,,,
2300.HI12.02,Industry Code,Diagnosis Code,R,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/diagnosisList/otherDiagnosisList/diagnosisCode,Diagnosis Code,"If we get more than 3 digits, should add a dot (.)after 3rd Character",,
2300.HI12.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/diagnosisList/otherDiagnosisList/poaIndicator,POA Indicator,,,
Segment - HI Principal Procedure Information (Situational),,,,,,,,,,
2300.HI01.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"BBR International Classification of Diseases Clinical
Modification (ICD-10-PCS) Principal Procedure
Codes",,,,,,
2300.HI01.02,Industry Code,,R,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/primaryProcedure/principleProcedureCode,Principal Procedure Code (Identification code for principal procedure performed),,,
2300.HI01.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 Date Expressed in Format CCYYMMDD,,,,,,
2300.HI01.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/primaryProcedure/procedureDate,Procedure Date,In the format YYYY-MM-DD,,
Segment - HI Other Procedure Information (Situational),,,,,,,,,,
2300.HI01.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"BBQ International Classification of Diseases Clinical
Modification (ICD-10-PCS) Other Procedure Codes",,,,,,
2300.HI01.02,Industry Code,,R,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/otherProcedureList/procedureCode,Procedure Code,,,
2300.HI01.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 Date Expressed in Format CCYYMMDD,,,,,,
2300.HI01.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/otherProcedureList/procedureDate,Procedure Date,In the format YYYY-MM-DD,,
2300.HI02.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"BBQ International Classification of Diseases Clinical
Modification (ICD-10-PCS) Other Procedure Codes",,,,,,
2300.HI02.02,Industry Code,,R,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/otherProcedureList/procedureCode,Procedure Code,,,
2300.HI02.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 Date Expressed in Format CCYYMMDD,,,,,,
2300.HI02.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/otherProcedureList/procedureDate,Procedure Date,In the format YYYY-MM-DD,,
2300.HI03.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"BBQ International Classification of Diseases Clinical
Modification (ICD-10-PCS) Other Procedure Codes",,,,,,
2300.HI03.02,Industry Code,,R,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/otherProcedureList/procedureCode,Procedure Code,,,
2300.HI03.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 Date Expressed in Format CCYYMMDD,,,,,,
2300.HI03.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/otherProcedureList/procedureDate,Procedure Date,In the format YYYY-MM-DD,,
2300.HI04.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"BBQ International Classification of Diseases Clinical
Modification (ICD-10-PCS) Other Procedure Codes",,,,,,
2300.HI04.02,Industry Code,,R,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/otherProcedureList/procedureCode,Procedure Code,,,
2300.HI04.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 Date Expressed in Format CCYYMMDD,,,,,,
2300.HI04.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/otherProcedureList/procedureDate,Procedure Date,In the format YYYY-MM-DD,,
2300.HI05.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"BBQ International Classification of Diseases Clinical
Modification (ICD-10-PCS) Other Procedure Codes",,,,,,
2300.HI05.02,Industry Code,,R,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/otherProcedureList/procedureCode,Procedure Code,,,
2300.HI05.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 Date Expressed in Format CCYYMMDD,,,,,,
2300.HI05.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/otherProcedureList/procedureDate,Procedure Date,In the format YYYY-MM-DD,,
2300.HI06.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"BBQ International Classification of Diseases Clinical
Modification (ICD-10-PCS) Other Procedure Codes",,,,,,
2300.HI06.02,Industry Code,,R,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/otherProcedureList/procedureCode,Procedure Code,,,
2300.HI06.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 Date Expressed in Format CCYYMMDD,,,,,,
2300.HI06.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/otherProcedureList/procedureDate,Procedure Date,In the format YYYY-MM-DD,,
2300.HI07.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"BBQ International Classification of Diseases Clinical
Modification (ICD-10-PCS) Other Procedure Codes",,,,,,
2300.HI07.02,Industry Code,,R,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/otherProcedureList/procedureCode,Procedure Code,,,
2300.HI07.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 Date Expressed in Format CCYYMMDD,,,,,,
2300.HI07.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/otherProcedureList/procedureDate,Procedure Date,In the format YYYY-MM-DD,,
2300.HI08.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"BBQ International Classification of Diseases Clinical
Modification (ICD-10-PCS) Other Procedure Codes",,,,,,
2300.HI08.02,Industry Code,,R,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/otherProcedureList/procedureCode,Procedure Code,,,
2300.HI08.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 Date Expressed in Format CCYYMMDD,,,,,,
2300.HI08.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/otherProcedureList/procedureDate,Procedure Date,In the format YYYY-MM-DD,,
2300.HI09.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"BBQ International Classification of Diseases Clinical
Modification (ICD-10-PCS) Other Procedure Codes",,,,,,
2300.HI09.02,Industry Code,,R,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/otherProcedureList/procedureCode,Procedure Code,,,
2300.HI09.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 Date Expressed in Format CCYYMMDD,,,,,,
2300.HI09.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/otherProcedureList/procedureDate,Procedure Date,In the format YYYY-MM-DD,,
2300.HI10.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"BBQ International Classification of Diseases Clinical
Modification (ICD-10-PCS) Other Procedure Codes",,,,,,
