EDILoopID. Segment,EDI Data Element Name,EDI Element Description,Usage,Enumeration Values,Sample values,Encounter Mapping,HRP Element Description,Transformation Logic,Comments
1000A.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code",R,46 : Electronic Transmitter Identification Number (ETIN,,,,,
1000A.NM109,Identification Code,Code identifying a party or other code,R,100X,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/submitterId,<Submitter ID>,,
PER,Segment PER - Submitter EDI Contact Information,,R,,,,,,
1000A.PER01,Contact Function Code,Code identifying the major duty or responsibility of the person or group named,R,IC -  Information Contact,,,,,
1000A.PER02,Name,Submitter Contact Name,S,<<Submitter Name>>,,,,,
1000A.PER03,Communication Number Qualifier,Code identifying the type of communication number,R,"""EM"" : Electronic Mail
""FX"" : Facsimile
""TE"" : Telephone",,,,,
1000A.PER04,Communication Number,Complete communications number including country or area code when applicable,R,,,,,,
1000A.PER05,Communication Number Qualifier,Code identifying the type of communication number,S,"""EM"" : Electronic Mail
""FX"" : Facsimile
""TE"" : Telephone",,,,,
1000A.PER06,Communication Number,Complete communications number including country or area code when applicable,S,,,,,,
1000A.PER07,Communication Number Qualifier,Code identifying the type of communication number,S,"""EM"" : Electronic Mail
""FX"" : Facsimile
""TE"" : Telephone",,,,,
1000A.PER08,Communication Number,Complete communications number including country or area code when applicable,S,,,,,,
Loop 1000B — RECEIVER NAME (Required) Loop Repeat: 1,,,,,,,,,
NM1,Segment NM1 - Receiver Name  (Required),,R,,,,,,
1000B.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,40 : Receiver,,,,,
1000B.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,2 : Non-Person Entity,,,,,
1000B.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,,,,
1000B.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code",R,46 :  Electronic Transmitter Identification Number (ETIN,,,,,
1000B.NM109,Identification Code,Code identifying a party,R,,,,,,
Loop 2000A — BILLING PROVIDER HIERARCHICAL LEVEL (Required)  Loop Repeat: >1,,,,,,,,,
HL,Segment HL - Billing Provider Hierarchical Level  (Required),,R,,,,,,
2000A.HL01,Hierarchical ID Number,"A unique number assigned by the sender to identify a particular data segment in
a hierarchical structure",R,"The first HL01 within each ST-SE envelope must begin with “1”,
and be incremented by one each time an HL is used in the
transaction",,,,,
2000A.HL02,Hierarchical Parent ID Number,,R,,,,,,
2000A.HL03,Hierarchical Level Code,Code defining the characteristic of a level in a hierarchical structure,R,20 : Information Source,,,,,
2000A.HL04,Hierarchical Child Code,ndccode,R,"1 : Additional Subordinate HL Data Segment in This
Hierarchical Structure.",,,,,
PRV,Segment PRV - Billing Provider Specialty Information  (Situational),,S,,,,,,
2000A.PRV01,Provider Code,Code identifying the type of provider,R,BI : Billing,,,,,
2000A.PRV02,Reference Identification Qualifier,Code qualifying the Reference Identification,R,PXC :  Health Care Provider Taxonomy Code,,,,,Needs review with configuration team
2000A.PRV03,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,,
CUR,Segment CUR - Foreign Currency Information (Situational),,S,,,,,,
2000A.CUR01,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,,,,,,
2000A.CUR02,Currency Code,Code (Standard ISO) for country in whose currency the charges are specified,R,,,,,,
Loop 2010AA - BILLING PROVIDER NAME (Required) Loop Repeat: 1,,,,,,,,,
NM1,Segment NM1 - Billing Provider Name (Required),,R,,,,,,
2010AA.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,85 :  Billing Provider,,,,,
2010AA.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,"1 : Person
2 : Non-Person Entity",,,,,
2010AA.NM103,Name Last or Organization Name,Individual last name or organizational name,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/supplierInformationList/supplierInformation/supplierBillingName,"If NM102 is Person, this should be
the Billing Provider Last Name.
If NM102 is Non-Person, this
should be the Organization Name",,
,,,,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/supplierName/lastName,,,
,,,,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/serviceLineItems/serviceLineItem/renderingProviderLastName,,if 2310B loop and 2420A loop  does not exist and 2010AA.NM102='1',
2010AA.NM104,Name First,Individual first name,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/supplierName/firstName,,Required when NM102 = 1,
,,,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/serviceLineItems/serviceLineItem/renderingProviderFirstName,,if 2310B loop and 2420A loop  does not exist and 2010AA.NM102='1',
2010AA.NM105,Name Middle,Individual middle name or initial,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/supplierName/middleName,,Required when NM102 = 1,
2010AA.NM105,,,,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/serviceLineItems/serviceLineItem/renderingProviderMiddleName,,if 2310B loop and 2420A loop  does not exist and 2010AA.NM102='1',
2010AA.NM107,Name Suffix,Suffix to individual name,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/supplierName/nameSuffix,,Required when NM102 = 1,
2010AA.NM107,,,,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/serviceLineItems/serviceLineItem/renderingProviderSuffix,,if 2310B loop and 2420A loop  does not exist and 2010AA.NM102='1',
2010AA.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code (67)",S,"XX :  Centers for Medicare and Medicaid Services
National Provider Identifier",,,,,
2010AA.NM109,Identification Code,Code identifying a party or other code / Billing Provider Identifier,S,,1477569838,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/supplierInformationList/supplierInformation/npi,,,
2010AA.NM109,,,,,1477569838,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/serviceLineItems/serviceLineItem/renderingProviderNPI,,if 2310B loop and 2420A loop  does not exist and 2010AA.NM102='1',
N3,Segment N3 - Billing Provider Address (Required),,R,,,,,,
2010AA.N301,Address Information,Address information,R,,777 BANNOCK ST,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/supplierInformationList/supplierInformation/streetAddress,The first line of the street address.,,
2010AA.N302,Address Information,Address information,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/supplierInformationList/supplierInformation/streetAddress,,"Concatenate the value (if present) to this XML field, separated by comma and space (, )",
N4,"Segment N4 - Billing Provider City, State, ZIP Code (Required)",,R,,,,,,
2010AA.N401,City Name,Free-form text for city name,R,,DENVER,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/supplierInformationList/supplierInformation/cityName,City,,
2010AA.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,CO,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/supplierInformationList/supplierInformation/stateCode,State abbreviation,,
2010AA.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,802044507,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/supplierInformationList/supplierInformation/postalCode,zip code,,
2010AA.N404,Country Code,Code identifying the country,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/supplierInformationList/supplierInformation/countryCode,Concrete type for Country code,"Map to the value ""US"" if not present",
2010AA.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,,
REF,Segment REF - Billing Provider Tax Identification (Required),,R,,,,,,
2010AA.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"EI : Employer’s Identification Number
SY : Social Security Number",,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/supplierInformationList/supplierInformation/taxIdCode,"Supplier tax identification code (SSN, EID, etc.)",,
,,,,"EI : Employer’s Identification Number
SY : Social Security Number",,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/serviceLineItems/serviceLineItem/renderingProviderIdQualifier,,if 2310B loop and 2420A loop  does not exist and 2010AA.NM102='1',
2010AA.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/supplierInformationList/supplierInformation/taxIdentificationNumber,Billing Provider Tax Identification Number,If /837/2000A/2010AA/REF01 (Reference Identification Qualifier) is ‘EI’ then it will be mapped into ‘XX-XXXXXXX’ format to taxIdentificationNumber,
,Reference Identification,,,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/supplierInformationList/supplierInformation/taxIdentificationNumber,Billing Provider Tax Identification Number,If /837/2000A/2010AA/REF01 (Reference Identification Qualifier) is ‘SY’ then it will be mapped into ‘XXX-XX-XXXX’ format to taxIdentificationNumber,
,,,,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/supplierInformationList/supplierInformation/otherId,"Supplier tax identification code (SSN, EID, etc.).",When REF01=SY,
,,,,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/serviceLineItems/serviceLineItem/otherRenderingProviderId,,if 2310B loop and 2420A loop  does not exist and 2010AA.NM102='1',Added mapping to copy the Billing provider details to line level rendering provider fields when claim level and service line level rendering provider details are not present and if the billing provider is a person
REF,Segment REF - Billing Provider UPIN/License Information (Situational),,S,,,,,,
2010AA.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"1G  : Provider UPIN Number
0B :  State License Number",,,,,
2010AA.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/supplierInformationList/supplierInformation/supplierPINNumber,Supplier PIN number.,When REF01=1G,
,,,,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/supplierInformationList/supplierInformation/otherId,Supplier's other ID,"When REF01=0B or 1G And
if its not already mapped from 2010AA.REF02",
PER,Segment - PER Billing Provider Contact Information (Situational),,S,,,,,,
2010AA.PER01,Contact Function Code,Code identifying the major duty or responsibility of the person or group name,R,IC -  Information Contact,,,,,
2010AA.PER02,Name,Billing Provider Contact Name,S,,,,,,
2010AA.PER03,Communication Number Qualifier,Code identifying the type of communication number,R,"""EM"" : Electronic Mail
""FX"" : Facsimile
""TE"" : Telephone",,,,,
2010AA.PER04,Communication Number,,R,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/supplierInformationList/supplierInformation/phoneCountryCode,Phone Country Code,"If PER03/05/07 is TE, Map the Phone number in PER04/06/08
/phoneCountryCode  :
First byte of Phone number if it is 11 byte
/phoneAreaCode:
2,3,4 bytes  of Phone number if it is 11 bytes
First 3 bytes of Phone number if it  is 10 bytes
/phoneNumber :
last 7 bytes of Phone number",
,,,,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/supplierInformationList/supplierInformation/phoneAreaCode,phoneAreaCode,,
,,,,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/supplierInformationList/supplierInformation/phoneNumber,PhoneNumberType,,
2010AA.PER05,Communication Number Qualifier,Code identifying the type of communication numbe,S,"""EM"" : Electronic Mail
""FX"" : Facsimile
""TE"" : Telephone
""EX"" : Telephone Extension",,,,,
2010AA.PER06,Communication Number,Communication Number,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/supplierInformationList/supplierInformation/phoneExtensionNumber,,"If PER03/05 is TE and the very next qualifier (PER05/07) following is 'EX', map the Extension in PER06/08",PER✽IC✽JOHN SMITH✽TE✽5555551234✽EX✽123~
2010AA.PER07,Communication Number Qualifier,Code identifying the type of communication number,S,"""EM"" : Electronic Mail
""FX"" : Facsimile
""TE"" : Telephone
""EX"" : Telephone Extension",,,,,
2010AA.PER08,Communication Number,,S,,,,,,
Loop 2010AB - PAY-TO ADDRESS NAME (Situational)  Loop Repeat: 1,,,,,,,,,
NM1,Segment - NM1 Pay-to Address Name (Situational),,S,,,,,,
2010AB.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,87: Pay-to Provider,,,,,
2010AB.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,"1 : Person
2:  Non-Person Entity",,,,,
N3,Segment - N3 Pay-to Address - ADDRESS (Required),,R,,,,,,
2010AB.N301,Address Information,Address Information,R,,PO BOX 677931,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/payToAddress/streetAddress,The first line of the street address.,,
2010AB.N302,Address Information,Address Information,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/payToAddress/streetAddress,,"Concatenate the value (if present) to this XML field, separated by comma and space (, )",
N4,"Segment - N4 Pay-To Address City, State, ZIP Code (Required)",,R,,,,,,
2010AB.N401,City Name,Free-form text for city name,R,,DALLAS,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/payToAddress/cityName,city,,
2010AB.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,TX,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/payToAddress/stateCode,State abbreviation,,
2010AB.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,752677931,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/payToAddress/postalCode,zip code,,
2010AB.N404,Country Code,Code identifying the country,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/payToAddress/countryCode,Country code,"Map to the value ""US"" if not present",
2010AB.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,,
Loop 2010AC - — PAY-TO PLAN NAME  (Situational)   Loop Repeat: 1,,,,,,,,,
NM1,Segment - NM1 Pay-To Plan Name (Situational),,S,,,,,,
2010AC.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,PE : Payee,,,,,
2010AC.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,2 : Non-Person Entity,,,,,
2010AC.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,,,,
2010AC.NM108,Identification Code Qualifier,Code designating the system/method of code structure used for Identification Code (67),R,,,,,,
2010AC.NM109,Identification Code,Code identifying a party or other code,R,,,,,,
N3,Segment - N3 Pay-to Plan Address (Required),,R,,,,,,
2010AC.N301,Address Information,Address Information,R,,,,,,
2010AC.N302,Address Information,Address Information,S,,,,,,
N4,"Segment - N4 Pay-To Plan City, State, ZIP Code (Required)",,R,,,,,,
2010AC.N401,City Name,Free-form text for city name,R,,,,,,
2010AC.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,,,,,
2010AC.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,,,,,
2010AC.N404,Country Code,Code identifying the country,S,,,,,,
2010AC.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,,
REF,Segment - REF Pay-to Plan Secondary Identification (Required),,R,,,,,,
2010AC.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,,,,,,
2010AC.REF02,Reference Identification,"Reference information as specified
by the Reference Identification Qualifier",R,,,,,,
REF,Segment - REF Pay-To Plan Tax Identification Number (Required),,R,,,,,,
2010AC.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,EI : Employer’s Identification Number,,,,,
2010AC.REF02,Reference Identification,"Reference information as specified
by the Reference Identification Qualifier",R,,,,,,
Loop 2000B — SUBSCRIBER HIERARCHICAL LEVEL  (Required)  Loop Repeat: >1,,,,,,,,,
HL,Segment - HL Subscriber Hierarchical Level (Required),,R,,,,,,
2000B.HL01,Hierarchical ID Number,"A unique number assigned by the sender to identify a particular data segment in
a hierarchical structure",R,"2000A.HL01 + 1

Incremented at each new HL segment.",,,,,
2000B.HL02,Hierarchical Parent ID Number,"Identification number of the next higher hierarchical data segment that the data
segment being described is subordinate to",R,2000A.HL01,,,,,
2000B.HL03,Hierarchical Level Code,Code defining the characteristic of a level in a hierarchical structure,R,22 - Subscriber,,,,,
2000B.HL04,Hierarchical Child Code,"Code indicating if there are hierarchical child data segments subordinate to the
level being described.",R,"0 :  HL04 has no subordinate levels  (the subscriber is the patient and there are no dependent claims)
1: HL04 has subordinate levels",,,,,
SBR,Segment - SBR Subscriber Information (Required),,R,,,,,,
2000B.SBR01,Payer Responsibility Sequence Number Code,"Code identifying the insurance carrier’s level of responsibility for a payment of a
claim",R,"P : Primary
S : Secondary
T  : Tertiary",,,,,
2000B.SBR02,Individual Relationship Code,Code indicating the relationship between two individuals or entities,S,18 : Self,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/memberInformation/relationshipToSubscriberCode,Code indicating the member's relationship to the subscriber.,,If 2000C.PAT  does not exist.
2000B.SBR03,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/subscriberInformation/groupNumber,Subscriber's group number,,
2000B.SBR04,Name,,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/subscriberInformation/planName,Name of subscriber's plan,,
2000B.SBR05,Insurance Type Code,Code identifying the type of insurance policy within a specific insurance program,S,"12 :  Medicare Secondary Working Aged Beneficiary or
Spouse with Employer Group Health Plan
13 : Medicare Secondary End-Stage Renal Disease
Beneficiary in the Mandated Coordination Period
with an Employer’s Group Health Plan
14 : Medicare Secondary, No-fault Insurance including
Auto is Primary
15 : Medicare Secondary Worker’s Compensation
16 : Medicare Secondary Public Health Service (PHS)or
Other Federal Agency
41 : Medicare Secondary Black Lung
42 : Medicare Secondary Veteran’s Administration
43 : Medicare Secondary Disabled Beneficiary Under
Age 65 with Large Group Health Plan (LGHP)
47 : Medicare Secondary, Other Liability Insurance",,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/insuranceTypeCode,"The type of health insurance coverage appliable to this claim (for example, Medicare, Group Health Plan, etc.)",,
