No,Field,Data Type,Length,Data Source,Usage,Sample Format
41,MemberPermanentZipCode,VARCHAR,9,PCP/Enroll History,S,"02138 (5 Digit)
021389999 (9 Digit)"
42,MemberMailingAddress_1,VARCHAR,55,PCP/Enroll History,S,
43,MemberMailingAddress_2,VARCHAR,55,PCP/Enroll History,S,
44,MemberMailingAddress_3,VARCHAR,55,PCP/Enroll History,S,
45,MemberMailingCity,VARCHAR,30,PCP/Enroll History,S,
46,MemberMailingState,VARCHAR,2,PCP/Enroll History,S,
47,MemberMailingZipCode,VARCHAR,9,PCP/Enroll History,S,
48,MemberBillingAddress_1,VARCHAR,55,PCP/Enroll History,S,
49,MemberBillingAddress_2,VARCHAR,55,PCP/Enroll History,S,
50,MemberBillingAddress_3,VARCHAR,55,PCP/Enroll History,S,
51,MemberBillingCity,VARCHAR,30,PCP/Enroll History,S,
52,MemberBillingState,VARCHAR,2,PCP/Enroll History,S,
53,MemberBillingZipCode,VARCHAR,9,PCP/Enroll History,S,
54,MemberHomePhoneNumber,VARCHAR,10,Member Details,S,5552227654
55,AlternateMemberPhoneNumber,VARCHAR,10,Member Details,S,5552345612
56,MemberEmailAddress,VARCHAR,60,Member Details,S,jsmith@add ress.com
57,FirstNameofEmergencyContact,VARCHAR,100,Member Details,S,Jane
58,LastNameofEmergencyContact,VARCHAR,100,Member Details,S,Good
59,EmergencyContactRelationshiptoMember,VARCHAR,50,Member Details,S,Daughter
60,EmergencyContactPhoneNumber,VARCHAR,10,Member Details,S,5551347629
61,EndangeredMemberFlag,VARCHAR,1,Member Details,S,Y
62,MedicaidID,VARCHAR,14,Member Details,S,612452885
63,MedicarePartAEffDate,VARCHAR,10,IEQ,S,20000101
64,MedicarePartAEndDate,VARCHAR,10,IEQ,S,
65,MedicarePartBEffDate,VARCHAR,10,IEQ,S,20020301
66,MedicarePartBEndDate,VARCHAR,10,IEQ,S,
67,MedicarePartDEffDate,VARCHAR,10,IEQ,S,20020401
68,MedicarePartDEndDate,VARCHAR,10,IEQ,S,20120430
69,LanguageCode,VARCHAR,3,Member Details,S,SPA
70,AlternativeFormatLargePrint,VARCHAR,1,Member Details,S,Y
71,AlternativeFormatBraille,VARCHAR,1,Member Details,S,Y
72,AlternativeFormatAudioTape,VARCHAR,1,Member Details,S,Y
73,FaxNumber,VARCHAR,10,Member Details,S,8885552222
74,AuthorizedRepFirstName,VARCHAR,105,Member Details,S,Nancy
75,AuthorizedRepLastName,VARCHAR,105,Member Details,S,James
76,AuthorizedRepAddress_1,VARCHAR,55,Member Details,S,123 Main
77,AuthorizedRepAddress_2,VARCHAR,55,Member Details,S,Apt 2
78,AuthorizedRepAddress_3,VARCHAR,55,Member Details,S,
79,AuthorizedRepCity,VARCHAR,30,Member Details,S,Las Vegas
80,AuthorizedRepCounty,VARCHAR,30,Member Details,S,Henderson
81,AuthorizedRepState,VARCHAR,2,Member Details,S,NV
82,AuthorizedRepZipCode,VARCHAR,9,Member Details,S,
83,AuthorizedRepPhoneNumber,VARCHAR,10,Member Details,S,5554445678
84,AuthorizedRepRelationship,VARCHAR,30,Member Details,S,Son
85,Race_1,VARCHAR,10,Member Details,S,1001
86,Race_2,VARCHAR,10,Member Details,S,1002
87,Race_3,VARCHAR,10,Member Details,S,1003
88,Race_4,VARCHAR,10,Member Details,S,1004
89,Race_5,VARCHAR,10,Member Details,S,1005
90,Ethnicity_1,VARCHAR,10,Member Details,S,CUB
91,Ethnicity_2,VARCHAR,10,Member Details,S,CUB
92,Ethnicity_3,VARCHAR,10,Member Details,S,CUB
93,Ethnicity_4,VARCHAR,10,Member Details,S,CUB
94,Ethnicity_5,VARCHAR,10,Member Details,S,CUB
95,ProviderNumber_1,VARCHAR,25,PCP/Enroll History,S,IM29867
96,PCP_Startdate1,VARCHAR,10,PCP/Enroll History,S,
97,PCP_Enddate1,VARCHAR,10,PCP/Enroll History,S,
98,ProviderNumber_2,VARCHAR,25,PCP/Enroll History,S,IM29868
99,PCP_Startdate2,VARCHAR,10,PCP/Enroll History,S,
100,PCP_Enddate2,VARCHAR,10,PCP/Enroll History,S,
101,ProviderNumber_3,VARCHAR,25,PCP/Enroll History,S,IM29869
102,PCP_Startdate3,VARCHAR,10,PCP/Enroll History,S,
103,PCP_Enddate3,VARCHAR,10,PCP/Enroll History,S,
104,ProviderNumber_4,VARCHAR,25,PCP/Enroll History,S,IM29870
105,PCP_Startdate4,VARCHAR,10,PCP/Enroll History,S,
106,PCP_Enddate4,VARCHAR,10,PCP/Enroll History,S,
107,ProviderNumber_5,VARCHAR,25,PCP/Enroll History,S,IM29871
108,PCP_Startdate5,VARCHAR,10,PCP/Enroll History,S,
109,PCP_Enddate5,VARCHAR,10,PCP/Enroll History,S,
110,ProviderNumber_6,VARCHAR,25,PCP/Enroll History,S,IM29872
111,PCP_Startdate6,VARCHAR,10,PCP/Enroll History,S,
112,PCP_Enddate6,VARCHAR,10,PCP/Enroll History,S,
113,ProviderNumber_7,VARCHAR,25,PCP/Enroll History,S,IM29873
114,PCP_Startdate7,VARCHAR,10,PCP/Enroll History,S,
115,PCP_Enddate7,VARCHAR,10,PCP/Enroll History,S,
116,ProviderNumber_8,VARCHAR,25,PCP/Enroll History,S,IM29874
117,PCP_Startdate8,VARCHAR,10,PCP/Enroll History,S,
118,PCP_Enddate8,VARCHAR,10,PCP/Enroll History,S,
119,ProviderNumber_9,VARCHAR,25,PCP/Enroll History,S,IM29875
120,PCP_Startdate9,VARCHAR,10,PCP/Enroll History,S,
121,PCP_Enddate9,VARCHAR,10,PCP/Enroll History,S,
122,ProviderNumber_10,VARCHAR,25,PCP/Enroll History,S,IM29876
123,PCP_Startdate10,VARCHAR,10,PCP/Enroll History,S,
124,PCP_Enddate10,VARCHAR,10,PCP/Enroll History,S,
125,LEPNumberofUncoveredMonths_1,VARCHAR,3,PCP/Enroll History,S,18
126,PartDLEPAmount_1,VARCHAR,6,PCP/Enroll History,S,4.40
127,PartDLEPWaivedAmount_1,VARCHAR,6,PCP/Enroll History,S,1.00
128,PartDLEPSubsidyAmount_1,VARCHAR,6,PCP/Enroll History,S,1.00
129,PartDLEPStartdate1,VARCHAR,10,PCP/Enroll History,S,
130,PartDLEPEnddate1,VARCHAR,10,PCP/Enroll History,S,
131,LEPNumberofUncoveredMonths_2,VARCHAR,3,PCP/Enroll History,S,18
132,PartDLEPAmount_2,VARCHAR,6,PCP/Enroll History,S,4.40
133,PartDLEPWaivedAmount_2,VARCHAR,6,PCP/Enroll History,S,1.00
134,PartDLEPSubsidyAmount_2,VARCHAR,6,PCP/Enroll History,S,1.00
135,PartDLEPStartdate2,VARCHAR,10,PCP/Enroll History,S,
136,PartDLEPEnddate2,VARCHAR,10,PCP/Enroll History,S,
137,LEPNumberofUncoveredMonths_3,VARCHAR,3,PCP/Enroll History,S,18
138,PartDLEPAmount_3,VARCHAR,6,PCP/Enroll History,S,4.40
139,PartDLEPWaivedAmount_3,VARCHAR,6,PCP/Enroll History,S,1.00
140,PartDLEPSubsidyAmount_3,VARCHAR,6,PCP/Enroll History,S,1.00
141,PartDLEPStartdate3,VARCHAR,10,PCP/Enroll History,S,
142,PartDLEPEnddate3,VARCHAR,10,PCP/Enroll History,S,
143,LEPNumberofUncoveredMonths_4,VARCHAR,3,PCP/Enroll History,S,18
144,PartDLEPAmount_4,VARCHAR,6,PCP/Enroll History,S,4.40
145,PartDLEPWaivedAmount_4,VARCHAR,6,PCP/Enroll History,S,1.00
146,PartDLEPSubsidyAmount_4,VARCHAR,6,PCP/Enroll History,S,1.00
147,PartDLEPStartdate4,VARCHAR,10,PCP/Enroll History,S,
148,PartDLEPEnddate4,VARCHAR,10,PCP/Enroll History,S,
149,LEPNumberofUncoveredMonths_5,VARCHAR,3,PCP/Enroll History,S,18
150,PartDLEPAmount_5,VARCHAR,6,PCP/Enroll History,S,4.40
151,PartDLEPWaivedAmount_5,VARCHAR,6,PCP/Enroll History,S,1.00
152,PartDLEPSubsidyAmount_5,VARCHAR,6,PCP/Enroll History,S,1.00
153,PartDLEPStartdate5,VARCHAR,10,PCP/Enroll History,S,
154,PartDLEPEnddate5,VARCHAR,10,PCP/Enroll History,S,
155,LEPNumberofUncoveredMonths_6,VARCHAR,3,PCP/Enroll History,S,18
156,PartDLEPAmount_6,VARCHAR,6,PCP/Enroll History,S,4.40
157,PartDLEPWaivedAmount_6,VARCHAR,6,PCP/Enroll History,S,1.00
158,PartDLEPSubsidyAmount_6,VARCHAR,6,PCP/Enroll History,S,1.00
159,PartDLEPStartdate6,VARCHAR,10,PCP/Enroll History,S,
160,PartDLEPEnddate6,VARCHAR,10,PCP/Enroll History,S,
161,LEPNumberofUncoveredMonths_7,VARCHAR,3,PCP/Enroll History,S,18
162,PartDLEPAmount_7,VARCHAR,6,PCP/Enroll History,S,4.40
163,PartDLEPWaivedAmount_7,VARCHAR,6,PCP/Enroll History,S,1.00
164,PartDLEPSubsidyAmount_7,VARCHAR,6,PCP/Enroll History,S,1.00
165,PartDLEPStartdate7,VARCHAR,10,PCP/Enroll History,S,
166,PartDLEPEnddate7,VARCHAR,10,PCP/Enroll History,S,
167,LEPNumberofUncoveredMonths_8,VARCHAR,3,PCP/Enroll History,S,18
168,PartDLEPAmount_8,VARCHAR,6,PCP/Enroll History,S,4.40
169,PartDLEPWaivedAmount_8,VARCHAR,6,PCP/Enroll History,S,1.00
170,PartDLEPSubsidyAmount_8,VARCHAR,6,PCP/Enroll History,S,1.00
171,PartDLEPStartdate8,VARCHAR,10,PCP/Enroll History,S,
172,PartDLEPEnddate8,VARCHAR,10,PCP/Enroll History,S,
173,LEPNumberofUncoveredMonths_9,VARCHAR,3,PCP/Enroll History,S,18
174,PartDLEPAmount_9,VARCHAR,6,PCP/Enroll History,S,4.40
175,PartDLEPWaivedAmount_9,VARCHAR,6,PCP/Enroll History,S,1.00
176,PartDLEPSubsidyAmount_9,VARCHAR,6,PCP/Enroll History,S,1.00
177,PartDLEPStartdate9,VARCHAR,10,PCP/Enroll History,S,
178,PartDLEPEnddate9,VARCHAR,10,PCP/Enroll History,S,
179,LEPNumberofUncoveredMonths_10,VARCHAR,3,PCP/Enroll History,S,18
180,PartDLEPAmount_10,VARCHAR,6,PCP/Enroll History,S,4.40
181,PartDLEPWaivedAmount_10,VARCHAR,6,PCP/Enroll History,S,1.00
182,PartDLEPSubsidyAmount_10,VARCHAR,6,PCP/Enroll History,S,1.00
183,PartDLEPStartdate10,VARCHAR,10,PCP/Enroll History,S,
184,PartDLEPEnddate10,VARCHAR,10,PCP/Enroll History,S,
185,CurrentLISPremiumSubsidy_1,VARCHAR,6,PCP/Enroll History,S,34.20
186,PartDLISSubsidyLevel_1,VARCHAR,3,PCP/Enroll History,S,50
187,PartDLISCopayCategory_1,VARCHAR,1,PCP/Enroll History,S,4
188,PartDLISPStartdate1,VARCHAR,10,PCP/Enroll History,S,
189,PartDLISEnddate1,VARCHAR,10,PCP/Enroll History,S,
190,CurrentLISPremiumSubsidy_2,VARCHAR,6,PCP/Enroll History,S,34.20
191,PartDLISSubsidyLevel_2,VARCHAR,3,PCP/Enroll History,S,50
192,PartDLISCopayCategory_2,VARCHAR,1,PCP/Enroll History,S,4
193,PartDLISStartdate2,VARCHAR,10,PCP/Enroll History,S,
194,PartDLISEnddate2,VARCHAR,10,PCP/Enroll History,S,
195,CurrentLISPremiumSubsidy_3,VARCHAR,6,PCP/Enroll History,S,34.20
196,PartDLISSubsidyLevel_3,VARCHAR,3,PCP/Enroll History,S,50
197,PartDLISCopayCategory_3,VARCHAR,1,PCP/Enroll History,S,4
198,PartDLISStartdate3,VARCHAR,10,PCP/Enroll History,S,
199,PartDLISEnddate3,VARCHAR,10,PCP/Enroll History,S,
200,CurrentLISPremiumSubsidy_4,VARCHAR,6,PCP/Enroll History,S,34.20
201,PartDLISSubsidyLevel_4,VARCHAR,3,PCP/Enroll History,S,50
202,PartDLISCopayCategory_4,VARCHAR,1,PCP/Enroll History,S,4
203,PartDLISStartdate4,VARCHAR,10,PCP/Enroll History,S,
204,PartDLISEnddate4,VARCHAR,10,PCP/Enroll History,S,
205,CurrentLISPremiumSubsidy_5,VARCHAR,6,PCP/Enroll History,S,34.20
206,PartDLISSubsidyLevel_5,VARCHAR,3,PCP/Enroll History,S,50
207,PartDLISCopayCategory_5,VARCHAR,1,PCP/Enroll History,S,4
208,PartDLISStartdate5,VARCHAR,10,PCP/Enroll History,S,
209,PartDLISEnddate5,VARCHAR,10,PCP/Enroll History,S,
210,CurrentLISPremiumSubsidy_6,VARCHAR,6,PCP/Enroll History,S,34.20
211,PartDLISSubsidyLevel_6,VARCHAR,3,PCP/Enroll History,S,50
212,PartDLISCopayCategory_6,VARCHAR,1,PCP/Enroll History,S,4
213,PartDLISStartdate6,VARCHAR,10,PCP/Enroll History,S,
214,PartDLISEnddate6,VARCHAR,10,PCP/Enroll History,S,
215,CurrentLISPremiumSubsidy_7,VARCHAR,6,PCP/Enroll History,S,34.20
216,PartDLISSubsidyLevel_7,VARCHAR,3,PCP/Enroll History,S,50
217,PartDLISCopayCategory_7,VARCHAR,1,PCP/Enroll History,S,4
218,PartDLISStartdate7,VARCHAR,10,PCP/Enroll History,S,
219,PartDLISEnddate7,VARCHAR,10,PCP/Enroll History,S,
220,CurrentLISPremiumSubsidy_8,VARCHAR,6,PCP/Enroll History,S,34.20
221,PartDLISSubsidyLevel_8,VARCHAR,3,PCP/Enroll History,S,50
222,PartDLISCopayCategory_8,VARCHAR,1,PCP/Enroll History,S,4
223,PartDLISStartdate8,VARCHAR,10,PCP/Enroll History,S,
224,PartDLISEnddate8,VARCHAR,10,PCP/Enroll History,S,
225,CurrentLISPremiumSubsidy_9,VARCHAR,6,PCP/Enroll History,S,34.20
226,PartDLISSubsidyLevel_9,VARCHAR,3,PCP/Enroll History,S,50
227,PartDLISCopayCategory_9,VARCHAR,1,PCP/Enroll History,S,4
228,PartDLISStartdate9,VARCHAR,10,PCP/Enroll History,S,
229,PartDLISEnddate9,VARCHAR,10,PCP/Enroll History,S,
230,CurrentLISPremiumSubsidy_10,VARCHAR,6,PCP/Enroll History,S,34.20
231,PartDLISSubsidyLevel_10,VARCHAR,3,PCP/Enroll History,S,50
232,PartDLISCopayCategory_10,VARCHAR,1,PCP/Enroll History,S,4
233,PartDLISStartdate10,VARCHAR,10,PCP/Enroll History,S,
234,PartDLISEnddate10,VARCHAR,10,PCP/Enroll History,S,
235,ContractNumber_1,VARCHAR,5,PCP/Enroll History,S,H1234
236,ContractNumber_2,VARCHAR,5,PCP/Enroll History,S,H1234
237,ContractNumber_3,VARCHAR,5,PCP/Enroll History,S,H1234
238,ContractNumber_4,VARCHAR,5,PCP/Enroll History,S,H1234
239,ContractNumber_5,VARCHAR,5,PCP/Enroll History,S,H1234
240,ContractNumber_6,VARCHAR,5,PCP/Enroll History,S,H1234
241,ContractNumber_7,VARCHAR,5,PCP/Enroll History,S,H1234
242,ContractNumber_8,VARCHAR,5,PCP/Enroll History,S,H1234
243,ContractNumber_9,VARCHAR,5,PCP/Enroll History,S,H1234
244,ContractNumber_10,VARCHAR,5,PCP/Enroll History,S,H1234
245,PBPNumber_1,VARCHAR,3,PCP/Enroll History,S,067
246,PBPNumber_2,VARCHAR,3,PCP/Enroll History,S,067
247,PBPNumber_3,VARCHAR,3,PCP/Enroll History,S,067
248,PBPNumber_4,VARCHAR,3,PCP/Enroll History,S,067
249,PBPNumber_5,VARCHAR,3,PCP/Enroll History,S,067
250,PBPNumber_6,VARCHAR,3,PCP/Enroll History,S,067
251,PBPNumber_7,VARCHAR,3,PCP/Enroll History,S,067
252,PBPNumber_8,VARCHAR,3,PCP/Enroll History,S,067
253,PBPNumber_9,VARCHAR,3,PCP/Enroll History,S,067
254,PBPNumber_10,VARCHAR,3,PCP/Enroll History,S,067
255,GroupID_1,VARCHAR,25,Claims Eligibilty,S,56129R
256,GroupID_2,VARCHAR,25,Claims Eligibilty,S,56129R
257,GroupID_3,VARCHAR,25,Claims Eligibilty,S,56129R
258,GroupID_4,VARCHAR,25,Claims Eligibilty,S,56129R
259,GroupID_5,VARCHAR,25,Claims Eligibilty,S,56129R
260,GroupID_6,VARCHAR,25,Claims Eligibilty,S,56129R
261,GroupID_7,VARCHAR,25,Claims Eligibilty,S,56129R
262,GroupID_8,VARCHAR,25,Claims Eligibilty,S,56129R
263,GroupID_9,VARCHAR,25,Claims Eligibilty,S,56129R
264,GroupID_10,VARCHAR,25,Claims Eligibilty,S,56129R
265,DisenrollmentReasoncode_DRC_1,VARCHAR,2,Plan Span,S,
266,DisenrollmentReasoncode_DRC_2,VARCHAR,2,Plan Span,S,
267,DisenrollmentReasoncode_DRC_3,VARCHAR,2,Plan Span,S,
268,DisenrollmentReasoncode_DRC_4,VARCHAR,2,Plan Span,S,
269,DisenrollmentReasoncode_DRC_5,VARCHAR,2,Plan Span,S,
270,DisenrollmentReasoncode_DRC_6,VARCHAR,2,Plan Span,S,
271,DisenrollmentReasoncode_DRC_7,VARCHAR,2,Plan Span,S,
272,DisenrollmentReasoncode_DRC_8,VARCHAR,2,Plan Span,S,
273,DisenrollmentReasoncode_DRC_9,VARCHAR,2,Plan Span,S,
274,DisenrollmentReasoncode_DRC_10,VARCHAR,2,Plan Span,S,
275,SignatureDate_1,VARCHAR,10,Application data,S,20120210
276,SignatureDate_2,VARCHAR,10,Application data,S,20120210
277,SignatureDate_3,VARCHAR,10,Application data,S,20120210
278,SignatureDate_4,VARCHAR,10,Application data,S,20120210
279,SignatureDate_5,VARCHAR,10,Application data,S,20120210
280,SignatureDate_6,VARCHAR,10,Application data,S,20120210
281,SignatureDate_7,VARCHAR,10,Application data,S,20120210
282,SignatureDate_8,VARCHAR,10,Application data,S,20120210
283,SignatureDate_9,VARCHAR,10,Application data,S,20120210
284,SignatureDate_10,VARCHAR,10,Application data,S,20120210
285,ElectionType_1,VARCHAR,300,Application data,S,
286,ElectionType_2,VARCHAR,300,Application data,S,
287,ElectionType_3,VARCHAR,300,Application data,S,
288,ElectionType_4,VARCHAR,300,Application data,S,
289,ElectionType_5,VARCHAR,300,Application data,S,
290,ElectionType_6,VARCHAR,300,Application data,S,
291,ElectionType_7,VARCHAR,300,Application data,S,
292,ElectionType_8,VARCHAR,300,Application data,S,
293,ElectionType_9,VARCHAR,300,Application data,S,
294,ElectionType_10,VARCHAR,300,Application data,S,
295,PWOStartdate_1,VARCHAR,10,,S,
296,PWOEnddate_1,VARCHAR,10,,S,
297,PaymentMethodType_1,VARCHAR,20,,S,SSA
298,PremiumWithholdOption_1,VARCHAR,1,,S,SSA
299,PWOStartdate_2,VARCHAR,10,,S,
300,PWOEnddate_2,VARCHAR,10,,S,
301,PaymentMethodType_2,VARCHAR,20,,S,SSA
302,PremiumWithholdOption_2,VARCHAR,1,,S,SSA
303,PWOStartdate_3,VARCHAR,10,,S,
304,PWOEnddate_3,VARCHAR,10,,S,
305,PaymentMethodType_3,VARCHAR,20,,S,SSA
306,PremiumWithholdOption_3,VARCHAR,1,,S,SSA
307,PWOStartdate_4,VARCHAR,10,,S,
308,PWOEnddate_4,VARCHAR,10,,S,
309,PaymentMethodType_4,VARCHAR,20,,S,SSA
310,PremiumWithholdOption_4,VARCHAR,1,,S,SSA
311,PWOStartdate_5,VARCHAR,10,,S,
312,PWOEnddate_5,VARCHAR,10,,S,
313,PaymentMethodType_5,VARCHAR,20,,S,SSA
314,PremiumWithholdOption_5,VARCHAR,1,,S,SSA
315,PWOStartdate_6,VARCHAR,10,,S,
316,PWOEnddate_6,VARCHAR,10,,S,
317,PaymentMethodType_6,VARCHAR,20,,S,SSA
318,PremiumWithholdOption_6,VARCHAR,1,,S,SSA
319,PWOStartdate_7,VARCHAR,10,,S,
320,PWOEnddate_7,VARCHAR,10,,S,
321,PaymentMethodType_7,VARCHAR,20,,S,SSA
322,PremiumWithholdOption_7,VARCHAR,1,,S,SSA
323,PWOStartdate_8,VARCHAR,10,,S,
324,PWOEnddate_8,VARCHAR,10,,S,
325,PaymentMethodType_8,VARCHAR,20,,S,SSA
326,PremiumWithholdOption_8,VARCHAR,1,,S,SSA
327,PWOStartdate_9,VARCHAR,10,,S,
328,PWOEnddate_9,VARCHAR,10,,S,
329,PaymentMethodType_9,VARCHAR,20,,S,SSA
330,PremiumWithholdOption_9,VARCHAR,1,,S,SSA
331,PWOStartdate_10,VARCHAR,10,,S,
332,PWOEnddate_10,VARCHAR,10,,S,
333,PaymentMethodType_10,VARCHAR,20,,S,SSA
334,PremiumWithholdOption_10,VARCHAR,1,,S,SSA
335,HospiceFlag_1,VARCHAR,1,PCP/Enroll History,S,Y
336,HospiceFlagStartdate_1,VARCHAR,10,PCP/Enroll History,S,
337,HospiceFlagEnddate_1,VARCHAR,10,PCP/Enroll History,S,
338,HospiceFlag_2,VARCHAR,1,PCP/Enroll History,S,Y
339,HospiceFlagStartdate_2,VARCHAR,10,PCP/Enroll History,S,
340,HospiceFlagEnddate_2,VARCHAR,10,PCP/Enroll History,S,
341,HospiceFlag_3,VARCHAR,1,PCP/Enroll History,S,
342,HospiceFlagStartdate_3,VARCHAR,10,PCP/Enroll History,S,
343,HospiceFlagEnddate_3,VARCHAR,10,PCP/Enroll History,S,
344,HospiceFlag_4,VARCHAR,1,PCP/Enroll History,S,
345,HospiceFlagStartdate_4,VARCHAR,10,PCP/Enroll History,S,
346,HospiceFlagEnddate_4,VARCHAR,10,PCP/Enroll History,S,
347,HospiceFlag_5,VARCHAR,1,PCP/Enroll History,S,
348,HospiceFlagStartdate_5,VARCHAR,10,PCP/Enroll History,S,
349,HospiceFlagEnddate_5,VARCHAR,10,PCP/Enroll History,S,
350,HospiceFlag_6,VARCHAR,1,PCP/Enroll History,S,
351,HospiceFlagStartdate_6,VARCHAR,10,PCP/Enroll History,S,
352,HospiceFlagEnddate_6,VARCHAR,10,PCP/Enroll History,S,
353,HospiceFlag_7,VARCHAR,1,PCP/Enroll History,S,
354,HospiceFlagStartdate_7,VARCHAR,10,PCP/Enroll History,S,
355,HospiceFlagEnddate_7,VARCHAR,10,PCP/Enroll History,S,
356,HospiceFlag_8,VARCHAR,1,PCP/Enroll History,S,
357,HospiceFlagStartdate_8,VARCHAR,10,PCP/Enroll History,S,
358,HospiceFlagEnddate_8,VARCHAR,10,PCP/Enroll History,S,
359,HospiceFlag_9,VARCHAR,1,PCP/Enroll History,S,
360,HospiceFlagStartdate_9,VARCHAR,10,PCP/Enroll History,S,
361,HospiceFlagEnddate_9,VARCHAR,10,PCP/Enroll History,S,
362,HospiceFlag_10,VARCHAR,1,PCP/Enroll History,S,
363,HospiceFlagStartdate_10,VARCHAR,10,PCP/Enroll History,S,
364,HospiceFlagEnddate_10,VARCHAR,10,PCP/Enroll History,S,
365,MedicaidFlag_1,VARCHAR,1,PCP/Enroll History,S,Y
366,MedicaidFlagStratDate_1,VARCHAR,10,PCP/Enroll History,S,
367,MedicaidFlagEndDate_1,VARCHAR,10,PCP/Enroll History,S,
368,MedicaidFlag_2,VARCHAR,1,PCP/Enroll History,S,Y
369,MedicaidFlagStratDate_2,VARCHAR,10,PCP/Enroll History,S,
370,MedicaidFlagEndDate_2,VARCHAR,10,PCP/Enroll History,S,
371,MedicaidFlag_3,VARCHAR,1,PCP/Enroll History,S,
372,MedicaidFlagStratDate_3,VARCHAR,10,PCP/Enroll History,S,
373,MedicaidFlagEndDate_3,VARCHAR,10,PCP/Enroll History,S,
374,MedicaidFlag_4,VARCHAR,1,PCP/Enroll History,S,
375,MedicaidFlagStratDate_4,VARCHAR,10,PCP/Enroll History,S,
376,MedicaidFlagEndDate_4,VARCHAR,10,PCP/Enroll History,S,
377,MedicaidFlag_5,VARCHAR,1,PCP/Enroll History,S,
378,MedicaidFlagStratDate_5,VARCHAR,10,PCP/Enroll History,S,
379,MedicaidFlagEndDate_5,VARCHAR,10,PCP/Enroll History,S,
380,MedicaidFlag_6,VARCHAR,1,PCP/Enroll History,S,
381,MedicaidFlagStratDate_6,VARCHAR,10,PCP/Enroll History,S,
382,MedicaidFlagEndDate_6,VARCHAR,10,PCP/Enroll History,S,
383,MedicaidFlag_7,VARCHAR,1,PCP/Enroll History,S,
384,MedicaidFlagStratDate_7,VARCHAR,10,PCP/Enroll History,S,
385,MedicaidFlagEndDate_7,VARCHAR,10,PCP/Enroll History,S,
386,MedicaidFlag_8,VARCHAR,1,PCP/Enroll History,S,
387,MedicaidFlagStratDate_8,VARCHAR,10,PCP/Enroll History,S,
388,MedicaidFlagEndDate_8,VARCHAR,10,PCP/Enroll History,S,
