Advantasure fields,,,,,,,,HRP,,,HE - Enrollment Sparse,,
No,field,Type,,Details,Sample,Description,,,,,CSV Mapping,Mapping Logics,Comments
51,Medicaid ID,DEM,14,Member Details,612452885,Medicaid number of the member in the system,,General:Other ID,,Member - ID details,MedicaidID,,
52,Medicare Part A Eff Date,DEM,8,IEQ,20000101,YYYYMMDD,Value received in response to latest IEQ,Medicare: Part A,Y,Member- Medicare,MedicarePartAEffDate,Date format - YYYY-MM-DD,Map from field '3'
53,Medicare Part A End Date,DEM,8,IEQ,,YYYYMMDD,Value received in response to latest IEQ – usually blank (open),Medicare: Part A,Y,Member- Medicare,MedicarePartAEndDate,Date format - YYYY-MM-DD,
54,Medicare Part B Eff Date,DEM,8,IEQ,20020301,YYYYMMDD,Value received in response to latest IEQ,Medicare: Part B,Y,Member- Medicare,MedicarePartBEffDate,Date format - YYYY-MM-DD,
55,Medicare Part B End Date,DEM,8,IEQ,,YYYYMMDD,Value received in response to latest IEQ usually blank (open),Medicare: Part B,Y,Member- Medicare,MedicarePartBEndDate,Date format - YYYY-MM-DD,
56,Medicare Part D Eff Date,DEM,8,IEQ,20020401,YYYYMMDD,Value received in response to latest IEQ,Medicare: Part D,Y,Member- Medicare,MedicarePartDEffDate,Date format - YYYY-MM-DD,
57,Medicare Part D End Date,DEM,8,IEQ,20120430,YYYYMMDD,Value received in response to latest IEQ – usually blank (open),Medicare: Part D,Y,Member- Medicare,MedicarePartDEndDate,Date format - YYYY-MM-DD,
58,Language Code,DEM,3,Member Details,SPA,Language code selected on Member Details screen,Refer Language Codes in the Advantasure specification document,General:Language,Y,Member-Demographic,LanguageCode,refer crosswalk,
59,Alternative Format Large Print,DEM,1,Member Details,Y,Flag indicating materials requested in large print format; LOV: Y = Yes; N = No,,Couldn’t locate in HRP UI,N,NA,AlternativeFormatLargePrint,,
60,Alternative Format Braille,DEM,1,Member Details,Y,Flag indicating materials requested in Braille format; LOV: Y = Yes; N = No,,Couldn’t locate in HRP UI,N,NA,AlternativeFormatBraille,,
61,Alternative Format Audio Tape,DEM,1,Member Details,Y,Flag indicating materials requested in audio tape format; LOV: Y = Yes; N = No,,Couldn’t locate in HRP UI,N,NA,AlternativeFormatAudioTape,,
62,Fax Number,DEM,10,Member Details,8885552222,Fax number with no hyphens or special characters,Client-specific,Contact:Phone number,Y,Member-Contact,FaxNumber,,
63,"In LEP Process Status
If in LEP process, what are the processes",DEM,1,Member Details,Y,Indicates whether the member is in the LEP queue/creditable coverage determination process; LOV: Y = Yes; N = No,,Couldn’t locate in HRP UI,N,NA,NA,,
64,"Authorized Rep Name
Available in UI,",DEM,105,Member Details,Nancy James,Name of individual listed as Authorized Representative on member record. Formerly POA Name field.,,PHI:POA,Y,Member-PHI,"AuthorizedRepFirstName, AuthorizedRepLastName",The Full name is sent across the file. Based on spaces we need to split First name and Last name.,
65,"Authorized Rep
Address 1",DEM,55,Member Details,123 Main,"Authorized Rep address line 1 from member
record. Formerly POA Address 1 field.",,,Y,,AuthorizedRepAddress_1,,
66,"Authorized Rep
Address 2",DEM,55,Member Details,Apt 2,"Authorized Rep address line 2 from member
record. Formerly POA Address 2 field.",,,Y,,AuthorizedRepAddress_2,,
67,"Authorized Rep
Address 3",DEM,55,Member Details,,Not applicable and not displayed on UI. Formerly POA Address 3 field.,NA,,Not needed,,AuthorizedRepAddress_3,,
68,Authorized Rep City,DEM,30,Member Details,Las Vegas,"Authorized Rep city from member record.
Formerly POA City field.",,,Y,,AuthorizedRepCity,,
69,"Authorized Rep
County",DEM,30,Member Details,Henderson,Authorized Rep county from member record. Formerly POA County field.,,,Y,,AuthorizedRepCounty,,
70,Authorized Rep State,DEM,2,Member Details,NV,"Authorized Rep state from member record.
Formerly POA State field.",,,Y,,AuthorizedRepState,,
71,Authorized Rep Zip Code,DEM,9,Member Details,,Authorized Rep zip code from member record. Formerly POA Zip Code field.,,,Y,,AuthorizedRepZipCode,,
72,"Authorized Rep Phone
Number",DEM,10,Member Details,5554445678,"Authorized Rep phone number from member
record. Formerly POA Phone Number field.",,,Y,,AuthorizedRepPhoneNumber,,
73,"Authorized Rep
Relationship",DEM,30,Member Details,Son,"Authorized Rep relationship from member
record. Formerly POA Relationship field.",,,Y,,AuthorizedRepRelationship,,
74,Race Code,DEM,128,Member Details,999,See ‘CMS OEC Race and Ethnicity Values’ section for LOV,"Multiple values can be within this one field. Values will be comma separated. IE: 999, 499",Not available,Y,Race,Race_1/Race_2/Race_3/Race_4/Race_5,"Multiple values can be send across the Memout file for a member. Values will be comma seperated. Populate depend on the number of occurences

Please refer the cross walk table 'Race Values' for code entry mapping",
75,ikaUniqueID,DEM,11,System,1234,Unique sequential number assigned by internal process,,NA,Not needed,NA,NA,,Seena04/06: Adv team confirmed this id is used for Adv internal processing and this is not fed to upstream/downstream processing
76,Family Link Indicator,DEM,12,Member Details,987654321,ID number used by the client to link family members together in commercial systems,,Couldn’t locate in HRP UI,NA,NA,NA,,
77,In Premium Delinquency Process,DEM,1,Member Details,Y,Flag indicating if member is currently in the Premium Delinquency process,,Couldn’t locate in HRP UI,N,NA,NA,,
78,Ethnicity,DEM,128,Member Details,CUB,See ‘CMS OEC Race and Ethnicity Values’ section for LOV,"Multiple values can be within this one field. Values will be comma separated. IE: CUB, OTH",General : Ethnicity,Y,Member - Demographic,Ethnicity_1/Ethnicity_2/Ethnicity_3/Ethnicity_4/Ethnicity_5,"Multiple values can be send across the Memout file for a member. Values will be comma seperated. Populate depend on the number of occurences

Refer the cross walk table 'Ethnicity Values' for code entry mapping",
79,Filler Field,DEM,50,,,Filler Field – to be used for future enhancements,,NA,Not needed,NA,NA,,
80,Filler Field,DEM,50,,,Filler Field – to be used for future enhancements,,NA,Not needed,NA,NA,,
81,Filler Field,DEM,50,,,Filler Field – to be used for future enhancements,,NA,Not needed,NA,NA,,
82,PCP ID/Provider Number,PCP,25,PCP/Enroll History,IM29867,Provider number or PCP ID for MA and MAPD plans,Information is captured from PCP & Enrollment History,Provider,Y,Provider - Practitioner,"ProviderNumber_X

X : 1 to 10",Populate it based on the number of occurences of PCP Transaction.,
,,,,,,,,,,,"PCP_StartdateX
X : 1 to 10","Populate from Start Date of PCP transaction.
Date format - YYYY-MM-DD",
,,,,,,,,,,,"PCP_EnddateX
X : 1 to 10","Populate from End Date of PCP transaction.
Date format - YYYY-MM-DD",
83,PCP/Provider Address Suffix,PCP,20,PCP/Enroll History,567423,Client-specific,If applicable,Couldn’t locate in HRP UI,N,NA,NA,,
84,PCP/Provider Eff Date,PCP,8,PCP/Enroll History,20120401,PCP effective date as listed in the member record,Information is captured from PCP & Enrollment History,Provider Choice,Y,Member - Provider,No need to map.,,
85,Filler Field,PCP,50,PCP/Enroll History,,Filler Field – to be used for future enhancements,,NA,Not needed,NA,NA,,
86,Filler Field,PCP,50,PCP/Enroll History,,Filler Field – to be used for future enhancements,,NA,Not needed,NA,NA,,
87,Broker Name,BRK,105,Application,Amy Cooper,Name of selling broker,,Subscriber:Broker Selection,Y,Member- Broker,,,
88,Broker Code,BRK,10,Application,J3905,Broker code,,Subscriber:Broker Selection,Y,Member- Broker,,,
89,Broker Association/Agency,BRK,10,Application,4,Agency code,,Subscriber:Broker Selection,Y,Member- Broker,,,
90,Filler Field,BRK,50,PCP/Enroll History,,Filler Field – to be used for future enhancements,,NA,Not needed,NA,NA,,
91,Filler Field,BRK,50,PCP/Enroll History,,Filler Field – to be used for future enhancements,,NA,Not needed,NA,NA,,
92,Filler Field,BRK,50,PCP/Enroll History,,Filler Field – to be used for future enhancements,,NA,Not needed,NA,NA,,
93,Filler Field,BRK,50,PCP/Enroll History,,Filler Field – to be used for future enhancements,,NA,Not needed,NA,NA,,
94,Creditable Coverage Flag,LEP,1,System Logic,N,LOV: Y = Yes; N = No,This value is always NULL,NA,Not needed,NA,NA,,
95,LEP Number of Uncovered Months,LEP,3,PCP/Enroll History,18,Number of months for which a member did not have creditable drug coverage,,Medicare : Part D LEP,Y,Member-Medicare,LEPNumberofUncoveredMonths_X,Populate it based on the number of occurences of LEP Transaction.,
,,,,,,,,,,,PartDLEPStartdateX,"Populate from Start Date of LEP transaction.
Date format - YYYY-MM-DD",
,,,,,,,,,,,PartDLEPEnddateX,"Populate from End Date of LEP transaction.
Date format - YYYY-MM-DD",
96,Part D LEP Amount,LEP,6,PCP/Enroll History,4.4,Member LEP amount received from CMS,,Medicare : Part D LEP,Y,Member-Medicare,PartDLEPAmount_X,Populate it based on the number of occurences of LEP Transaction.,
97,PartD LEP Waived Amount,LEP,6,PCP/Enroll History,1,Data from CMS,,Medicare : Part D LEP,Y,Member-Medicare,PartDLEPWaivedAmount_X,Populate it based on the number of occurences of LEP Transaction.,
98,PartD LEP Subsidy Amount,LEP,6,PCP/Enroll History,1,Data from CMS,,Medicare : Part D LEP,Y,Member-Medicare,PartDLEPSubsidyAmount_X,Populate it based on the number of occurences of LEP Transaction.,
99,LEP Source,LEP,6,PCP/Enroll History,TRR,"LOV: LISLEP, MPWR, TRR, Other",,couldn't locate in HRP,N,NA,NA,,
100,Filler Field,LEP,50,PCP/Enroll History,,Filler Field – to be used for future enhancements,,NA,Not needed,NA,NA,,
101,Filler Field,LEP,50,PCP/Enroll History,,Filler Field – to be used for future enhancements,,NA,Not needed,NA,NA,,
102,Current LIS Premium Subsidy,LIS,6,Plan set up value,34.2,Subsidy amount that CMS contributes toward Part D premium,,Medicare Part D LIS,Y,Member: Medicare,CurrentLISPremiumSubsidy_X,Populate it based on the number of occurences of LIS Transaction.,
,,,,,,,,,,,PartDLISPStartdateX,"Populate from Start Date of LIS transaction.
Date format - YYYY-MM-DD",
,,,,,,,,,,,PartDLISEnddateX,"Populate from End Date of LIS transaction.
Date format - YYYY-MM-DD",
103,PartD LIS Subsidy Level,LIS,3,PCP/Enroll History,50,"LOV: 000, 025, 050, 075, and 100",,Medicare Part D LIS,Y,Member: Medicare,PartDLISSubsidyLevel_X,Populate it based on the number of occurences of LIS Transaction.,
104,PartD LIS Copay Category,LIS,1,PCP/Enroll History,4,"LOV: 0, 1, 2, 3, 4",,Medicare Part D LIS,Y,Member: Medicare,PartDLISCopayCategory_X,Populate it based on the number of occurences of LIS Transaction.,
105,LIS Source Code,LIS,50,PCP/Enroll History,A,LOV: A = Applicant; D = Deemed,,Couldn’t locate in HRP UI,N,NA,NA,,
106,Filler Field,LIS,50,PCP/Enroll History,,Filler Field – to be used for future enhancements,,NA,Not needed,NA,NA,,
107,Filler Field,LIS,50,PCP/Enroll History,,Filler Field – to be used for future enhancements,,NA,Not needed,NA,NA,,
108,Contract Number,PLN,5,PCP/Enroll History,H1234,Contract number (K#) of the current plan,,Benefit Plan Configurtaion,Y,NA,ContractNumber_X,Populate it based on the number of occurences of PLN transaction.,
109,PBP Number,PLN,3,PCP/Enroll History,67,PBP number for the plan,,Benefit Plan Configurtaion,Y,NA,PBPNumber_X,Populate it based on the number of occurences of PLN transaction.,
110,Segment,PLN,3,Claims Eligibility,5,"Plan segment number, if applicable",Value is only for segmented plans and has a unique relationship with the county in which a member resides,Benefit plan configuration,Y,NA,NA,,
111,Group ID,PLN / GRP,25,Claims Eligibility,56129R,Group number associated with the member’s,,General:Account,Y,Member-Account,GroupID_X,Populate it based on the number of occurences of PLN transaction.,
,,,,,,plan,,,,,,,
112,Subgroup,GRP,20,Claims Eligibility,1000,Subgroup number associated with the,,NA,Not needed,NA,No need to map,,
,,,,,,member’s plan,,,,,,,
113,Class ID,PLN,25,Claims Eligibility,,Client-specific,,May be Benefit plan configuration,Y,NA,NA,,
114,Plan Code,PLN,3,Claims Eligibility,,Client-specific,,Benefit Plan,Y,Member - Coverage,,,
115,Disenrollment Reason code (DRC),PLN,2,Plan Span,,Disenrollment Reason Code,"Refer to the CMS PCUG for the latest
Disenrollment Reason Codes.
Always populated",Not Available,N,Member-Coverage,DisenrollmentReasoncode_DRC_X,"Populate it based on the number of occurences of PLN transaction.

refer Crosswalk 'Dis Enrollment Reason Code'",
116,Filler Field,PLN,50,,,Filler Field – to be used for future enhancements,,NA,Not needed,NA,NA,,
117,Filler Field,PLN,50,,,Filler Field – to be used for future enhancements,,NA,Not needed,NA,NA,,
118,Filler Field,PLN,50,,,Filler Field – to be used for future enhancements,,NA,Not needed,NA,NA,,
119,Signature Date,PLN,8,Application data,20120210,Date that the application was signed by applicant or POA in the format YYYYMMDD,,Not Available,N,Member-Coverage,SignatureDate_X,"Date format - YYYY-MM-DD

Populate it based on the number of occurences of PLN transaction.",
120,CSNP Disenrollment Eff. Date,PLN,8,System Logic,20120901,Chronic Special Need Plan Disenrollment Eff date,,Couldn’t locate in HRP UI,N,NA,,,
121,Election Type,PLN,300,Application data,,Election type,Will contain a value only if the last transaction is enrollment or PBP change,Couldn’t locate in HRP UI,N,NA,ElectionType_X,Populate it based on the number of occurences of PLN transaction.,
122,Term Reason Code,PLN,20,PCP/Enroll History,DOD,Termination reason code listed in the Plan Override section of PCP & Enrollment History,Not always populated,Benefit Plan,Y,Member-Coverage,,,
123,Plan Rider,RDR,1,Claims Eligibility,,LOV: D = Dental; V = Vision; R= Rx,,Benefit plan configuration,Y,NA,NA,,
124,Rider Code,RDR,50,Claims Eligibility,,Code used to identify specific rider benefit,,Benefit plan configuration,Y,NA,NA,,
125,Filler Field,RDR,50,PCP/Enroll History,,Filler Field – to be used for future enhancements,,NA,Not needed,NA,NA,,
126,Filler Field,RDR,50,PCP/Enroll History,,Filler Field – to be used for future enhancements,,NA,Not needed,NA,NA,,
127,Payment Method Type,PWO,20,PCP/Enroll History,SSA,Member premium payment option,No Premium; Receive monthly bill; EFT/APO;CC; RRB; SSA; No data,NA,NA,NA,PaymentMethodType_X,,
,,,,,,,,,,,PWOStartdate_X,"Date format - YYYY-MM-DD

Populate it based on the number of occurences of PWO transaction.",
,,,,,,,,,,,PWOEnddate_X,"Date format - YYYY-MM-DD

Populate it based on the number of occurences of PWO transaction.",
128,Premium Withhold Option,PWO,1,PCP/Enroll History,SSA,Premium Withhold Option submitted to CMS; LOV: D= Bill; S= SSA; R= RRB,,,,,PremiumWithholdOption_X,Populate it based on the number of occurences of PWO transaction.,
129,Name of Account Holder,PWO,105,PCP/Enroll History,John Smith,Account holder name listed on member record,No longer supported. Value is always blank,NA,Not needed,NA,NA,,
130,Account Number,PWO,20,PCP/Enroll History History,78912378900,Account number listed on member record,NACHA/BizTalk encrypted eff spring 2023,,,,,,
131,Bank Routing Number,PWO,20,PCP/Enroll History,123456789,Bank routing number listed on member record,NACHA/BizTalk encrypted eff spring 2023,,,,,,
132,Bank Account Type,PWO,1,PCP/Enroll History,C,"LOV: C = Checking, S = Savings",If applicable,,,,,,
133,Credit Card Type,PWO,50,PCP/Enroll History,,Credit card type selected in the system,No longer supported. Value is always blank,NA,Not needed,NA,NA,,
134,Credit Card Account Holder Name,PWO,105,PCP/Enroll History,,Credit card type selected in the system,No longer supported. Value is always blank,NA,Not needed,NA,NA,,
135,Credit Card Number,PWO,16,PCP/Enroll History,,Credit card number,No longer supported. Value is always blank,NA,Not needed,NA,NA,,
136,Credit card Security Code,PWO,3,PCP/Enroll History,,Credit card security code from back of card,No longer supported. Value is always blank,NA,Not needed,NA,NA,,
137,Credit Card Expiration Date,PWO,6,PCP/Enroll History,,Expiration date of the credit card in the format YYYYMM,No longer supported. Value is always blank,NA,Not needed,NA,NA,,
138,Filler Field,PWO,50,PCP/Enroll History,,Filler Field – to be used for future enhancements,,NA,Not needed,NA,NA,,
139,Filler Field,PWO,50,PCP/Enroll History,,Filler Field – to be used for future enhancements,,NA,Not needed,NA,NA,,
140,Hospice Flag,FLG,1,PCP/Enroll History,Y,Member has a Hospice flag; LOV: Y = Yes; N = No U=Unknown,Source can be TRR or user update. Each status flag record in the system will send a separate record on this file,Medicare and General tab,Y,Member - Health Indicators,HospiceFlag_X,"Map only if Hospice Flag = Y.


Populate it based on the number of occurences of FLG trasaction,",
,,,,,,,,,,,HospiceFlagStartdate_X,"Date format - YYYY-MM-DD
Populate from Start Date of FLG  transaction",
,,,,,,,,,,,HospiceFlagEnddate_X,"Date format - YYYY-MM-DD
Populate from End Date of FLG transaction",
141,Medicaid Flag,FLG,1,PCP/Enroll History,Y,Member has a Medicaid flag; LOV: Y = Yes; N = No,Source can be TRR or user update. Each status flag record in the system will send a separate record on this file,Couldn’t locate in HRP UI,N,NA,MedicaidFlag_X,"Map only if Medicaid Flag = Y.


Populate it based on the number of occurences of FLG trasaction,",
,,,,,,,,,,,MedicaidFlagStratDate_X,"Date format - YYYY-MM-DD
Populate from Start Date of FLG  transaction",
,,,,,,,,,,,MedicaidFlagEndDate_X,"Date format - YYYY-MM-DD
Populate from End Date of FLG transaction",
143,Institutional Flag,FLG,1,PCP/Enroll History,Y,"Member is a resident of an institution; LOV: Y = Yes; N = No, U=Unknown",Source can be TRR or user update. Each status flag record in the system will send a separate record on this file,Medicare,Y,Member - Health Indicators,InstitutionalFlag_X,"Map only if Institutional Flag = Y.


Populate it based on the number of occurences of FLG trasaction,",
,,,,,,,,,,,InstitutionalFlagStartDate_X,"Date format - YYYY-MM-DD
Populate from Start Date of FLG  transaction",
,,,,,,,,,,,InstitutionalFlagEndDate_X,"Date format - YYYY-MM-DD
Populate from End Date of FLG transaction",
