Sr#,CSV Field,Claim Level/Line Level,Data Type,Length,Usage
141,Occurrencespan_Startdate3,Claim Level,VARCHAR,10,S
142,Occurrencespan_Enddate3,Claim Level,VARCHAR,10,S
143,Occurrencespan_code4,Claim Level,VARCHAR,30,S
144,Occurrencespan_Startdate4,Claim Level,VARCHAR,10,S
145,Occurrencespan_Enddate4,Claim Level,VARCHAR,10,S
146,Eventoccurence_Code1,Claim Level,VARCHAR,30,S
147,Eventoccurence_Date1,Claim Level,VARCHAR,10,S
148,Eventoccurence_Code2,Claim Level,VARCHAR,30,S
149,Eventoccurence_Date2,Claim Level,VARCHAR,10,S
150,Eventoccurence_Code3,Claim Level,VARCHAR,30,S
151,Eventoccurence_Date3,Claim Level,VARCHAR,10,S
152,Value_Code1,Claim Level,VARCHAR,30,S
153,Value_Code_Amount1,Claim Level,VARCHAR,18,S
154,Value_Code2,Claim Level,VARCHAR,30,S
155,Value_Code_Amount2,Claim Level,VARCHAR,18,S
156,Value_Code3,Claim Level,VARCHAR,30,S
157,Value_Code_Amount3,Claim Level,VARCHAR,18,S
158,Condition_Code1,Claim Level,VARCHAR,30,S
159,Condition_Code2,Claim Level,VARCHAR,30,S
160,Condition_Code3,Claim Level,VARCHAR,30,S
161,Condition_Code4,Claim Level,VARCHAR,30,S
162,Condition_Code5,Claim Level,VARCHAR,30,S
163,Condition_Code6,Claim Level,VARCHAR,30,S
164,Release_Information_Ind,Claim Level,VARCHAR,1,S
165,Benefit_Assignment_Indicator,Claim Level,VARCHAR,1,S
166,Payer_Name,Claim Level,VARCHAR,60,S
167,Number_of_service_lines,Claim Level,VARCHAR,,S
168,Original_Line_Number,Line Level,VARCHAR,6,S
169,Revenue_Code,Line Level,VARCHAR,48,S
170,Service_Code,Line Level,VARCHAR,48,S
171,Service_code_modifier_1,Line Level,VARCHAR,2,S
172,Service_code_modifier_2,Line Level,VARCHAR,2,S
173,Service_code_modifier_3,Line Level,VARCHAR,2,S
174,Service_code_modifier_4,Line Level,VARCHAR,2,S
175,NDCCode_Qualifier,Line Level,VARCHAR,2,S
176,NDC_Code,Line Level,VARCHAR,48,S
177,NDC_Quantity,Line Level,VARCHAR,15,S
178,NDC_measurement_Type,Line Level,VARCHAR,2,S
179,Service_StartDate,Line Level,VARCHAR,10,S
180,Service_EndDate,Line Level,VARCHAR,10,S
181,Service_Unit_Count,Line Level,VARCHAR,15,S
182,Total_Charge_Amount,Line Level,VARCHAR,18,S
183,Endofrecord,Claim Level/Line level,VARCHAR,3,S
