EDI LoopID.Segment,EDI Data Element Name,EDI Element Description,Usage,Enumeration Values,Sample values,Hardcode,CSV Field,Claim Level/Line Level,Transformation Logic
2010CA.DMG01,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 : Date Expressed in Format CCYYMMDD,,"Hardcode as ""D8""",,,
2010CA.DMG02,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times/Patient Birth Date",R,,19670712,,Member_DateOfBirth,Claim Level,Format : YYYY-MM-DD
2010CA.DMG03,Gender Code,Code indicating the sex of the individual,R,"F: Female
M :Male
U : Unknown",,,Member_Gender_Code,Claim Level,
Segment - Property and Casuality Claim Number (Situational),,,,,,,,,
2010CA.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,Y4 Agency Claim Number,,,,,
2010CA.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,,,,,
"Loop 2300  - CLAIM INFORMATION(Required)  Loop Repeat: 100
       When patient is the subscriber : The claim information(Loop ID-2300), is placed following Loop ID-2010BB in the Subscriber Hierarchical Level(HL) and patient information is sent in Loop ID-2010BA.
       When patient is the dependent :  The claim information(Loop ID-2300),is placed following Loop ID-2010CA  in the Patient HL and the patient information is sent in Loop ID-2010CA .",,,,,,,,,
Segment - CLM Claim information (Situational),,,,,,,,,
2300.CLM01,Claim Submitter's Identifier,Identifier used to track a claim from creation by the health care provider through payment,R,,<patientControlNumber> 1003795048I7791539,,Patient_Control_Number,Claim Level,
2300.CLM02,Monetary Amount,"Monetary Amount   CLM02 is the total amount of all submitted charges of service segments
for this claim.",R,,214.25,,Totals,Claim Level,
2300.CLM05.01,Facility Code Value,"Code identifying where services were, or may be, performed; the first
and second positions of the Uniform Bill Type Code for Institutional
Services or the Place of Service Codes for Professional or Dental
Services.",R,,,,Type_Of_Bill_Code,Claim Level,
2300.CLM05.02,Facility Code Qualifier,Code identifying the type of facility referenced,R,A :Uniform Billing Claim Form Bill Type,,"Hardcode as ""A""",,,
2300.CLM05.03,Claim Frequency Type Code,"code specifying the frequency of the claim; this is the third position of
the Uniform Billing Claim Form Bill Type",R,1,,,Frequency_Code,Claim Level,
2300.CLM07,Provider Accept Assignment Code,Code indicating whether the provider accepts assignment,R,"A : Assigned
B : Assignment Accepted on Clinical Lab Services Only
C :  Not Assigned",,,,,"if 2300.CLM08 = Y then map it as ""A""; else,
If 2300.CLM08= N then Map it  as ""C""."
2300.CLM08,Yes/No Condition or Response Code,Benefits Assignment Certification Indicator,R,"Y : Yes
N : No
W :  Not Applicable",,,Benefit_Assignment_Indicator,Claim Level,
2300.CLM09,Release of Information Code,"Code indicating whether the provider has on file a signed statement by the patient
authorizing the release of medical data to other organizations",R,"I : Informed Consent  to Release Medical Information for Conditions or Diagnoses
Y :Yes, Provider has a Signed Statement Permitting
Release of Medical Billing Data Related to a Claim",,,Release_Information_Ind,Claim Level,
2300.CLM20,Delay Reason Code,Code indicating the reason why a request was delayed,S,,,,,,
Segment - DTP Discharge Date/Hour (Situational),,,,,,,,,
2300.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,096 Discharge,,"Hardcode as ""096""",,,
2300.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,TM Time Expressed in Format HHMM,,"Hardcode as ""TM""",,,
2300.DTP03,Date Time Period,Date Time Period,R,HH:MM,,,DIscharge_Time,,
Segment - DTP Statement Dates (Required),,,,,,,,,
2300.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,434 Statement,,"Hardcode as ""434""",,,
2300.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,RD8: Range of Dates Expressed in Format CCYYMMDDCCYYMMDD,,"Hardcode as ""RD8""",,,
2300.DTP03,Date Time Period,Date Time Period,R,,20210311-20210311,,Statement_Start_Date,Claim Level,byte 1-8 in format YYYY-MM-DD
,,,,,,,Statement_End_Date,Claim Level,byte 10-17  in format YYYY-MM-DD
Segment - DTP Admission Date/Hour (Situational),,,,,,,,,
2300.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,435 :Admission,,"Hardcode as ""435""",,,
2300.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 :  Date Expressed in Format CCYYMMDD,,"Hardcode ""DT""  if Admission_TimeCount is present. Else D8.",,,
2300.DTP03,Date Time Period,Date Time Period,R,"If D8 - CCYYMMDD
If DT- CCYYMMDDHH",,,Admission_Date,Claim Level,In the format YYYY-MM-DD
,,,,,,,Admission_TimeCount,Claim Level,when DTP02=DT map byte 9-12
Segment - DTP Date - Repricer Received Date (Situational),,,,,,,,,
2300.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,050 Received,,,,,
2300.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 :  Date Expressed in Format CCYYMMDD,,,,,
2300.DTP03,Date Time Period,Date Time Period,R,"If D8 - CCYYMMDD
If DT- CCYYMMDDHH",,,,,
Segment - CL1 Institutional Claim Code (Required),,,,,,,,,
2300.CL101,Admission Type Code,Code indicating the priority of this admission,R,"1-Emergency
2-Urgent
3-Elective",,,Admission_Type_Code,Claim Level,
2300.CL102,Admission Source Code,Code indicating the source of this admissio,S,,,,Admission_Source_Code,Claim Level,
2300.CL103,Patient Status Code,Code indicating patient status as of the “statement covers through date,R,,,,Discharge_Status_Code,Claim Level,
Segment - PWK Claim Supplemental Information (Situational),,,,,,,,,
2300.PWK01,Report Type Code,"Code indicating the title or contents of a document, report or supporting item",R,"03 Report Justifying Treatment Beyond Utilization
Guidelines
04 Drugs Administered
05 Treatment Diagnosis
06 Initial Assessment
07 Functional Goals
08 Plan of Treatment
09 Progress Report
10 Continued Treatment
11 Chemical Analysis
13 Certified Test Report
15 Justification for Admission
21 Recovery Plan
A3 Allergies/Sensitivities Document
A4 Autopsy Report
AM Ambulance Certification
AS Admission Summary
B2 Prescription
B3 Physician Order
B4 Referral Form
BR Benchmark Testing Results
BS Baseline
BT Blanket Test Results
CB Chiropractic Justification
CK Consent Form(s)
CT Certification
D2 Drug Profile Document
DA Dental Models
DB Durable Medical Equipment Prescription
DG Diagnostic Report
DJ Discharge Monitoring Report
DS Discharge Summary
EB Explanation of Benefits (Coordination of Benefits or
Medicare Secondary Payor)
HC Health Certificate
HR Health Clinic Records
I5 Immunization Record
IR State School Immunization Records
LA Laboratory Results
M1 Medical Record Attachment
MT Models
NN Nursing Notes
OB Operative Note
OC Oxygen Content Averaging Report
OD Orders and Treatments Document
OE Objective Physical Examination (including vital
signs) Document
OX Oxygen Therapy Certification
OZ Support Data for Claim
P4 Pathology Report
P5 Patient Medical History Document
PE Parenteral or Enteral Certification
PN Physical Therapy Notes
PO Prosthetics or Orthotic Certification
PQ Paramedical Results
PY Physician’s Report
PZ Physical Therapy Certification
RB Radiology Films
RR Radiology Reports
RT Report of Tests and Analysis Report
RX Renewable Oxygen Content Averaging Report
SG Symptoms Document
V5 Death Notification
XP Photographs",,"Hardcode as ""10""",,,
2300.PWK02,Report Transmission Code,"Code defining timing, transmission method or format by which reports are to be
sent",R,"AA Available on Request at Provider Site . BM By Mail
 EL Electronically.
 EM E-Mail
FT File Transfer
FX By Fax",,"Hardcode as ""BM""",,,
2300.PWK05,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code (67)",S,AC Attachment Control Number,,"Hardcode as ""AC""",,,
2300.PWK06,Identification Code,Code identifying a party or other code,S,,,,Attachment_Set_ID,Claim Level,
Segment - CN1 Contract Information (Situational),,,,,,,,,
2300.CN101,Contract Type Code,Code identifying a contract type,R,"01 Diagnosis Related Group (DRG)
02 Per Diem
03 Variable Per Diem
04 Flat
05 Capitated
06 Percent
09 Other",,,,,
2300.CN102,Monetary Amount,Monetary amount,S,,,,,,
2300.CN103,"Percent, Decimal Format","Percent given in decimal format (e.g., 0.0 through 100.0 represents 0% through
100%)",S,,,,,,
2300.CN104,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",S,,,,,,
2300.CN105,Terms Discount Percent,"Terms discount percentage, expressed as a percent, available to the purchaser if
an invoice is paid on or before the Terms Discount Due Date",S,,,,,,
2300.CN106,Version Identifier,"Revision level of a particular format, program, technique or algorithm",S,,,,,,
Segment - AMT Patient Estimated Amount Due (Situational),,,,,,,,,
2300.AMT01,Amount Qualifier Code,Code to qualify amount,R,F3 Patient Responsibility - Estimated,,,,,
2300.AMT02,Monetary Amount,Monetary Amount,R,,,,,,
Segment - REF Service Authorization Exception Code (Situational),,,,,,,,,
2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,4N :Special Payment Reference Number,,,,,
2300.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,"1 Immediate/Urgent Care
2 Services Rendered in a Retroactive Period
3 Emergency Care
4 Client has Temporary Medicaid
5 Request from County for Second Opinion to Determine
if Recipient Can Work
6 Request for Override Pending
7 Special Handling",,,,,
Segment - REF Referral Number (Situational),,,,,,,,,
2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,9F Referral Number,,,,,
2300.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,,
Segment - REF Prior Authorization (Situational),,,,,,,,,
2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,G1 : Prior Authorization Number,,,,,
2300.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,,
Segment - REF Payer Claim Control Number (Situational),,,,,,,,,
2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,F8 Original Reference Number,,"Hardcode as ""F8""",,,
2300.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,Claim_Number,Claim Level,
Segment - REF Repriced Claim Number (Situational),,,,,,,,,
2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,9A-Repriced Claim Reference Number,,,,,
2300.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,,
Segment - REF Adjusted Repriced Claim Number (Situational),,,,,,,,,
2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,9C :  Adjusted Repriced Claim Reference Number,,,,,
2300.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,,
Segment - REF Investigational Device Exemption Number (Situational),,,,,,,,,
2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,LX : Qualified Products List,,,,,
2300.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,,
Segment - REF Claim Identification For Transmission Intermediaries (Situational),,,,,,,,,
2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,D9 : Claim Number,,"Hardcode as ""D9""",,,
2300.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,Clearing_House_TraceNumber,Claim Level,
Segment - REF Auto Accident State (Situational),,,,,,,,,
2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,LU Location Number,,,,,
2300.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,,
Segment - REF Medical Record Number (Situational),,,,,,,,,
2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,EA Medical Record Identification Number,,"Hardcode as ""EA""",,,
2300.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,Medical_Record_Number,Claim Level,
Segment - REF Demonstration Project Identifier (Situational),,,,,,,,,
2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,P4 -Project Code,,,,,
2300.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,,
Segment - REF Peer Review Organization (PRO) Approval Number (Situational),,,,,,,,,
2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,G4-Peer Review Organization (PRO) Approval Number,,,,,
2300.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,,
Segment - K3 File Information (Situational),,,,,,,,,
2300.K301,Fixed Format Information,Data in fixed format agreed upon by sender and receiver,R,,,,,,
Segment - NTE Claim Note (Situational),,,,,,,,,
2300.NTE01,Note Reference Code,Code identifying the functional area or purpose for which the note applies,R,"ADD : Additional Information
CER : Certification Narrative
DCP : Goals, Rehabilitation Potential, or Discharge Plans",,,,,
2300.NTE02,Description,A free-form description to clarify the related data elements and their content  /  Claim Note Text,R,,,,,,
Segment - NTE Billing Note (Situational),,,,,,,,,
2300.NTE01,Note Reference Code,Code identifying the functional area or purpose for which the note applies,R,"ADD : Additional Information
CER : Certification Narrative
DCP : Goals, Rehabilitation Potential, or Discharge Plans",,,,,
2300.NTE02,Description,A free-form description to clarify the related data elements and their content  /  Claim Note Text,R,,,,,,
Segment - CRC EPSDT Referral (Situational),,,,,,,,,
2300.CRC01,Code Category,Specifies the situation or category to which the code applies,R,"E1 : Spectacle Lenses
E2 : Contact Lenses
E3 : Spectacle Frames",,,,,
2300.CRC02,Yes/No Condition or Response Code,Certification Condition Indicator,R,"Y: Yes
N:NO",,,,,
2300.CRC03,Condition Indicator,Code indicating a condition,R,"L1 : General Standard of 20 Degree or .5 Diopter Sphere or Cylinder Change Met
L2 : Replacement Due to Loss or Theft L3 : Replacement Due to Breakage or Damage
L4 : Replacement Due to Patient Preference
 L5 : Replacement Due to Medical Reason",,,,,
2300.CRC04,Condition Indicator,Code indicating a condition,S,"AV Available - Not Used
652 Patient refused referral.
NU Not Used
653 This conditioner indicator must be used when the
submitter answers “N” in CRC02.
S2 Under Treatment
654 Patient is currently under treatment for referred
diagnostic or corrective health problem.
ST New Services Requested
655 Patient is referred to another provider for diagnostic
or corrective treatment for at least one health
problem identified during an initial or periodic
screening service (not including dental referrals).
OR
Patient is scheduled for another appointment with
screening provider for diagnostic or corrective
treatment for at least one health problem identified
during an initial or periodic screening service (not
including dental referrals).",,,,,
2300.CRC05,Condition Indicator,Code indicating a condition,S,"AV Available - Not Used
652 Patient refused referral.
NU Not Used
653 This conditioner indicator must be used when the
submitter answers “N” in CRC02.
S2 Under Treatment
654 Patient is currently under treatment for referred
diagnostic or corrective health problem.
ST New Services Requested
655 Patient is referred to another provider for diagnostic
or corrective treatment for at least one health
problem identified during an initial or periodic
screening service (not including dental referrals).
OR
Patient is scheduled for another appointment with
screening provider for diagnostic or corrective
treatment for at least one health problem identified
during an initial or periodic screening service (not
including dental referrals).",,,,,
Segment - HI Principal Diagnosis (Required),,,,,,,,,
2300.HI01.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"ABK : ICD10 -CM - Principal Diagnosis
BK : ICD9 -CM - Principal Diagnosis",,"Hardcode as ""ABK""",,,
2300.HI01.02,Industry Code,Diagnosis Code,R,,,,Primary_Diagnosis_Code,Claim Level,Place a dot (.) after 3rd character
2300.HI01.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,,Primary_Diagnosis_POAIndicator,Claim Level,
Segment - HI Admitting Diagnosis (Situational),,,,,,,,,
2300.HI01.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"ABJ -  International Classification of Diseases Clinical
Modification (ICD-10-CM) Admitting Diagnosis",,"Hardcode as ""ABJ""",,,
2300.HI01.02,Industry Code,Diagnosis Code,R,,,,Admit_Diagnosis_Code,Claim Level,Place a dot (.) after 3rd character
Segment - HI Patient Reason For Visit (Situational),,,,,,,,,
2300.HI01.01,Code List Qualifier Code,Code identifying a specific industry code list/ Principal Diagnosis Type Code,R,"APR - International Classification of Diseases Clinical
Modification (ICD-10-CM) Patient’s Reason for Visit
PR- International Classification of Diseases Clinical
Modification (ICD-9-CM) Patient’s Reason for Visit",,"Hardcode as ""APR""",,,
2300.HI01.02,Industry Code,Diagnosis Code,R,,,,PRV_Diagnosis_Code1,Claim Level,Place a dot (.) after 3rd character
2300.HI02.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"APR - International Classification of Diseases Clinical
Modification (ICD-10-CM) Patient’s Reason for Visit
PR- International Classification of Diseases Clinical
Modification (ICD-9-CM) Patient’s Reason for Visit",,"Hardcode as ""APR""",,,
2300.HI02.02,Industry Code,Diagnosis Code,R,,,,PRV_Diagnosis_Code2,Claim Level,Place a dot (.) after 3rd character
2300.HI03.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"APR - International Classification of Diseases Clinical
Modification (ICD-10-CM) Patient’s Reason for Visit
PR- International Classification of Diseases Clinical
Modification (ICD-9-CM) Patient’s Reason for Visit",,"Hardcode as ""APR""",,,
2300.HI03.02,Industry Code,Diagnosis Code,R,,,,PRV_Diagnosis_Code3,Claim Level,Place a dot (.) after 3rd character
Segment - HI External Cause of Injury (Situational),,,,,,,,,
2300.HI01.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"ABN : International Classification of Diseases Clinical
Modification (ICD-10-CM) External Cause of Injury
Code
BN : International Classification of Diseases Clinical
Modification (ICD-9-CM) External Cause of Injury
Code (E-codes)",,"Hardcode as ""ABN""",,,
2300.HI01.02,Industry Code,Diagnosis Code,R,,,,External_Diagnosis_Code1,Claim Level,Place a dot (.) after 3rd character
2300.HI01.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,,External_Diagnosis_POA1,Claim Level,
2300.HI02.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"ABN : International Classification of Diseases Clinical
Modification (ICD-10-CM) External Cause of Injury
Code
BN : International Classification of Diseases Clinical
Modification (ICD-9-CM) External Cause of Injury
Code (E-codes)",,"Hardcode as ""ABN""",,,
2300.HI02.02,Industry Code,Diagnosis Code,R,,,,External_Diagnosis_Code2,Claim Level,Place a dot (.) after 3rd character
2300.HI02.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,,External_Diagnosis_POA2,Claim Level,
2300.HI03.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"ABN : International Classification of Diseases Clinical
Modification (ICD-10-CM) External Cause of Injury
Code
BN : International Classification of Diseases Clinical
Modification (ICD-9-CM) External Cause of Injury
Code (E-codes)",,"Hardcode as ""ABN""",,,
2300.HI03.02,Industry Code,Diagnosis Code,R,,,,External_Diagnosis_Code3,Claim Level,Place a dot (.) after 3rd character
2300.HI03.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,,External_Diagnosis_POA3,Claim Level,
2300.HI04.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"ABN : International Classification of Diseases Clinical
Modification (ICD-10-CM) External Cause of Injury
Code
BN : International Classification of Diseases Clinical
Modification (ICD-9-CM) External Cause of Injury
Code (E-codes)",,"Hardcode as ""ABN""",,,
2300.HI04.02,Industry Code,Diagnosis Code,R,,,,External_Diagnosis_Code4,Claim Level,Place a dot (.) after 3rd character
2300.HI04.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,,External_Diagnosis_POA4,Claim Level,
2300.HI05.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"ABN : International Classification of Diseases Clinical
Modification (ICD-10-CM) External Cause of Injury
Code
BN : International Classification of Diseases Clinical
Modification (ICD-9-CM) External Cause of Injury
Code (E-codes)",,"Hardcode as ""ABN""",,,
2300.HI05.02,Industry Code,Diagnosis Code,R,,,,External_Diagnosis_Code5,Claim Level,Place a dot (.) after 3rd character
2300.HI05.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,,External_Diagnosis_POA5,Claim Level,
2300.HI06.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"ABN : International Classification of Diseases Clinical
Modification (ICD-10-CM) External Cause of Injury
Code
BN : International Classification of Diseases Clinical
Modification (ICD-9-CM) External Cause of Injury
Code (E-codes)",,"Hardcode as ""ABN""",,,
2300.HI06.02,Industry Code,Diagnosis Code,R,,,,External_Diagnosis_Code6,Claim Level,Place a dot (.) after 3rd character
2300.HI06.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,,External_Diagnosis_POA6,Claim Level,
2300.HI07.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"ABN : International Classification of Diseases Clinical
Modification (ICD-10-CM) External Cause of Injury
Code
BN : International Classification of Diseases Clinical
Modification (ICD-9-CM) External Cause of Injury
Code (E-codes)",,"Hardcode as ""ABN""",,,
2300.HI07.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI07.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,,,,
2300.HI08.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"ABN : International Classification of Diseases Clinical
Modification (ICD-10-CM) External Cause of Injury
Code
BN : International Classification of Diseases Clinical
Modification (ICD-9-CM) External Cause of Injury
Code (E-codes)",,"Hardcode as ""ABN""",,,
2300.HI08.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI08.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,,,,
2300.HI09.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"ABN : International Classification of Diseases Clinical
Modification (ICD-10-CM) External Cause of Injury
Code
BN : International Classification of Diseases Clinical
Modification (ICD-9-CM) External Cause of Injury
Code (E-codes)",,"Hardcode as ""ABN""",,,
2300.HI09.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI09.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,,,,
2300.HI10.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"ABN : International Classification of Diseases Clinical
Modification (ICD-10-CM) External Cause of Injury
Code
BN : International Classification of Diseases Clinical
Modification (ICD-9-CM) External Cause of Injury
Code (E-codes)",,"Hardcode as ""ABN""",,,
2300.HI10.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI10.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,,,,
2300.HI11.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"ABN : International Classification of Diseases Clinical
Modification (ICD-10-CM) External Cause of Injury
Code
BN : International Classification of Diseases Clinical
Modification (ICD-9-CM) External Cause of Injury
Code (E-codes)",,"Hardcode as ""ABN""",,,
2300.HI11.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI11.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,,,,
2300.HI12.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"ABN : International Classification of Diseases Clinical
Modification (ICD-10-CM) External Cause of Injury
Code
BN : International Classification of Diseases Clinical
Modification (ICD-9-CM) External Cause of Injury
Code (E-codes)",,"Hardcode as ""ABN""",,,
2300.HI12.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI12.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,,,,
Segment - HI Diagnosis Related Group (DRG) Information (Situational),,,,,,,,,
2300.HI01.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,DR Diagnosis Related Group (DRG),,"Hardcode as ""DR""",,,
2300.HI01.02,Industry Code,Diagnosis Code,R,,,,DRG_Code,Claim Level,
Segment - HI Other Diagnosis Information (Situational),,,,,,,,,
2300.HI01.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,ABF International Classification of Diseases Clinical Modification (ICD-10-CM) Diagnosis,,"Hardcode as ""ABF""",,,
2300.HI01.02,Industry Code,Diagnosis Code,R,,,,Other_Diagnosis_Code1,Claim Level,Place a dot (.) after 3rd character
2300.HI01.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,,Other_Diagnosis_POA1,Claim Level,
2300.HI02.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,ABF International Classification of Diseases Clinical Modification (ICD-10-CM) Diagnosis,,"Hardcode as ""ABF""",,,
2300.HI02.02,Industry Code,Diagnosis Code,R,,,,Other_Diagnosis_Code2,Claim Level,Place a dot (.) after 3rd character
2300.HI02.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,,Other_Diagnosis_POA2,Claim Level,
2300.HI03.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,ABF International Classification of Diseases Clinical Modification (ICD-10-CM) Diagnosis,,"Hardcode as ""ABF""",,,
2300.HI03.02,Industry Code,Diagnosis Code,R,,,,Other_Diagnosis_Code3,Claim Level,Place a dot (.) after 3rd character
2300.HI03.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,,Other_Diagnosis_POA3,Claim Level,
2300.HI04.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,ABF International Classification of Diseases Clinical Modification (ICD-10-CM) Diagnosis,,"Hardcode as ""ABF""",,,
2300.HI04.02,Industry Code,Diagnosis Code,R,,,,Other_Diagnosis_Code4,Claim Level,Place a dot (.) after 3rd character
2300.HI04.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,,Other_Diagnosis_POA4,Claim Level,
2300.HI05.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,ABF International Classification of Diseases Clinical Modification (ICD-10-CM) Diagnosis,,"Hardcode as ""ABF""",,,
2300.HI05.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI05.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,,,,
2300.HI06.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,ABF International Classification of Diseases Clinical Modification (ICD-10-CM) Diagnosis,,"Hardcode as ""ABF""",,,
2300.HI06.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI06.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,,,,
2300.HI07.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,ABF International Classification of Diseases Clinical Modification (ICD-10-CM) Diagnosis,,"Hardcode as ""ABF""",,,
2300.HI07.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI07.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,,,,
2300.HI08.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,ABF International Classification of Diseases Clinical Modification (ICD-10-CM) Diagnosis,,"Hardcode as ""ABF""",,,
2300.HI08.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI08.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,,,,
2300.HI09.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,ABF International Classification of Diseases Clinical Modification (ICD-10-CM) Diagnosis,,"Hardcode as ""ABF""",,,
2300.HI09.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI09.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,,,,
2300.HI10.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,ABF International Classification of Diseases Clinical Modification (ICD-10-CM) Diagnosis,,"Hardcode as ""ABF""",,,
2300.HI10.02,Industry Code,Diagnosis Code,R,,,,,,
