Sr No,Field Name,Datatype,Length,"Usage
_R: Required
 S: Situational",Comments
178,Reporting_Category_Identification_1,VARCHAR,50,S,
179,Reporting_Category_Date_1,VARCHAR,35,S,
180,Reporting_Category_Name_2,VARCHAR,60,S,
181,Reporting_Category_Identification_2,VARCHAR,50,S,
182,Reporting_Category_Date_2,VARCHAR,35,S,
183,Reporting_Category_Name_3,VARCHAR,60,S,
184,Reporting_Category_Identification_3,VARCHAR,50,S,
185,Reporting_Category_Date_3,VARCHAR,35,S,
186,Reporting_Category_Name_4,VARCHAR,60,S,
187,Reporting_Category_Identification_4,VARCHAR,50,S,
188,Reporting_Category_Date_4,VARCHAR,35,S,
189,Reporting_Category_Name_5,VARCHAR,60,S,
190,Reporting_Category_Identification_5,VARCHAR,50,S,
191,Reporting_Category_Date_5,VARCHAR,35,S,
192,Reporting_Category_Name_6,VARCHAR,60,S,
193,Reporting_Category_Identification_6,VARCHAR,50,S,
194,Reporting_Category_Date_6,VARCHAR,35,S,
195,Reporting_Category_Name_7,VARCHAR,60,S,
196,Reporting_Category_Identification_7,VARCHAR,50,S,
197,Reporting_Category_Date_7,VARCHAR,35,S,
198,Reporting_Category_Name_8,VARCHAR,60,S,
199,Reporting_Category_Identification_8,VARCHAR,50,S,
200,Reporting_Category_Date_8,VARCHAR,35,S,
201,Reporting_Category_Name_9,VARCHAR,60,S,
202,Reporting_Category_Identification_9,VARCHAR,50,S,
203,Reporting_Category_Date_9,VARCHAR,35,S,
204,Reporting_Category_Name_10,VARCHAR,60,S,
205,Reporting_Category_Identification_10,VARCHAR,50,S,
206,Reporting_Category_Date_10,VARCHAR,35,S,
207,Subscriber_identification_number,VARCHAR,50,S,
