LoopID.Segment ID,EDI Element Name,Element Description,Enumeration Values,Field in CSV layout.,Mapping Logic
,,,,Mutually_Defined_Identifier,If 2000.REF01 = ZZ
,,,,Case_Number,If 2000.REF01 = 3H
2000.DTP,Member Level Dates,,,,
2000.DTP01,Date Time Qualifier,,"050 Received
286 Retirement
296 Initial Disability Period Return To Work
297 Initial Disability Period Last Day Worked
300 Enrollment Signature Date
301 Consolidated Omnibus Budget Reconciliation Act
(COBRA) Qualifying Event
303 Maintenance Effective
336 Employment Begin
337 Employment End
338 Medicare Begin
339 Medicare End
340 Consolidated Omnibus Budget Reconciliation Act
(COBRA) Begin
341 Consolidated Omnibus Budget Reconciliation Act
(COBRA) End
350 Education Begin
351 Education End
356 Eligibility Begin
357 Eligibility End
383 Adjusted Hire
385 Credited Service Begin
386 Credited Service End
393 Plan Participation Suspension
394 Rehire
473 Medicaid Begin
474 Medicaid End",,
2000.DTP02,Date Time Period Format Qualifier,D8 Date Expressed in Format CCYYMMDD,D8 Date Expressed in Format CCYYMMDD,,
2000.DTP03,Date Time Period,Status Information Effective Date,,,
2100A — MEMBER NAME Loop Repeat: 1,,,,,
2100A.NM1,Member Name,,,,
2100A.NM101,Entity Identifier Code,,"IL = Insured or Subscriber
74 : Corrected Insured",,
2100A.NM102,Entity Type Qualifier,,1 = Person,,
2100A.NM103,Subscriber Last Name,Members last name,,Last_Name,
2100A.NM104,Subscriber First Name,Members first name,,First_Name,
2100A.NM105,Subscriber Middle Name,Members middle initial,,Middle_Name,
2100A.NM106,Subscriber Name Prefix,Member Name Prefix,,,
2100A.NM107,Subscriber Name Suffix,Member Name Suffix,,,
2100A.NM108,Identification Code Qualifier,,"34 Social Security Number
ZZ Mutually Defined",,
2100A.NM109,Member Identifier,,,Identification_Number,
2100A.PER,Members Communications Numbers,,,Populate only the first instance of phone number and email address.,
2100A.PER01,Contact Function Code,,IP : Insured Party,,
2100A.PER03,Communication Number Qualifier,,"AP Alternate Telephone
BN Beeper Number
CP Cellular Phone
EM Electronic Mail
EX Telephone Extension
FX Facsimile
HP Home Phone Number
TE Telephone
WP Work Phone Number",,
2100A.PER04,Communication Number,,,"Phone_Area_Code
Phone_Number","If 2100A.PER03 is HP/WP/TE/CP (Populate any of the one in this order of preference)
First 3 digit will be Phone_Area_Code,
 Rest 7 Digit wil be Phone_Numer"
.,,,,emailAddress,If 2100A.PER03 is EM
2100A.PER05,Communication Number Qualifier,,"AP Alternate Telephone
BN Beeper Number
CP Cellular Phone
EM Electronic Mail
EX Telephone Extension
FX Facsimile
HP Home Phone Number
TE Telephone
WP Work Phone Number",,
2100A.PER06,Communication Number,,,"Phone_Area_Code
Phone_Number","If 2100A.PER05 is HP/WP/TE/CP (Populate any of the one in this order of preference)
First 3 digit will be Phone_Area_Code,
 Rest 7 Digit wil be Phone_Numer"
.,,,,emailAddress,If 2100A.PER05 is EM
2100A.PER07,Communication Number Qualifier,,"AP Alternate Telephone
BN Beeper Number
CP Cellular Phone
EM Electronic Mail
EX Telephone Extension
FX Facsimile
HP Home Phone Number
TE Telephone
WP Work Phone Number",,
2100A.PER08,Communication Number,,,"Phone_Area_Code
Phone_Number","If 2100A.PER07 is HP/WP/TE/CP (Populate any of the one in this order of preference)
First 3 digit will be Phone_Area_Code,
 Rest 7 Digit wil be Phone_Numer"
.,,,,emailAddress,If 2100A.PER07 is EM
2100A.N3,Members Residence street Address,,,,
2100A.N301,Members Address Line 1,,,Postal_Address,
,,,,"AddressTypeCode_Name
AddressTypeCode_Entry","Hardcode
AddressTypeCode_Name  = IndividualAddressType
AddressTypeCode_Entry = 2"
2100A.N302,Members Address Line 2,,,,
2100A.N4,"Members City, State, and Zip Code",,,,
2100A.N401,City Name,,,City_Name,
2100A.N402,State or Province Code,,,State_Code,
2100A.N403,Postal Code,,,"Zip_Code
ZipExtension_Code","1-5 Digits will be Zip_Code
6-9 digit will be ZipExtension_Code"
2100A.N404,Country Code,,,,
2100A.N405,Location Qualifier,,"60 Area
CY County/Parish",,
2100A.N406,Location Identifier,,,County_Code,
2100A.N407,Country Subdivision Code,,,,
2100A.DMG,Member Demographics,,,,
2100A.DMG01,Date Time Period Format Qualifier,,D8 :Date Expressed in Format CCYYMMDD,,
2100A.DMG02,Member Birth Date,Member Birth Date,,Birth_Date,In the format of YYYY-MM-DD
2100A.DMG03,Gender Code,,"F : Female
M :Male
U :Unknown",Gender_Code,
2100A.DMG04,Marital Status Code,,"B :Registered Domestic Partner
D :Divorced
I :Single
M : Married
R :Unreported
S :Separated",Marital_Status_Code,"If DMG04 is
D populate as Divorced,
X populate as  Legally Separated,
M populate as  Married,
B populate as Registered Domestic Partner,
S populate as Separated,
I populate as Single,
W populate as Widowed,
U populate as Unmarried,
R populate as Unreported"
2100A.DMG05,"COMPOSITE RACE OR ETHNICITY
INFORMATION",To send general and detailed information on race or ethnicity,,Ethnicity_codeSetName,Hardcode as RaceOrEthnicityCode
2100A.DMG05-1,Race or Ethnicity Code,,,Ethnicity_1,Populate the first 5 occurences of Race or Ethnicity Code
,,,,Ethnicity_2,
,,,,Ethnicity_3,
,,,,Ethnicity_4,
,,,,Ethnicity_5,
2100A.DMG05-2,Race or Ethnicity Code,,RET : Classification of Race or Ethnicity,,
2100A.DMG05-3,Industry Code,Classification of Race or Ethnicity,,,
2100A.DMG06,Citizenship Status Code,,"1 U.S. Citizen
2 Non-Resident Alien
3 Resident Alien
4 Illegal Alien
5 Alien
6 U.S. Citizen - Non-Resident
7 U.S. Citizen - Resident",Immigration_Status,
2100A.AMT,Member Policy Amounts,,,,
2100A.AMT01,Amount Qualifier Code,,,,
2100A.AMT02,Monetary Amount,,,,
2100A.HLH,Member Health Information,,,,
2100A.HLH01,Health Related Code,Code indicating a specific health situation,"U 	Unknown
N 	None
S 	Substance Abuse
T 	Tobacco Use
X 	Tobacco and Substance Abuse",Smoking_Status,"N=Non Smoker ,
U=Unknown ,
T/X=Smoker"
2100A.HLH02,Height,Member Height,,,
2100A.HLH03,Weight,Member Weight,,,
2100A.LUI,Member Language   Segment Repeat  > 1,A record is inserted into Enr_Member_Language table for each repetition of Member Language segment   (2100A.LUI),Map only the first three occurrence of 2100A.LUI segment.,,
2100A.LUI01,Identification Code Qualifier,,,Language_codeSetName_1,"For the first occurrence of LUI
Hardcode Language_codeSetName_1 = LanguageDomain"
,,,,Language_codeSetName_2,"For the second occurrence of LUI
Hardcode Language_codeSetName_2 = LanguageDomain"
,,,,Language_codeSetName_3,"For the third occurrence of LUI
Hardcode Language_codeSetName_3 = LanguageDomain"
2100A.LUI02,Identification Code,Language Code,,"Language_codeEntry_1
Language_shortName_1","For the first occurrence of LUI
Language_shortName_1  - Refer Crosswalks tab"
,,,,"Language_codeEntry_2
Language_shortName_2","For the second occurrence of LUI
Language_shortName_2  - Refer Crosswalks tab"
,,,,"Language_codeEntry_3
Language_shortName_3","For the third occurrence of LUI
Language_shortName_3  - ReferCrosswalks tab"
2100A.LUI03,Description,Language Description,,,
2100A.LUI04,Language Indicator,Language Use Indicator,"5 = Language Reading
6 = Language Writing
7 = Language Speaking
8 = Native Language","Primary_Language_1
Native_Language_1","For the first occurrence of LUI
If LUI04 = 7, Set  Primary Language_1 as 1.
If LUI04 = 6, Set Native_Language_1 as 1."
,,,,"Primary_Language_2
Native_Language_2","For the second occurrence of LUI
If LUI04 = 7, Set  Primary Language_2 as 1.
If LUI04 = 6, Set Native_Language_2 as 1."
,,,,"Primary_Language_3
Native_Language_3","For the third occurrence of LUI
If LUI04 = 7, Set  Primary Language_3 as 1.
If LUI04 = 6, Set Native_Language_3 as 1."
2100A.LUI05,Language Proficiency Indicator,,,,
2100B — INCORRECT MEMBER NAME Loop Repeat: 1,,,,,
2100B.NM1,Incorrect Member Name,,,,
2100B.NM101,Entity Identifier Code,,70 : Prior Incorrect Insured,,
2100B.NM102,Entity Type Qualifier,,1: Person,,
2100B.NM103,Member Last Name,Prior Incorrect Member Last Name,,,
2100B.NM104,Member First Name,Prior Incorrect Member First Name,,,
2100B.NM105,Member Middle Name,Prior Incorrect Member Middle Name,,,
2100B.NM106,Member Name Prefix,Prior Incorrect Member Name Prefix,,,
2100B.NM107,Member Name Suffix,Prior Incorrect Member Name Suffix,,,
2100B.NM108,ID Code Qualifier,,"34: SSN
ZZ: Mutually Defined",,
2100B.NM109,ID Code,Prior Incorrect Insured Identifier,,,
2100B.DMG,Incorrect Member Demographics,,,,
2100B.DMG01,Date Time Period Format Qualifier,,D8 : Date Expressed in Format CCYYMMDD,,
2100B.DMG02,Member Birth Date,Prior Incorrect Insured Birth Date,,,
2100B.DMG03,Gender Code,Prior Incorrect Insured Gender Code,,,
2100B.DMG04,Marital Status,,,,
2100B.DMG05,Race or Ethnicity,,,,
2100B.DMG06,Citizenship Status Code,,,,
2100B.DMG10,Code List Qualifier Code,,,,
2100B.DMG11,Industry Code,,,,
2100C — MEMBER MAILING ADDRESS Loop Repeat: 1,,,,,
2100C.NM1,MEMBER MAILING ADDRESS,,,,
2100C.NM101,Entity Identifier Code,,31: Postal Mailing Address,,
2100C.NM102,Entity Type Qualifier,,1: Person,,
2100C.N3,MEMBER MAIL STREET ADDRESS,,,,
2100C.N301,Member Address Line,,,Correspondence_Address,
2100C.N302,Member Address Line 2,,,,
2100C.N4,"MEMBER MAIL CITY, STATE, ZIP CODE",,,,
2100C.N401,Member City Name,,,City_Name_correspondence,
2100C.N402,Member State Code,,,State_Code_correspondence,
2100C.N403,Member ZIP Code,,,Zip_Code_correspondence,First 5 digits
2100C.N404,Member Country Code,,,,
2100C.N407,Country Subdivision Code,,,,
2100F — CUSTODIAL PARENT Loop Repeat: 1,,,,,
2100F.NM1,Custodial Parent  Loop Repeat = 1,,,,
2100F.NM101,Entity Identifier Code,,S3 : Custodial Parent,,
2100F.NM102,Entity Type Qualifier,,1 = Person,,
2100F.NM103,Name Last or Organization Name,Custodial Parent Last Name,,,
2100F.NM104,Name First,Custodial Parent  First Name,,,
2100F.NM105,Name Middle,Custodial Parent Middle Name,,,
2100F.NM106,Name Prefix,,,,
2100F.NM107,Name Suffix,,,,
2100F.NM108,Identification Code Qualifier,,"34 = Social Security Number
ZZ Mutually Defined",,
2100F.NM109,Subscriber Identifier,Custodial Parent Identifier,,,
2100F.PER,Custodial Parent  Communications Numbers,A record is inserted into Enr_Communication_Numbers table for Custodial Parent Communications Numbers (2100F.PER),,,
2100F.PER01,Contact Function Code,,PQ : Parent or Guardian,,
2100F.PER02,Name,,,,
2100F.PER03,Communication Number Qualifier,,"AP Alternate Telephone
BN Beeper Number
CP Cellular Phone
EM Electronic Mail
EX Telephone Extension
FX Facsimile
HP Home Phone Number
TE Telephone
WP Work Phone Number",,
2100F.PER04,Communication Number,,,,
2100F.PER05,Communication Number Qualifier,,"AP Alternate Telephone
BN Beeper Number
CP Cellular Phone
EM Electronic Mail
EX Telephone Extension
FX Facsimile
HP Home Phone Number
TE Telephone
WP Work Phone Number",,
2100F.PER06,Communication Number,,,,
2100F.PER07,Communication Number Qualifier,,"AP Alternate Telephone
BN Beeper Number
CP Cellular Phone
EM Electronic Mail
EX Telephone Extension
FX Facsimile
HP Home Phone Number
TE Telephone
WP Work Phone Number",,
2100F.PER08,Communication Number,,,,
2100F.N3,Custodial Parent Street Address,,,,
2100F.N301,Address Information,,,,
2100F.N302,Address Information,,,,
2100F.N4,"Custodial Parent City, State, and Zip Code",,,,
2100F.N401,City Name,Member's City Name,,,
2100F.N402,State or Province Code,State,,,
2100F.N403,Postal Code,Postal Code,,,
2100F.N404,Country Code,"If Country Code Not Equal to USA, then populate element",,,
2100F.N407,Country Subdivision Code,,,,
2100G — RESPONSIBLE PERSON Loop Repeat: 13,,,,,
2100G.NM1,Responsible Person Segment repeat = 1,,,,
2100G.NM101,Entity Identifier Code,,"GD :guardian
QD :responsible party
6Y :Case Manager
9K :Key Person
E1 :Person or Other Entity Legally Responsible for a
Child
J6 :Power of Attorney
LR :Legal Representative

S1 :Parent
TZ :Significant Other
X4 :Spouse
EI :Executor of Estate
EXS : Ex-spouse",,
2100G.NM102,Entity Type Qualifier,,1 = Person,,
2100G.NM103,Name Last or Organization Name,Responsible Person Last Name,,,
2100G.NM104,Name First,Responsible Person  First Name,,,
2100G.NM105,Name Middle,Responsible Person Middle Name,,,
2100G.NM106,Name Prefix,,,,
2100G.NM107,Name Suffix,,,,
2100G.NM108,Identification Code Qualifier,,"34 : Social Security Number
ZZ Mutually Defined",,
2100G.NM109,Subscriber Identifier,Responsible Party Identifier,,,
2100G.PER,Responsible Person Communications Numbers,A record is inserted into Enr_Communication_Numbers table for Responsible person Communications Numbers (2100G.PER),,,
2100G.PER01,Contact Function Code,,RP : Responsible Person,,
2100G.PER03,Communication Number Qualifier,,"AP Alternate Telephone
BN Beeper Number
CP Cellular Phone
EM Electronic Mail
EX Telephone Extension
FX Facsimile
HP Home Phone Number
TE Telephone
WP Work Phone Number",,
2100G.PER04,Communication Number,,,,
2100G.PER05,Communication Number Qualifier,,"AP Alternate Telephone
BN Beeper Number
CP Cellular Phone
EM Electronic Mail
EX Telephone Extension
FX Facsimile
HP Home Phone Number
TE Telephone
WP Work Phone Number",,
2100G.PER06,Communication Number,,,,
2100G.PER07,Communication Number Qualifier,,"AP Alternate Telephone
BN Beeper Number
CP Cellular Phone
EM Electronic Mail
EX Telephone Extension
FX Facsimile
HP Home Phone Number
TE Telephone
WP Work Phone Number",,
2100G.PER08,Communication Number,,,,
2100G.N3,Responsible Person Street Address,,,,
2100G.N301,Address Information,,,,
2100G.N302,Address Information,,,,
2100G.N4,"Responsible Person City, State, and Zip Code",,,,
2100G.N401,City Name,City Name,,,
2100G.N402,State or Province Code,State,,,
2100G.N403,Postal Code,Postal Code,,,
2100G.N404,Country Code,"If Country Code Not Equal to USA, then populate element",,,
2100G.N407,Country Subdivision Code,,,,
2200 — DISABILITY INFORMATION Loop Repeat: >1,,,,,
2200.DSB,Disability,,,,
2200.DSB01,Disability Type Code,,"1 Short Term Disability
2 Long Term Disability
3 Permanent or Total Disability
4 No Disability",,
2200.DSB07,Product/Service ID Qualifier,,"DX: ICD9, ZZ: ICD10/Mutually Defined",,
2200.DSB08,Medical Code Value,,,,
2200.DTP,DISABILITY ELIGIBILITY DATES,,,,
2200.DTP01,Date/Time Qualifier,,"360 Initial Disability Period Start
361 Initial Disability Period End",,
2200.DTP02,Date Time Period Format Qualifier,,D8 Date Expressed in Format CCYYMMDD,,
2200.DTP03,Date Time Period,Disability Eligibility Date,,,
2300 — HEALTH COVERAGE Loop Repeat: 99                                                                 Map only First 8 Occurences of 2300 Loop.,,,,,
2300.HD,Health Coverage Loop Repeat: 99,,,,
2300.HD01,Maintenance Type Code,,"001 Change
002 Delete
021 Addition
024 Cancellation or Termination
025 Reinstatement
026 Correction
030 Audit or Compare
032 Employee Information Not Applicable",HealthCoverageMaintenanceCode_1,For the first occurrence of 2300 loop
,,,,HealthCoverageMaintenanceCode_2,For the 2nd  occurrence of 2300 loop
,,,,HealthCoverageMaintenanceCode_3,For the 3rd  occurrence of 2300 loop
,,,,HealthCoverageMaintenanceCode_4,For the 4th  occurrence of 2300 loop
,,,,HealthCoverageMaintenanceCode_5,For the 5th  occurrence of 2300 loop
,,,,HealthCoverageMaintenanceCode_6,For the 6th  occurrence of 2300 loop
,,,,HealthCoverageMaintenanceCode_7,For the 7th  occurrence of 2300 loop
,,,,HealthCoverageMaintenanceCode_8,For the 8th  occurrence of 2300 loop
2300.HD03,Insurance Line Code,,,InsuranceLineCode_1,For the first occurrence of 2300 loop
,Insurance Line Code,,,InsuranceLineCode_2,For the 2nd  occurrence of 2300 loop
,,,,InsuranceLineCode_3,For the 3rd  occurrence of 2300 loop
,,,,InsuranceLineCode_4,For the 4th  occurrence of 2300 loop
,,,,InsuranceLineCode_5,For the 5th  occurrence of 2300 loop
,,,,InsuranceLineCode_6,For the 6th  occurrence of 2300 loop
,,,,InsuranceLineCode_7,For the 7th  occurrence of 2300 loop
,,,,InsuranceLineCode_8,For the 8th  occurrence of 2300 loop
2300.HD04,Plan Coverage Description,,,,
2300.HD05,Coverage Level Code,,"CHD Children Only
DEP Dependents Only
E1D Employee and One Dependent
E2D Employee and Two Dependents
E3D Employee and Three Dependents
E5D Employee and One or More Dependents
E6D Employee and Two or More Dependents
E7D Employee and Three or More Dependents
E8D Employee and Four or More Dependents
E9D Employee and Five or More Dependents
ECH Employee and Children
EMP Employee Only
ESP Employee and Spouse
FAM Family
IND Individual
SPC Spouse and Children
SPO Spouse Only
TWO Two Party",,
2300.HD09,Yes/No Condition or Response Code,Late Enrollment Indicator,,,
2300.DTP,Health Coverage Dates  Segment repeat = 6,,,,
2300.DTP01,Date Time Qualifier,,"348 Benefit Begin
349 Benefit End
543 Last Premium Paid Date
303 Maintenance Effective
356 Eligibility Begin
357 Eligibility End
343 Premium Paid to Date End",,
