EDILoopID. Segment,EDI Data Element Name,EDI Element Description,Usage,Enumeration Values,Sample values,CSV Field,Claim/Line Level Record,Mapping Logic
2010AB.N401,City Name,Free-form text for city name,R,,DALLAS,,,
2010AB.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,TX,,,
2010AB.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,752677931,,,
2010AB.N404,Country Code,Code identifying the country,S,,,,,
2010AB.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,
Loop 2010AC - — PAY-TO PLAN NAME  (Situational)   Loop Repeat: 1,,,,,,,,
NM1,Segment - NM1 Pay-To Plan Name (Situational),,,,,,,
2010AC.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,PE : Payee,,,,
2010AC.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,2 : Non-Person Entity,,,,
2010AC.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,,,
2010AC.NM108,Identification Code Qualifier,Code designating the system/method of code structure used for Identification Code (67),R,,,,,
2010AC.NM109,Identification Code,Code identifying a party or other code,R,,,,,
N3,Segment - N3 Pay-to Plan Address (Required),,R,,,,,
2010AC.N301,Address Information,Address Information,R,,,,,
2010AC.N302,Address Information,Address Information,S,,,,,
N4,"Segment - N4 Pay-To Plan City, State, ZIP Code (Required)",,R,,,,,
2010AC.N401,City Name,Free-form text for city name,R,,,,,
2010AC.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,,,,
2010AC.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,,,,
2010AC.N404,Country Code,Code identifying the country,S,,,,,
2010AC.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,
REF,Segment - REF Pay-to Plan Secondary Identification (Required),,R,,,,,
2010AC.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,,,,,
2010AC.REF02,Reference Identification,"Reference information as specified
by the Reference Identification Qualifier",R,,,,,
REF,Segment - REF Pay-To Plan Tax Identification Number (Required),,R,,,,,
2010AC.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,EI : Employer’s Identification Number,,,,
2010AC.REF02,Reference Identification,"Reference information as specified
by the Reference Identification Qualifier",R,,,,,
Loop 2000B — SUBSCRIBER HIERARCHICAL LEVEL  (Required)  Loop Repeat: >1,,,,,,,,
HL,Segment - HL Subscriber Hierarchical Level (Required),,,,,,,
2000B.HL01,Hierarchical ID Number,"A unique number assigned by the sender to identify a particular data segment in
a hierarchical structure",R,"2000A.HL01 + 1

Incremented at each new HL segment.",,,,
2000B.HL02,Hierarchical Parent ID Number,"Identification number of the next higher hierarchical data segment that the data
segment being described is subordinate to",R,2000A.HL01,,,,
2000B.HL03,Hierarchical Level Code,Code defining the characteristic of a level in a hierarchical structure,R,22 - Subscriber,,,,
2000B.HL04,Hierarchical Child Code,"Code indicating if there are hierarchical child data segments subordinate to the
level being described.",R,"0 :  HL04 has no subordinate levels  (the subscriber is the patient and there are no dependent claims)
1: HL04 has subordinate levels",,,,
SBR,Segment - SBR Subscriber Information (Required),,,,,,,
2000B.SBR01,Payer Responsibility Sequence Number Code,"Code identifying the insurance carrier’s level of responsibility for a payment of a
claim",R,"P : Primary
S : Secondary
T  : Tertiary",,,,
2000B.SBR02,Individual Relationship Code,Code indicating the relationship between two individuals or entities,S,18 : Self,,Relationship_To_Subscriber_Code,Claim Level,If 2000C loop does not exist.
2000B.SBR03,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,S,,,,,
2000B.SBR04,Name,,S,,,,,
2000B.SBR05,Insurance Type Code,Code identifying the type of insurance policy within a specific insurance program,S,"12 :  Medicare Secondary Working Aged Beneficiary or
Spouse with Employer Group Health Plan
13 : Medicare Secondary End-Stage Renal Disease
Beneficiary in the Mandated Coordination Period
with an Employer’s Group Health Plan
14 : Medicare Secondary, No-fault Insurance including
Auto is Primary
15 : Medicare Secondary Worker’s Compensation
16 : Medicare Secondary Public Health Service (PHS)or
Other Federal Agency
41 : Medicare Secondary Black Lung
42 : Medicare Secondary Veteran’s Administration
43 : Medicare Secondary Disabled Beneficiary Under
Age 65 with Large Group Health Plan (LGHP)
47 : Medicare Secondary, Other Liability Insurance",,,,
2000B.SBR09,Claim Filing Indicator Code,,S,"11 : Other Non-Federal Programs
12 : Preferred Provider Organization (PPO)
13 : Point of Service (POS)
14 : Exclusive Provider Organization (EPO)
15 : Indemnity Insurance
16 : Health Maintenance Organization (HMO) Medicare
Risk
17 : Dental Maintenance Organization
AM :  Automobile Medical
BL :  Blue Cross/Blue Shield
CH :  Champus
CI :  Commercial Insurance Co.
DS :  Disability
FI :  Federal Employees Program
HM :  Health Maintenance Organization
LM :  Liability Medical
MA :  Medicare Part A
MB :  Medicare Part B
MC :  Medicaid
OF :  Other Federal Program
1484 Use code OF when submitting Medicare Part D
claims.
TV Title V
VA Veterans Affairs Plan
WC Workers’ Compensation Health Claim
ZZ Mutually Defined
71 Use Code ZZ when Type of Insurance is not known.",,Claim_Filing_Code,Claim Level,
PAT,Segment - PAT Patient Information (Situational),,,,,,,
2000B.PAT05,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",S,D8 : Date Expressed in Format CCYYMMDD,,,,
2000B.PAT06,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times / Patient Death Date",S,,,,,
2000B.PAT07,Unit or Basis for Measurement Code,"Code specifying the units in which a value is being expressed, or manner in which
a measurement has been taken",S,01 : Actual Pounds,,,,
2000B.PAT08,Weight,Numeric value of weight,S,,,,,
2000B.PAT09,Yes/No Condition or Response Code,Code indicating  whether the patient is pregnant or not pregnant.,S,Y :Yes,,,,
Loop2010BA — SUBSCRIBER NAME (Required) Loop Repeat: 1,,,S,,,,,
NM1,Segment - NM1 Subscriber Name (Required),,,,,,,
2010BA.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,IL :  Insured or Subscriber,,,,
2010BA.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,"1 : Person
2 : Non-Person Entity",,,,
2010BA.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,Subscriber_Name,Claim Level,Subscriber's full name concatenate NM104/5/3/7 (First Middle Last Suffix)
,,,,,,Member_Name,Claim Level,"Only if 2000C loop doesn’t exists.

 concatenate NM104/5/3/7 (First Middle Last Suffix)"
,,Individual last name or organizational name,R,,,Subscriber_Last_Name,Claim Level,
,,,,,,Member_Last_Name,Claim Level,Only if 2000C loop doesn’t exists.
2010BA.NM104,Name First,Individual first name,S,,,Subscriber_First_Name,Claim Level,
,,,,,,Member_First_Name,Claim Level,Only if 2000C loop doesn’t exists.
2010BA.NM105,Name Middle,Individual middle name or initial,S,,,Subscriber_Middle_Name,Claim Level,
2010BA.NM107,Name Suffix,Suffix to individual name,S,,,,,
2010BA.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code",S,"II :  Standard Unique Health Identifier for each Individual in the United States
MI  :  Member Identification Number",,,,
2010BA.NM109,,,,,,Subscriber_Identification_Number,Claim Level,Remove all special characters including space and map only the alphanumeric characters
,,,,,,Member_Identification_Number,Claim Level,"Only if 2000C loop doesn’t exists.

Remove all special characters including space and map only the alphanumeric characters."
,Identification Code,Code identifying a party or other code / Subscriber Primary Identifier,S,,,"Submitted_Subscriber_Id,",Claim Level,Remove all special characters including space and map only the alphanumeric characters
N3,Segment - N3 Subscriber Address (Situational),,,,,,,
2010BA.N301,Address Information,Address Information,R,,4600 W 9TH AVE UNIT 216,Subscriber_Street_Address,Claim Level,
,,,,,,Member_Street_Address,Claim Level,Only if 2000C loop doesn’t exists.
2010BA.N302,Address Information,Address Information,S,,,,,
N4,"Segment - N4 Subscriber City, State, ZIP Code (Situational)",,,,,,,
2010BA.N401,City Name,Free-form text for city name,R,,DENVER,Subscriber_City_Name,Claim Level,
,,,,,,Member_City_Name,Claim Level,Only if 2000C loop doesn’t exists.
2010BA.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,CO,Subscriber_State_Code,Claim Level,
,,,,,,Member_State_Code,Claim Level,Only if 2000C loop doesn’t exists.
2010BA.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,802042991,Subscriber_Postal_Code,Claim Level,
,,,,,,Member_Postal_Code,Claim Level,Only if 2000C loop doesn’t exists.
2010BA.N404,Country Code,Code identifying the country,S,,,,,
2010BA.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,
DMG,Segment - DMG Subscriber Demographic Information (Situational),,,,,,,
2010BA.DMG01,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 :  Date Expressed in Format CCYYMMDD,,,,
2010BA.DMG02,Date Time Period,Date Time Period,R,,19471120,Subscriber_Date_Of_Birth,Claim Level,Format : YYYY-MM-DD
,,,,,,Member_DateOfBirth,Claim Level,"Only if 2000C loop doesn’t exists.

Format : DD-MM-YYYY"
2010BA.DMG03,Gender Code,Code indicating the sex of the individual,R,"F : Female
M : Male",,Subscriber_Gender_Code,Claim Level,
,,,,,,Member_Gender_Code,Claim Level,Only if 2000C loop doesn’t exists.
REF,Segment - REF Subscriber Secondary Identification (Situational),,,,,,,
2010BA.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,SY:Social Security Number,,,,
2010BA.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier /: Subscriber Supplemental Identifier,R,,,,,
REF,Segment - REF Property and Casualty Claim Number (Situational),,,,,,,
2010BA.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,Y4: Agency Claim Number,,,,
2010BA.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier / Property Casualty Claim Number,R,,,,,
PER,Segment - PER Property and Casualty Subscriber Contact Information (Situational),,,,,,,
2010BA.PER01,Contact Function Code,Code identifying the major duty or responsibility of the person or group named,R,IC : Information Contact,,,,
2010BA.PER02,Name,,S,,,,,
2010BA.PER03,Communication Number Qualifier,Code identifying the type of communication number,R,TE :  Telephone,,,,
2010BA.PER04,Communication Number,,R,,,,,
2010BA.PER05,Communication Number Qualifier,Code identifying the type of communication number,S,EX :  Telephone Extension,,,,
2010BA.PER06,Communication Number,,S,,,,,
Loop 2010BB  — PAYER NAME (Required)  Loop Repeat: 1,,,,,,,,
NM1,Segment - NM1 Payer Name (Required),,,,,,,
2010BB.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,PR : Payer,,,,
2010BB.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,2 : Non-Person Entity,,,,
2010BB.NM103,Name Last or Organization Name,,R,,,,,
2010BB.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code",R,"PI :  Payor Identification
XV : Centers for Medicare and Medicaid Services PlanID",,,,
2010BB.NM109,Identification Code,Code identifying a party or other code / Payer Identifier,R,,,,,
N3,Segment - N3 Payer Address (Situational),,,,,,,
2010BB.N301,Address Information,Address Information,R,,,,,
2010BB.N302,Address Information,Address Information,S,,,,,
N4,"Segment - N4 Payer City, State, ZIP Code (Situational)",,,,,,,
2010BB.N401,City Name,Free-form text for city name,R,,,,,
2010BB.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,,,,
2010BB.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,,,,
2010BB.N404,Country Code,Code identifying the country,S,,,,,
2010BB.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,
REF,Segment - REF Payer Secondary Identification (Situational),,,,,,,
2010BB.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"2U : Payer Identification Number
EI :  Employer’s Identification Number",,,,
2010BB.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,,,,
REF,Segment - REF Billing Provider Secondary Identification (Situational),,,,,,,
2010BB.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,,,,,
2010BB.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,,,,
"Loop 2000C - Patient Hierarchical Level (Situational)   Loop Repeat: >1
                In case of dependent claims (if  dependant is the patient ), Loop ID-2000C and Loop ID-2010CA are sent.
                When subscriber is the patient, Loop ID-2000C and Loop ID-2010CA are not sent.",,,,,,,,
NM1,NM1 Patient Name (Required),,,,,,,
2000C.HL01,Hierarchical ID Number,"A unique number assigned by the sender to identify a particular data segment in
a hierarchical structure",R,,,,,
2000C.HL02,Hierarchical Parent ID Number,"Identification number of the next higher hierarchical data segment that the data
segment being described is subordinate to",R,,,,,
2000C.HL03,Hierarchical Level Code,Code defining the characteristic of a level in a hierarchical structure,R,"23 : Dependent (the information
in this HL applies to the patient when the subscriber
and the patient are not the same person)",,,,
2000C.HL04,Hierarchical Child Code,"Code indicating if there are hierarchical child data segments subordinate to the
level being described",R,"0 :  No Subordinate HL Segment in This Hierarchical
Structure",,,,
PAT,Patient information,,,,,,,
2000C.PAT01,Individual Relationship Code,Code indicating the relationship between two individuals or entities,R,"01 : Spouse
19 : Child
20 : Employee
21 : Unknown
39 : Organ Donor
40:  Cadaver Donor
53:  Life Partner
G8 : Other Relationship",,Relationship_To_Subscriber_Code,Claim Level,
2000C.PAT05,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",S,D8 : Date Expressed in Format CCYYMMDD,,,,
2000C.PAT06,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times / Patient Death Date",S,,,,,
2000C.PAT07,Unit or Basis for Measurement Code,"Code specifying the units in which a value is being expressed, or manner in which
a measurement has been taken",S,01 : Actual Pounds,,,,
2000C.PAT08,Weight,Numeric value of weight,S,,,,,
2000C.PAT09,Yes/No Condition or Response Code,Code indicating  whether the patient is pregnant or not pregnant.,S,Y :Yes,,,,
Loop 2010CA - Patient Name (Situational) Loop Repeat: 1,,,,,,,,
NM1,Patient Name (Required),,,,,,,
2010CA.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,QC : Patient,,,,
2010CA.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,1: Person,,,,
2010CA.NM103,Name Last or Organization Name,Patient Last Name,R,,,Member_Name,Claim Level,concatenate NM104/5/3/7 (First Middle Last Suffix)
,,,,,,Member_Last_Name,Claim Level,
2010CA.NM104,Name First,Patient First Name,S,,,Member_First_Name,Claim Level,
2010CA.NM105,Name Middle,Patient Middle Name or Initial,S,,,,,
2010CA.NM107,Name Suffix,Patient Name Suffix,S,,,,,
N3,Segment - N3 Patient Address (Situational),,,,,,,
2010CA.N301,Address Information,Patient Address Line,R,,,Member_Street_Address,Claim Level,
2010CA.N302,Address Information,Patient Address Line,S,,,,,
N4,"Segment - N4 Patient City, State, ZIP Code (Situational)",,,,,,,
2010CA.N401,City Name,Free-form text for city name,R,,,Member_City_Name,Claim Level,
2010CA.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,,Member_State_Code,Claim Level,
