Sr No,CSV Field,Claim Level/Line Level,Data Type,Length,R/S
124,Priniciple_Procedure_Date,Claim Level,VARCHAR,10,S
125,Other_Proedurecode1,Claim Level,VARCHAR,30,S
126,Other_Proeduredate1,Claim Level,VARCHAR,10,S
127,Other_Proedurecode2,Claim Level,VARCHAR,30,S
128,Other_Proeduredate2,Claim Level,VARCHAR,10,S
129,Other_Proedurecode3,Claim Level,VARCHAR,30,S
130,Other_Proeduredate3,Claim Level,VARCHAR,10,S
131,Other_Proedurecode4,Claim Level,VARCHAR,30,S
132,Other_Proeduredate4,Claim Level,VARCHAR,10,S
133,Occurrencespan_code1,Claim Level,VARCHAR,30,S
134,Occurrencespan_Startdate1,Claim Level,VARCHAR,10,S
135,Occurrencespan_Enddate1,Claim Level,VARCHAR,10,S
136,Occurrencespan_code2,Claim Level,VARCHAR,30,S
137,Occurrencespan_Startdate2,Claim Level,VARCHAR,10,S
138,Occurrencespan_Enddate2,Claim Level,VARCHAR,10,S
139,Occurrencespan_code3,Claim Level,VARCHAR,30,S
140,Occurrencespan_Startdate3,Claim Level,VARCHAR,10,S
141,Occurrencespan_Enddate3,Claim Level,VARCHAR,10,S
142,Occurrencespan_code4,Claim Level,VARCHAR,30,S
143,Occurrencespan_Startdate4,Claim Level,VARCHAR,10,S
144,Occurrencespan_Enddate4,Claim Level,VARCHAR,10,S
145,Eventoccurence_Code1,Claim Level,VARCHAR,30,S
146,Eventoccurence_Date1,Claim Level,VARCHAR,10,S
147,Eventoccurence_Code2,Claim Level,VARCHAR,30,S
148,Eventoccurence_Date2,Claim Level,VARCHAR,10,S
149,Eventoccurence_Code3,Claim Level,VARCHAR,30,S
150,Eventoccurence_Date3,Claim Level,VARCHAR,10,S
151,Value_Code1,Claim Level,VARCHAR,30,S
152,Value_Code_Amount1,Claim Level,VARCHAR,18,S
153,Value_Code2,Claim Level,VARCHAR,30,S
154,Value_Code_Amount2,Claim Level,VARCHAR,18,S
155,Value_Code3,Claim Level,VARCHAR,30,S
156,Value_Code_Amount3,Claim Level,VARCHAR,18,S
157,Condition_Code1,Claim Level,VARCHAR,30,S
158,Condition_Code2,Claim Level,VARCHAR,30,S
159,Condition_Code3,Claim Level,VARCHAR,30,S
160,Condition_Code4,Claim Level,VARCHAR,30,S
161,Condition_Code5,Claim Level,VARCHAR,30,S
162,Condition_Code6,Claim Level,VARCHAR,30,S
163,Release_Information_Ind,Claim Level,VARCHAR,1,S
164,Benefit_Assignment_Indicator,Claim Level,VARCHAR,1,S
165,Payer_Name,Claim Level,VARCHAR,60,S
166,Number_of_service_lines,Claim Level,VARCHAR,,S
167,Original_Line_Number,Line Level,VARCHAR,6,S
168,Revenue_Code,Line Level,VARCHAR,48,S
169,Service_Code,Line Level,VARCHAR,48,S
170,Service_code_modifier_1,Line Level,VARCHAR,2,S
171,Service_code_modifier_2,Line Level,VARCHAR,2,S
172,Service_code_modifier_3,Line Level,VARCHAR,2,S
173,Service_code_modifier_4,Line Level,VARCHAR,2,S
174,NDCCode_Qualifier,Line Level,VARCHAR,2,S
175,NDC_Code,Line Level,VARCHAR,48,S
176,NDC_Quantity,Line Level,VARCHAR,15,S
177,NDC_measurement_Type,Line Level,VARCHAR,2,S
178,Service_Date,Line Level,VARCHAR,10,S
179,Service_Unit_Count,Line Level,VARCHAR,15,S
180,Total_Charge_Amount,Line Level,VARCHAR,18,S
181,Endofrecord,Claim Level/Line level,VARCHAR,3,S
