Index,Field Name,Data Type,Mandatory?,Start position,End Position,Length,Format/Description,Sample Value,Mapped to XSD element,XML tag,Mapping Comments,DESCRIPTION,Final Review Comments
1.014,Draft_date,Date,,470,477,8,YYYYMMDD,,updatePaymentStatusIBRequestRoot/updatePaymentStatusRecord/updatePaymentStatus/additionalPaymentInformation/externalPaymentDate,,This field mapping should be only for PNC vendor,Date of the payment. Used to post the transaction to the correct period in HRP.,
1.015,Draft_Amount,Number,,478,493,16,,,,,,Amount of the payment. Used to post the transaction to the correct value in HRP.,
1.016,Payee_Name,String,,494,543,50,,,,,,Name/address of the provider/entity being paid. Used for payee validation and reporting in HRP.,
1.017,Payee_DBA,String,,544,593,50,,,,,,"Alternate or trade name under which the supplier operates, used for identification when different from the legal business name.",
1.018,Payee_Address,String,,594,643,50,,,,,,Name/address of the provider/entity being paid. Used for payee validation and reporting in HRP.,
1.019,Payee_CSZ,String,,644,693,50,,,,,,"Represents the City, State, and ZIP code portion of the supplier’ address.",
1.020,Payment_Week,String,,694,697,4,,,,,,Payment batch/week identifier from the payment vendor.,
1.021,First_Notice,String,,698,713,16,,,,,,Regulatory/compliance notifications for undeliverable payments or pending actions.,
1.022,Second_Notice,String,,714,729,16,,,,,,Regulatory/compliance notifications for undeliverable payments or pending actions.,
1.023,Final_Notice,String,,730,745,16,,,,,,Regulatory/compliance notifications for undeliverable payments or pending actions.,
1.024,W9_Message_Flag,String,,746,748,3,,,,,,Indicates if a W-9 form update is required for this provider.,
1.025,Return_Addr_Line3,String,,749,798,50,,,,,,"Payer/Issuer (Recipient) return address (used for checks or undeliverable mail processing, regulatory compliance).",
1.026,Payment_Type,String,M,799,799,1,Refer Payment type tab,,updatePaymentStatusIBRequestRoot/updatePaymentStatusRecord/customParameters/paymentTypeCode,,,"Defines if the payment was via Paper Draft, EFT, or Zero Pay RA.",
1.027,Form Code,String,M,800,819,20,Refer Payment type tab,,updatePaymentStatusIBRequestRoot/updatePaymentStatusRecord/customParameters/formCode,,,Document Delivery Type,
1.028,PAY_TO_NPI,String,,820,869,50,,,,,,National Provider Identifier (NPI) for the receiving provider.,
Record Type 2 Claim Level Information,,,,,,,,,,,,Description,
2.001,Record_Type,,,1,4,4,"""0002"". One for each claim",,,,,0002. One for each claim,
2.002,EPPID,String,M,5,54,50,,,updatePaymentStatusIBRequestRoot/updatePaymentStatusRecord/recordIdentifierFromSource,,,Unique document ID assigned by the payment vendor for tracking the payment.,
2.003,claim_number,String,,55,104,50,,,,,,Unique identifier of the claim in payer/vendor system.,
2.004,TPA_Number,String,,105,109,5,,,,,,Third Party Administrator identifier,
2.005,Patient_First_Name,String,,110,139,30,,,,,,Patient and insured party information.,
2.006,Ppatient_mi,String,,140,140,1,,,,,,The middle initial of the patient’s name associated with the claim.,
2.007,Patient_last_Name,String,,141,170,30,,,,,,Last name of the patient,
2.008,Insured_First_name,String,,171,200,30,,,,,,Patient and insured party information.,
2.009,Insured_Last_Name,String,,201,230,30,,,,,,Patient and insured party information.,
2.010,Certificate_number,String,,231,245,15,,,,,,Insurance policy or certificate identifier.,
2.011,Patient_account_Number,String,,246,265,20,,,,,,Provider-assigned account number for the patient.,
2.012,Service_Provider_name,String,,266,300,35,,,,,,Name of the servicing provider.,
2.013,Network_Name,String,,301,325,25,"Right-justified, zero-filled",,updatePaymentStatusIBRequestRoot/updatePaymentStatusRecord/customParameters/networkName,,we pass Transaction number from HRP in 835.,Passed-through transaction or network reference,
2.014,Payer_claim_number,String,,326,375,50,,,,,,Claim ID from the payer’s system.,
2.015,Check_number,Number,M,376,387,12,,,updatePaymentStatusIBRequestRoot/updatePaymentStatusRecord/updatePaymentStatus/criteria/checkNumber,,"For the non-issued payment, the Check number field will be 0000",Corresponds to the 001.EPC_Draft_Number.,
2.016,Group_Number,String,,388,397,10,,,,,,Group policy number for insured party.,
2.017,Customer_Service_number,String,,398,422,25,,,,,,Vendor customer support number for inquiries on this claim/payment.,
2.018,TOTAL_Billed_Amount,Number,,423,438,16,,,,,,"The total amount originally billed by the provider to the payer (insurance, TPA) for the claim, before any adjustments, reductions, or payments are applied.",
2.019,TOTAL_Adjustments_Amount,Number,,439,454,16,,,,,,The total amount reduced from the original billed amount due to various adjustments made by the payer before calculating the final payment.,
2.020,TOTAL_Net_Contract_Amount,Number,,455,470,16,,,,,,The total amount allowed for the claim after applying contract rates/agreements between the provider and the payer,
2.021,TOTAL_Patient_Obligation,Number,,471,486,16,,,,,,"The portion of the total claim amount that the patient is responsible to pay, after the payer (insurance) has applied contractual adjustments and calculated their portion of the payment.",
2.022,TOTAL_Net_Payment_Amount,Number,M,487,502,16,"Right-justified, zero-filled",,updatePaymentStatusIBRequestRoot/updatePaymentStatusRecord/updatePaymentStatus/criteria/checkAmount,,"1. Total of netpayment amount of 0002 records (which has same Check Number/Payment ID) should be equal to Type 0001 record EPC Draft amount fields
2. Last 2 digits are for decimal point in amount fields",Amount actually paid for this claim. These add up to the 001.Draft_Amount.,
2.023,COB_Amount,Number,,503,518,16,,,,,,"The amount paid by another insurance or payer before this payment was made.
It applies when the patient has multiple insurances (e.g., primary, secondary insurers).",
2.024,Note_Number,Number,,519,534,16,,,,,,"Associated with remark or explanation codes (e.g., adjustment reason codes).",
2.025,Provider_Discount,Number,,535,550,16,,,,,,The discount agreed upon between the provider and the payer (insurance/TPA) outside of contractual adjustments.,
2.026,Other_Adjustment,Number,,551,566,16,,,,,,"Represents any additional adjustments applied to the claim that do not fall under standard categories like contractual adjustments, provider discounts, or COB.",
2.027,"Customer_Defined_Field ""04""",String,,567,581,15,Used for customized applications,,,,,Used for customized applications,
2.028,"Customer_Defined_Field ""10""",String,,582,631,50,Used for customized applications,,,,,Used for customized applications,
2.029,Filler,String,,632,799,168,,,,,,The Filler field is simply unused or reserved space in the record layout.,
2.030,PaymentID,String,M,800,849,50,Unique identifier from client’s system if available and sent.,,updatePaymentStatusIBRequestRoot/updatePaymentStatusRecord/customParameters/paymentId,,,Unique identifier from client’s system if available and sent.,
2.031,pclaim_payer_payment_Date,Date,,850,857,8,YYYYMMDD - Required for all payment claims (Payer Check Date),,,,,YYYYMMDD - Required for all payment claims (Payer Check Date),
2.032,PClaimReceiptDate,Date,,858,865,8,YYYYMMDD- Pass through when available (Payer Claim received Date),,,,,YYYYMMDD- Pass through when available (Payer Claim received Date),
2.033,Original File ID,String,,866,915,50,,,,,,A unique identifier representing the source file from which the claim record originated.,
