̥,Element Name,Usage,Enumeration Values,Hard Code / Default Value,XML Field,Mapping Logic,Notes/Comments
2000B.SBR01,Payer Responsibility Sequence Number Code,R,"A- Payer Responsibility Four
B- Payer Responsibility Five
C- Payer Responsibility Six
D- Payer Responsibility Seven
E- Payer Responsibility Eight
F- Payer Responsibility Nine
G- Payer Responsibility Ten
H- Payer Responsibility Eleven
P- Primary
S- Secondary
T- Tertiary
U- Unknown",,"OtherInsuranceCount = Count(/claim/otherInsuranceInfoClaimList/otherInsuranceInfoClaimInfo/companyName != """")

If OtherInsuranceCount = 0
 Populate ""S""
Else If OtherInsuranceCount = 1
 Populate ""T""
Else If OtherInsuranceCount = 2
 Populate ""A""
Else If OtherInsuranceCount = 3
 Populate ""B""",,
2000B.SBR02,Individual Relationship Code,S,18-Self,"Hardcode as ""18""",,,
2000B.SBR03,Reference Identification,S,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/subscriptionInformation/groupNumber,,
2000B.SBR04,Name,S,,,,,No mapping in product.. Took from GHC
2000B.SBR09,Claim Filing Indicator Code,S,"11- Other Non-Federal Programs
12- Preferred Provider Organization (PPO)
13- Point of Service (POS)
14- Exclusive Provider Organization (EPO)
15- Indemnity Insurance
16- Health Maintenance Organization (HMO) Medicare Risk
17- Dental Maintenance Organization
AM- Automobile Medical
BL- Blue Cross/Blue Shield
CH- Champus
CI- Commercial Insurance Co.
DS- Disability
FI- Federal Employees Program
HM- Health Maintenance Organization
LM- Liability Medical
MA- Medicare Part A
MB- Medicare Part B
MC- Medicaid
OF- Other Federal Program
TV- Title V
VA- Veterans Affairs Plan
WC- Workers' Compensation Health Claim
ZZ- Mutually Defined",,"getClaimDetailsByHccIDResponseRecord/identifiers/identifier/value
if
getClaimDetailsByHccIDResponseRecord/identifiers/identifier/key is equal to ""CLAIM_FILING_INDICATOR_CODE",,Pull  CLAIM_FILING_CODE from CLAIM FACT
,Loop 2010BA (Required),,,,,,
,Segment - NM1 Subscriber Name (Required),,,,,,
2010BA.NM101,Entity Identifier Code,R,IL- Insured Or Subscriber,IL,,,
2010BA.NM102,Entity Type Qualifier,R,"1- Person Entity
2- Non Person Entity
Determine this value of ""1"" or ""2"" based on the next 2 fields.  If there is no First Name to pass, then assume this is a ""2"" for Non-Person Entity",1,,,
2010BA.NM103,Name Last or Organization Name,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/subscriptionInformation/subscriber/lastName,,
2010BA.NM104,Name First,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/subscriptionInformation/subscriber/firstName,,
2010BA.NM105,Name Middle,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/subscriptionInformation/subscriber/middleName,,
2010BA.NM107,Name Suffix,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/subscriptionInformation/subscriber/nameSuffix,,
2010BA.NM108,Identification Code Qualifier,S,"MI- Member Identification Number
II- Standard Unique Health Identifier for each Individual in the United States",MI,,,
2010BA.NM109,Identification Code,S,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/subscriptionInformation/hccId,,
,Segment - N3 Subscriber Address (Situational),,,,,,
2010BA.N301,Address Information,R,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/subscriptionInformation/correspondenceAddress/address,,
2010BA.N302,Address Information,S,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/subscriptionInformation/correspondenceAddress/address2,,
,"Segment - N4 Subscriber City, State, ZIP Code (Situational)",,,,,,
2010BA.N401,City Name,R,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/subscriptionInformation/correspondenceAddress/city,,
2010BA.N402,State or Province Code,S,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/subscriptionInformation/correspondenceAddress/stateCode,,
2010BA.N403,Postal Code,S,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/subscriptionInformation/correspondenceAddress/zipCode + ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/subscriptionInformation/correspondenceAddress/zipExtension,,
2010BA.N404,Country Code,S,,Map only when not 'US',ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/subscriptionInformation/correspondenceAddress/countryCode,,
2010BA.N407,Country Subdivision Code,S,,,,,
,Segment - DMG Subscriber Demographic Information (Situational),,,,,,
2010BA.DMG01,Date Time Period Format Qualifier,R,,D8,,,
2010BA.DMG02,Date Time Period,R,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/subscriptionInformation/subscriber/birthDate,"Remove""-""","Remove""-"""
2010BA.DMG03,Gender Code,R,"F Female
M Male
U Uknown",,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/subscriptionInformation/subscriber/genderCode,,
Segment - REF Subscriber Secondary Identification (Situational),,,,,,,
2010BA.REF01,Reference Identification Qualifier,R,,,,,
2010BA.REF02,Reference Identification,R,,,,,
,Segment - REF Property and Casualty Claim Number (Situational),,,,,,
2010BA.REF01,Reference Identification Qualifier,R,,,,,
2010BA.REF02,Reference Identification,R,,,,,
,Loop 2010BB (Required),,,,,,
,Segment - NM1 Payer Name (Required),,,,,,
2010BB.NM101,Entity Identifier Code,R,PR- Payer,PR,,,
2010BB.NM102,Entity Type Qualifier,R,2-Non Person Entity,2,,,
2010BB.NM103,Name Last or Organization Name,R,HealthPlan,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/payerInformation/hicName,,
2010BB.NM108,Identification Code Qualifier,R,"PI :  Payor Identification
XV : Centers for Medicare and Medicaid Services PlanID",XV,,,
2010BB.NM109,Identification Code,R,,,claimDetails/claimExtract/subscriptionInformation/topAccount/id,,
,Segment - N3 Payer Address (Situational),,,,,,
2010BB.N301,Address Information,R,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/payerInformation/hicAddress/address,,
2010BB.N302,Address Information,S,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/payerInformation/hicAddress/address2,,
,"Segment - N4 Payer City, State, ZIP Code (Situational)",,,,,,
2010BB.N401,City Name,R,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/payerInformation/hicAddress/city,,
2010BB.N402,State or Province Code,S,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/payerInformation/hicAddress/stateCode,,
2010BB.N403,Postal Code,S,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/payerInformation/hicAddress/zipCode + ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/payerInformation/hicAddress/zipExtension,,
2010BB.N404,Country Code,S,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/payerInformation/hicAddress/countryCode,,
2010BB.N407,Country Subdivision Code,S,,,,,
,Segment - REF Payer Secondary Identification (Situational),,,,,,
2010BB.REF01,Reference Identification Qualifier,R,,,,,
2010BB.REF02,Reference Identification,R,,,,,
,Segment - REF Billing Provider Secondary Identification (Situational),,,,,,
2010BB.REF01,Reference Identification Qualifier,R,,,,,
2010BB.REF02,Reference Identification,R,,,,,
,Loop 2000C - Patient Hierarchical Level (Situational),,,,,,
,Segment HL -  Patient Hierarchical Level (Situational),,,,,,
2000C.HL01,Hierarchical ID Number,R,,System Generated,,,
2000C.HL02,Hierarchical Parent ID Number,R,,2000B.HL01,,,
2000C.HL03,Hierarchical Level Code,R,,23,,,
2000C.HL04,Hierarchical Child Code,R,,0,,,
,Segment PAT - Patient information,,,,,,
2000C.PAT01,Individual Relationship Code,R,"01 : Spouse
19 : Child
18:self
20 : Employee
21 : Unknown
39 : Organ Donor
40:  Cadaver Donor
53:  Life Partner
G8 : Other Relationship",,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/patientInformation/relationshipToSubscriber,Need conversion copy,
,Loop 2010CA - Patient Name (Situational),,,,,,
,Segment - NM1 Patient Name (Required),,,,,,
2010CA.NM101,Entity Identifier Code,R,QC- Patient,QC,,,
2010CA.NM102,Entity Type Qualifier,R,1- Person,1,,,
2010CA.NM103,Name Last or Organization Name,R,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/patientInformation/member/lastName,,
2010CA.NM104,Name First,S,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/patientInformation/member/firstName,,
2010CA.NM105,Name Middle,S,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/patientInformation/member/middleName,,
