EDI LoopID.Segment,EDI Data Element Name,EDI Element Description,Usage,Enumeration Values,Sample values,"Mapped to
Integration PlusTable Name",Column Name,Column Desc,Comments
2010CA.DMG03,Gender Code,Code indicating the sex of the individual,R,"F: Female
M :Male
U : Unknown",,SUBMITTED_CLAIM_PATIENT_DETAILS,PATIENT_GENDER,,
Segment - Property and Casuality Claim Number (Situational),,,,,,,,,
2010CA.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,Y4 Agency Claim Number,,,,,
2010CA.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,,,,,
"Loop 2300  - CLAIM INFORMATION(Required)  Loop Repeat: 100
       When patient is the subscriber : The claim information(Loop ID-2300), is placed following Loop ID-2010BB in the Subscriber Hierarchical Level(HL) and patient information is sent in Loop ID-2010BA.
       When patient is the dependent :  The claim information(Loop ID-2300),is placed following Loop ID-2010CA  in the Patient HL and the patient information is sent in Loop ID-2010CA .",,,,,,,,,
Segment - CLM Claim information (Situational),,,,,,,,,
2300.CLM01,Claim Submitter's Identifier,Identifier used to track a claim from creation by the health care provider through payment,R,,<patientControlNumber> 1003795048I7791539,SUBMITTED_CLAIM,CLAIM_SUBMITTERS_IDENTIFIER,,
2300.CLM02,Monetary Amount,"Monetary Amount   CLM02 is the total amount of all submitted charges of service segments
for this claim.",R,,214.25,SUBMITTED_CLAIM,CLAIM_AMOUNT,,
2300.CLM05.01,Facility Code Value,"Code identifying where services were, or may be, performed; the first
and second positions of the Uniform Bill Type Code for Institutional
Services or the Place of Service Codes for Professional or Dental
Services.",R,,,SUBMITTED_CLAIM,CLAIM_FACILITY_CODE,,
2300.CLM05.02,Facility Code Qualifier,Code identifying the type of facility referenced,R,A :Uniform Billing Claim Form Bill Type,,,,,
2300.CLM05.03,Claim Frequency Type Code,"code specifying the frequency of the claim; this is the third position of
the Uniform Billing Claim Form Bill Type",R,1,,SUBMITTED_CLAIM,CLAIM_FREQUENCY_TYPE,,
2300.CLM07,Provider Accept Assignment Code,Code indicating whether the provider accepts assignment,R,"A : Assigned
B : Assignment Accepted on Clinical Lab Services Only
C :  Not Assigned",,SUBMITTED_CLAIM,PROVIDER_ACCEPT_ASSIGNEMNT_CODE,,
2300.CLM08,Yes/No Condition or Response Code,Benefits Assignment Certification Indicator,R,"Y : Yes
N : No
W :  Not Applicable",,SUBMITTED_CLAIM,BENEFIT_ASSIGNMENT_IND,,
2300.CLM09,Release of Information Code,"Code indicating whether the provider has on file a signed statement by the patient
authorizing the release of medical data to other organizations",R,"I : Informed Consent  to Release Medical Information for Conditions or Diagnoses
Y :Yes, Provider has a Signed Statement Permitting
Release of Medical Billing Data Related to a Claim",,SUBMITTED_CLAIM,RELEEASE_INFO_CODE,,
2300.CLM20,Delay Reason Code,Code indicating the reason why a request was delayed,S,,,,,,
Segment - DTP Discharge Date/Hour (Situational),,,,,,,,,
2300.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,096 Discharge,,,,,
2300.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,"D8 Date Expressed in Format CCYYMMDD
DT Date and Time Expressed in Format
CCYYMMDDHHMM",,,,,
2300.DTP03,Date Time Period,Date Time Period,R,HH:MM,,SUBMITTED_CLAIM,DISCHARGE_DATE,,
Segment - DTP Statement Dates (Required),,,,,,,,,
2300.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,434 Statement,,,,,
2300.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,RD8: Range of Dates Expressed in Format CCYYMMDDCCYYMMDD,,,,,
2300.DTP03,Date Time Period,Date Time Period,R,,20210311-20210311,SUBMITTED_CLAIM,STATEMENT_DATE,,
Segment - DTP Admission Date/Hour (Situational),,,,,,,,,
2300.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,435 :Admission,,,,,
2300.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 :  Date Expressed in Format CCYYMMDD,,,,,
2300.DTP03,Date Time Period,Date Time Period,R,"If D8 - CCYYMMDD
If DT- CCYYMMDDHH",,SUBMITTED_CLAIM,ADMISSION_DATE,,
Segment - DTP Date - Repricer Received Date (Situational),,,,,,,,,
2300.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,050 Received,,,,,
2300.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 :  Date Expressed in Format CCYYMMDD,,,,,
2300.DTP03,Date Time Period,Date Time Period,R,"If D8 - CCYYMMDD
If DT- CCYYMMDDHH",,,,,
Segment - CL1 Institutional Claim Code (Required),,,,,,,,,
2300.CL101,Admission Type Code,Code indicating the priority of this admission,R,"1-Emergency
2-Urgent
3-Elective",,SUBMITTED_CLAIM,ADMISSION_TYPE_CODE,,
2300.CL102,Admission Source Code,Code indicating the source of this admissio,S,,,SUBMITTED_CLAIM,ADMISSION_SOURCE_CODE,,
2300.CL103,Patient Status Code,Code indicating patient status as of the “statement covers through date,R,,,SUBMITTED_CLAIM,PATIENT_STATUS_CODE,,
Segment - PWK Claim Supplemental Information (Situational),,,,,,,,,
2300.PWK01,Report Type Code,"Code indicating the title or contents of a document, report or supporting item",R,"03 Report Justifying Treatment Beyond Utilization
Guidelines
04 Drugs Administered
05 Treatment Diagnosis
06 Initial Assessment
07 Functional Goals
08 Plan of Treatment
09 Progress Report
10 Continued Treatment
11 Chemical Analysis
13 Certified Test Report
15 Justification for Admission
21 Recovery Plan
A3 Allergies/Sensitivities Doc",,,,,
2300.PWK02,Report Transmission Code,"Code defining timing, transmission method or format by which reports are to be
sent",R,"AA Available on Request at Provider Site
179 This means that the additional information is not
being sent with the claim at this time. Instead, it is
available to the payer (or appropriate entity) at their
request.
BM By Mail
EL Electronically Only
180 Indicates that the attachment is being transmitted in
a separate X12 functional group.
EM E-Mail
FT File Transfe",,,,,
2300.PWK05,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code (67)",S,,,,,,
2300.PWK06,Identification Code,Code identifying a party or other code,S,,,,,,
Segment - CN1 Contract Information (Situational),,,,,,,,,
2300.CN101,Contract Type Code,Code identifying a contract type,R,"01 Diagnosis Related Group (DRG)
02 Per Diem
03 Variable Per Diem
04 Flat
05 Capitated
06 Percent
09 Other",,SUBMITTED_CLAIM,CONTRACT_TYPE_CODE,,
2300.CN102,Monetary Amount,Monetary amount,S,,,SUBMITTED_CLAIM,CONTRACT_AMOUNT,,
2300.CN103,"Percent, Decimal Format","Percent given in decimal format (e.g., 0.0 through 100.0 represents 0% through
100%)",S,,,SUBMITTED_CLAIM,CONTRACT_PERCENTAGE,,
2300.CN104,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",S,,,,,,
2300.CN105,Terms Discount Percent,"Terms discount percentage, expressed as a percent, available to the purchaser if
an invoice is paid on or before the Terms Discount Due Date",S,,,,,,
2300.CN106,Version Identifier,"Revision level of a particular format, program, technique or algorithm",S,,,,,,
Segment - AMT Patient Estimated Amount Due (Situational),,,,,,,,,
2300.AMT01,Amount Qualifier Code,Code to qualify amount,R,F3 Patient Responsibility - Estimated,,,,,
2300.AMT02,Monetary Amount,Monetary Amount,R,,,SUBMITTED_CLAIM,PATIENT_ESTIMATED_AMOUNT_DUE,,
Segment - REF Service Authorization Exception Code (Situational),,,,,,,,,
2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,4N :Special Payment Reference Number,,,,,
2300.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,"1 Immediate/Urgent Care
2 Services Rendered in a Retroactive Period
3 Emergency Care
4 Client has Temporary Medicaid
5 Request from County for Second Opinion to Determine
if Recipient Can Work
6 Request for Override Pending
7 Special Handling",,,,,
Segment - REF Referral Number (Situational),,,,,,,,,
2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,9F Referral Number,,,,,
2300.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,,
Segment - REF Prior Authorization (Situational),,,,,,,,,
2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,G1 : Prior Authorization Number,,,,,
2300.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,SUBMITTED_CLAIM,PRIOR_AUTHORIZATION,,
Segment - REF Payer Claim Control Number (Situational),,,,,,,,,
2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,F8 Original Reference Number,,,,,
2300.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,SUBMITTED_CLAIM,HCC_CLAIM_NUMBER,,
Segment - REF Repriced Claim Number (Situational),,,,,,,,,
2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,9A-Repriced Claim Reference Number,,,,,
2300.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,,
Segment - REF Adjusted Repriced Claim Number (Situational),,,,,,,,,
2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,9C :  Adjusted Repriced Claim Reference Number,,,,,
2300.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,,
Segment - REF Investigational Device Exemption Number (Situational),,,,,,,,,
2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,LX : Qualified Products List,,,,,
2300.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,,
Segment - REF Claim Identification For Transmission Intermediaries (Situational),,,,,,,,,
2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,D9 : Claim Number,,,,,
2300.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,SUBMITTED_CLAIM,CLEARINGHOUSE_TRACE_NUMBER,,
Segment - REF Auto Accident State (Situational),,,,,,,,,
2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,LU Location Number,,,,,
2300.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,SUBMITTED_CLAIM,AUTO_ACCIDENT_STATE,,
Segment - REF Medical Record Number (Situational),,,,,,,,,
2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,EA Medical Record Identification Number,,,,,
2300.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,SUBMITTED_CLAIM,MEDICAL_RECORD_NUMBER,,
Segment - REF Demonstration Project Identifier (Situational),,,,,,,,,
2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,P4 -Project Code,,,,,
2300.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,,
Segment - REF Peer Review Organization (PRO) Approval Number (Situational),,,,,,,,,
2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,G4-Peer Review Organization (PRO) Approval Number,,,,,
2300.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,,,,
Segment - K3 File Information (Situational),,,,,,,,,
2300.K301,Fixed Format Information,Data in fixed format agreed upon by sender and receiver,R,,,,,,
Segment - NTE Claim Note (Situational),,,,,,,,,
2300.NTE01,Note Reference Code,Code identifying the functional area or purpose for which the note applies,R,"ADD : Additional Information
CER : Certification Narrative
DCP : Goals, Rehabilitation Potential, or Discharge Plans",,,,,
2300.NTE02,Description,A free-form description to clarify the related data elements and their content  /  Claim Note Text,R,,,SUBMITTED_CLAIM,CLAIM_NOTE,,
Segment - NTE Billing Note (Situational),,,,,,,,,
2300.NTE01,Note Reference Code,Code identifying the functional area or purpose for which the note applies,R,"ADD : Additional Information
CER : Certification Narrative
DCP : Goals, Rehabilitation Potential, or Discharge Plans",,,,,
2300.NTE02,Description,A free-form description to clarify the related data elements and their content  /  Claim Note Text,R,,,SUBMITTED_CLAIM,BILLING_NOTE,,
Segment - CRC EPSDT Referral (Situational),,,,,,,,,
2300.CRC01,Code Category,Specifies the situation or category to which the code applies,R,"E1 : Spectacle Lenses
E2 : Contact Lenses
E3 : Spectacle Frames",,,,,
2300.CRC02,Yes/No Condition or Response Code,Certification Condition Indicator,R,"Y: Yes
N:NO",,SUBMITTED_CLAIM_AMBULANCE_CERTIFICATION,CONDITION_CODE_APPLIES_INDICATOR,,
2300.CRC03,Condition Indicator,Code indicating a condition,R,"L1 : General Standard of 20 Degree or .5 Diopter Sphere or Cylinder Change Met
L2 : Replacement Due to Loss or Theft L3 : Replacement Due to Breakage or Damage
L4 : Replacement Due to Patient Preference
 L5 : Replacement Due to Medical Reason",,SUBMITTED_CLAIM_AMBULANCE_CERTIFICATION,CONDITION_CODE_1,,
2300.CRC04,Condition Indicator,Code indicating a condition,S,"AV Available - Not Used
652 Patient refused referral.
NU Not Used
653 This conditioner indicator must be used when the
submitter answers “N” in CRC02.
S2 Under Treatment
654 Patient is currently under treatment for referred
diagnostic or corrective health problem.
ST New Services Requested
655 Patient is referred to another provider for diagnostic
or corrective treatment for at least one health
problem identified during an initial or periodic
screening service (not including dental referrals).
OR
Patient is scheduled for another appointment with
screening provider for diagnostic or corrective
treatment for at least one health problem identified
during an initial or periodic screening service (not
including dental referrals).",,SUBMITTED_CLAIM_AMBULANCE_CERTIFICATION,CONDITION_CODE_2,,
2300.CRC05,Condition Indicator,Code indicating a condition,S,"AV Available - Not Used
652 Patient refused referral.
NU Not Used
653 This conditioner indicator must be used when the
submitter answers “N” in CRC02.
S2 Under Treatment
654 Patient is currently under treatment for referred
diagnostic or corrective health problem.
ST New Services Requested
655 Patient is referred to another provider for diagnostic
or corrective treatment for at least one health
problem identified during an initial or periodic
screening service (not including dental referrals).
OR
Patient is scheduled for another appointment with
screening provider for diagnostic or corrective
treatment for at least one health problem identified
during an initial or periodic screening service (not
including dental referrals).",,SUBMITTED_CLAIM_AMBULANCE_CERTIFICATION,CONDITION_CODE_3,,
Segment - HI Principal Diagnosis (Required),,,,,,,,,
2300.HI01.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"ABK : ICD10 -CM - Principal Diagnosis
BK : ICD9 -CM - Principal Diagnosis",,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI01.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI01.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,POA_INDICATOR,,
Segment - HI Admitting Diagnosis (Situational),,,,,,,,,
2300.HI01.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"ABJ -  International Classification of Diseases Clinical
Modification (ICD-10-CM) Admitting Diagnosis",,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI01.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
Segment - HI Patient Reason For Visit (Situational),,,,,,,,,
2300.HI01.01,Code List Qualifier Code,Code identifying a specific industry code list/ Principal Diagnosis Type Code,R,"APR - International Classification of Diseases Clinical
Modification (ICD-10-CM) Patient’s Reason for Visit
PR- International Classification of Diseases Clinical
Modification (ICD-9-CM) Patient’s Reason for Visit",,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI01.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI02.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"APR - International Classification of Diseases Clinical
Modification (ICD-10-CM) Patient’s Reason for Visit
PR- International Classification of Diseases Clinical
Modification (ICD-9-CM) Patient’s Reason for Visit",,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI02.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI03.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"APR - International Classification of Diseases Clinical
Modification (ICD-10-CM) Patient’s Reason for Visit
PR- International Classification of Diseases Clinical
Modification (ICD-9-CM) Patient’s Reason for Visit",,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI03.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
Segment - HI External Cause of Injury (Situational),,,,,,,,,
2300.HI01.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"ABN : International Classification of Diseases Clinical
Modification (ICD-10-CM) External Cause of Injury
Code
BN : International Classification of Diseases Clinical
Modification (ICD-9-CM) External Cause of Injury
Code (E-codes)",,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI01.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI01.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,POA_INDICATOR,,
2300.HI02.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"ABN : International Classification of Diseases Clinical
Modification (ICD-10-CM) External Cause of Injury
Code
BN : International Classification of Diseases Clinical
Modification (ICD-9-CM) External Cause of Injury
Code (E-codes)",,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI02.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI02.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,POA_INDICATOR,,
2300.HI03.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"ABN : International Classification of Diseases Clinical
Modification (ICD-10-CM) External Cause of Injury
Code
BN : International Classification of Diseases Clinical
Modification (ICD-9-CM) External Cause of Injury
Code (E-codes)",,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI03.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI03.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,POA_INDICATOR,,
2300.HI04.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"ABN : International Classification of Diseases Clinical
Modification (ICD-10-CM) External Cause of Injury
Code
BN : International Classification of Diseases Clinical
Modification (ICD-9-CM) External Cause of Injury
Code (E-codes)",,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI04.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI04.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,POA_INDICATOR,,
2300.HI05.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"ABN : International Classification of Diseases Clinical
Modification (ICD-10-CM) External Cause of Injury
Code
BN : International Classification of Diseases Clinical
Modification (ICD-9-CM) External Cause of Injury
Code (E-codes)",,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI05.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI05.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,POA_INDICATOR,,
2300.HI06.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"ABN : International Classification of Diseases Clinical
Modification (ICD-10-CM) External Cause of Injury
Code
BN : International Classification of Diseases Clinical
Modification (ICD-9-CM) External Cause of Injury
Code (E-codes)",,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI06.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI06.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,POA_INDICATOR,,
2300.HI07.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"ABN : International Classification of Diseases Clinical
Modification (ICD-10-CM) External Cause of Injury
Code
BN : International Classification of Diseases Clinical
Modification (ICD-9-CM) External Cause of Injury
Code (E-codes)",,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI07.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI07.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,POA_INDICATOR,,
2300.HI08.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"ABN : International Classification of Diseases Clinical
Modification (ICD-10-CM) External Cause of Injury
Code
BN : International Classification of Diseases Clinical
Modification (ICD-9-CM) External Cause of Injury
Code (E-codes)",,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI08.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI08.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,POA_INDICATOR,,
2300.HI09.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"ABN : International Classification of Diseases Clinical
Modification (ICD-10-CM) External Cause of Injury
Code
BN : International Classification of Diseases Clinical
Modification (ICD-9-CM) External Cause of Injury
Code (E-codes)",,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI09.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI09.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,POA_INDICATOR,,
2300.HI10.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"ABN : International Classification of Diseases Clinical
Modification (ICD-10-CM) External Cause of Injury
Code
BN : International Classification of Diseases Clinical
Modification (ICD-9-CM) External Cause of Injury
Code (E-codes)",,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI10.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI10.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,POA_INDICATOR,,
2300.HI11.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"ABN : International Classification of Diseases Clinical
Modification (ICD-10-CM) External Cause of Injury
Code
BN : International Classification of Diseases Clinical
Modification (ICD-9-CM) External Cause of Injury
Code (E-codes)",,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI11.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI11.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,POA_INDICATOR,,
2300.HI12.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"ABN : International Classification of Diseases Clinical
Modification (ICD-10-CM) External Cause of Injury
Code
BN : International Classification of Diseases Clinical
Modification (ICD-9-CM) External Cause of Injury
Code (E-codes)",,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI12.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI12.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,POA_INDICATOR,,
Segment - HI Diagnosis Related Group (DRG) Information (Situational),,,,,,,,,
2300.HI01.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,DR Diagnosis Related Group (DRG),,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI01.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
Segment - HI Other Diagnosis Information (Situational),,,,,,,,,
2300.HI01.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,ABF International Classification of Diseases Clinical Modification (ICD-10-CM) Diagnosis,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI01.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI01.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,POA_INDICATOR,,
2300.HI02.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,ABF International Classification of Diseases Clinical Modification (ICD-10-CM) Diagnosis,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI02.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI02.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,POA_INDICATOR,,
2300.HI03.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,ABF International Classification of Diseases Clinical Modification (ICD-10-CM) Diagnosis,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI03.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI03.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,POA_INDICATOR,,
2300.HI04.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,ABF International Classification of Diseases Clinical Modification (ICD-10-CM) Diagnosis,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
